 	w	á	á	n	ω	o	p	ώ	r	í	i	n	g	a	n	g	a	n	ω	o	d	z	ó	n	í	í	</S>
si	0.114525	0.116337	0.116502	0.046279	0.0343165	0.0314044	0.0299576	0.0309495	0.0329952	0.0277334	0.0568724	0.0529088	0.0294783	0.0286204	0.0294934	0.0365309	0.0339736	0.0297673	0.0209984	0.0142779	0.0122666	0.00970049	0.00886041	0.0109978	0.0161147	0.0197682	0.00837173
tu	0.218943	0.129846	0.100326	0.06328	0.0692243	0.0755966	0.049924	0.0378308	0.0542611	0.038389	0.0695205	0.0270055	0.0133652	0.00892233	0.00866454	0.00613288	0.0134118	0.00435556	0.00188225	0.00111245	0.00150955	0.00215659	0.000634794	0.000529203	0.000798247	0.000819165	0.00155843
te	0.0195593	0.0212535	0.0344236	0.0159077	0.0105395	0.0160722	0.0315196	0.0384133	0.0479167	0.051437	0.0434608	0.0496168	0.0794937	0.0564627	0.0509823	0.0641218	0.101347	0.0619261	0.0306738	0.0195796	0.0139358	0.00988173	0.0134832	0.0158148	0.0218334	0.0244306	0.0559128
lances	0.0194902	0.0192078	0.0144666	0.0164777	0.0139844	0.00806202	0.00685708	0.00557586	0.0131235	0.0217082	0.0183989	0.00949067	0.0393599	0.0576072	0.0991636	0.178419	0.0980263	0.0829737	0.041697	0.0401949	0.0225094	0.0267769	0.034574	0.0321755	0.0198424	0.0205057	0.0393321
dans	0.0390756	0.0276388	0.0530228	0.0617257	0.0283984	0.0178147	0.0309287	0.0257925	0.0472461	0.0562601	0.0570297	0.0964786	0.0717758	0.0470072	0.0405168	0.0735905	0.0350698	0.0333408	0.0186191	0.0099185	0.00766396	0.00817673	0.0106468	0.0133717	0.017381	0.0147267	0.0567831
les	0.0254503	0.0333911	0.0448814	0.0362068	0.0220055	0.0181899	0.0245265	0.0282618	0.0359962	0.0404549	0.0342797	0.0236122	0.0147707	0.00895001	0.00947637	0.0179953	0.0207776	0.0248967	0.0508809	0.0477804	0.0535232	0.0656813	0.0402808	0.0504768	0.0713699	0.0557792	0.100105
fétiches	0.0252518	0.0255146	0.0202518	0.0132307	0.0122067	0.0209677	0.027249	0.0279209	0.0301838	0.0295476	0.0303272	0.0336345	0.0229693	0.0156028	0.0170532	0.0187696	0.0221981	0.0290804	0.0517973	0.041878	0.0433342	0.0436148	0.049947	0.073912	0.0857183	0.0776911	0.110148
tu	0.0117468	0.0141934	0.00769481	0.0107967	0.0111556	0.0138584	0.0158537	0.0150767	0.0206497	0.0282061	0.0355329	0.0418524	0.0274302	0.0198482	0.0200641	0.0150762	0.0249081	0.0352473	0.0595032	0.0510864	0.0536806	0.0510926	0.0604981	0.0747674	0.0774865	0.0826804	0.120013
t'	0.0113958	0.018447	0.0268916	0.0114676	0.0108812	0.0124229	0.0111363	0.0157915	0.0171339	0.0144416	0.023842	0.0375637	0.0538163	0.0625587	0.0883163	0.0971152	0.0464226	0.0238044	0.0283057	0.0497988	0.0408407	0.0533133	0.057003	0.0552772	0.0400292	0.0361517	0.0558317
écartes	0.0344803	0.0350169	0.0317225	0.013388	0.0101918	0.0108346	0.0110388	0.00888735	0.0139706	0.0129689	0.0135314	0.0150539	0.0316628	0.0489297	0.0574458	0.069209	0.0388467	0.0367377	0.0535198	0.0970102	0.0510276	0.0545142	0.0482015	0.0508998	0.0412079	0.0451154	0.0645872
du	0.0331934	0.0238443	0.0227989	0.0182034	0.015516	0.0181252	0.0235441	0.018172	0.0282391	0.0361116	0.0350043	0.0182909	0.0280327	0.0327589	0.0365532	0.03852	0.046032	0.0510821	0.0518851	0.0668514	0.0449358	0.0438209	0.0455727	0.0464398	0.0453038	0.0553371	0.0758309
bon	0.0282365	0.0176453	0.0198179	0.0170451	0.0186634	0.0281962	0.0247031	0.0212852	0.0297615	0.0277229	0.0459126	0.0158154	0.0264491	0.0307307	0.0263966	0.0261731	0.0404585	0.053098	0.0510686	0.0506979	0.0492321	0.0469653	0.0520474	0.0520879	0.0544906	0.0628575	0.0824414
chemin	0.018013	0.0144691	0.0148551	0.0175783	0.0189492	0.0223608	0.0264481	0.0224029	0.0314786	0.0294561	0.0346993	0.0200066	0.0275963	0.0293334	0.0298755	0.0370302	0.0410636	0.0386943	0.0390245	0.0442892	0.0423379	0.0439946	0.0672356	0.0643765	0.0684225	0.0768873	0.0791214
</S>	0.0207144	0.0192648	0.0197625	0.0203187	0.0203566	0.0219063	0.0230336	0.0223357	0.0237865	0.0225657	0.023846	0.0213853	0.0232869	0.0244622	0.0262694	0.0407553	0.030576	0.025324	0.0358254	0.0473071	0.0404863	0.0427837	0.0705169	0.0735106	0.0851725	0.0850996	0.0893478
