 	o	k	á	r	i	p	ε	n	g	ε	y	á	n	ω	é	d	í	o	d	z	a	n	g	á	k	a	á	</S>
c'	0.00801669	0.0114125	0.0117726	0.00886112	0.00919248	0.0112862	0.0170236	0.0333606	0.0257752	0.0339556	0.0363334	0.0743885	0.0449646	0.0644129	0.0924202	0.0608804	0.0231167	0.0260184	0.0188652	0.0166807	0.02273	0.0380862	0.0505955	0.065017	0.0707499	0.0603342	0.0387888	0.024961
est	0.083509	0.0800059	0.0616783	0.0436146	0.0326003	0.0290179	0.021739	0.0133648	0.0231092	0.0213039	0.0193311	0.0411634	0.0199057	0.0783047	0.0721695	0.0751676	0.0621905	0.0286765	0.0513536	0.0727131	0.0184172	0.0121079	0.0102182	0.00516983	0.00688102	0.00551468	0.00600837	0.00476444
pas	0.154845	0.107858	0.0554747	0.0511832	0.0856234	0.0515632	0.0350925	0.0252661	0.0180593	0.0191014	0.00917605	0.011268	0.00595601	0.0172122	0.0245532	0.00914769	0.0282077	0.0694955	0.0407252	0.0147635	0.00485263	0.00219126	0.00345392	0.00389233	0.00774763	0.0142143	0.0355596	0.0935161
moi	0.0303911	0.0354859	0.0389471	0.0532106	0.0659353	0.0577343	0.0309097	0.00771725	0.0155326	0.00635434	0.00405494	0.00455884	0.00400213	0.0129857	0.0142762	0.0187803	0.0260643	0.052156	0.0501289	0.0561685	0.0291511	0.0437031	0.0356627	0.0405493	0.0457269	0.0701175	0.053858	0.0958374
qui	0.0379842	0.0656746	0.0914663	0.0719289	0.0763535	0.0779061	0.0404967	0.00833974	0.0180608	0.00695865	0.00620075	0.00637121	0.00467831	0.0120869	0.0133812	0.026576	0.0326382	0.0363374	0.0318894	0.0356714	0.020489	0.0228921	0.0304392	0.0311624	0.0374014	0.053393	0.0431615	0.060061
ai	0.0371236	0.0597617	0.110487	0.0656902	0.0695195	0.0762016	0.0530274	0.021117	0.0501577	0.0159883	0.0128314	0.0111639	0.00615962	0.0129217	0.0155622	0.0337567	0.0331472	0.038563	0.0344457	0.0333337	0.0187599	0.0171848	0.0188159	0.0213592	0.0220745	0.0321266	0.0348551	0.0438651
touché	0.0720917	0.0878737	0.119044	0.0756341	0.0851619	0.0610432	0.0425937	0.0324304	0.0443548	0.0217116	0.019208	0.0196899	0.012992	0.0139049	0.0165272	0.0181681	0.012422	0.013649	0.0134522	0.0204484	0.0213294	0.0153728	0.0137758	0.0166728	0.016506	0.0221566	0.0324381	0.0593478
ton	0.119632	0.105728	0.0845367	0.0708761	0.0799445	0.0649272	0.0342845	0.0177774	0.0222677	0.0153856	0.0177735	0.0223387	0.0145546	0.0140712	0.0119054	0.00681744	0.00536147	0.00577459	0.00455773	0.00817425	0.00729356	0.0114744	0.0178253	0.0318243	0.040959	0.0348144	0.0434457	0.0856749
sac	0.0753767	0.0741694	0.0674179	0.0347938	0.0259583	0.0166459	0.0129005	0.0144414	0.018399	0.0157465	0.0194407	0.0311757	0.0175781	0.0201113	0.0189396	0.0105895	0.012194	0.0132486	0.0114968	0.00899791	0.00831138	0.0137684	0.0240347	0.0358123	0.0620784	0.0597793	0.0879211	0.188673
</S>	0.0892509	0.0568952	0.051363	0.0343853	0.0244702	0.0157141	0.012371	0.0205196	0.0284123	0.0193668	0.0121091	0.0129778	0.00460224	0.00695392	0.010462	0.0141736	0.0167426	0.0335403	0.0335871	0.0261735	0.0330185	0.0380387	0.0396837	0.0633465	0.0701378	0.0592562	0.0663434	0.106105
