 	o	m	a	a	g	h	i	b	í	s	í	a	b	v	e	é	d	i	m	w	á	n	a	y	a	i	b	a	r	a	</S>
celui	0.0119235	0.016215	0.0153537	0.0244219	0.0302551	0.0224984	0.0103195	0.00751399	0.0121484	0.0328838	0.0366288	0.0455977	0.0531862	0.0267504	0.0259395	0.0185211	0.0150634	0.0136908	0.0227794	0.0238564	0.0293592	0.0394644	0.0296434	0.0418849	0.0471386	0.0593121	0.0507098	0.0821414	0.0635239	0.0570791	0.0341962
qui	0.111737	0.101555	0.0773885	0.055315	0.0538488	0.0611768	0.0410151	0.0294078	0.0274864	0.0163408	0.010835	0.0169892	0.0249023	0.03691	0.0446478	0.0365484	0.0483004	0.0433402	0.0411448	0.0214229	0.0262727	0.0129735	0.0185678	0.00974183	0.0092535	0.0056022	0.0022889	0.00560168	0.00256518	0.00242087	0.0044002
nous	0.022866	0.0239308	0.0487527	0.0393564	0.0395987	0.0317968	0.0314307	0.034123	0.041852	0.035064	0.0231524	0.0332555	0.0458557	0.0295293	0.0385458	0.0275198	0.0631806	0.028731	0.0549988	0.0262169	0.03533	0.0365059	0.0495358	0.0319217	0.0331643	0.0232938	0.0141458	0.0167434	0.0161961	0.0157388	0.00766751
a	0.0630745	0.0573855	0.0580098	0.063824	0.0430305	0.022124	0.0129352	0.00793322	0.0111502	0.0317681	0.0161203	0.0196143	0.0218043	0.029021	0.0403239	0.0409167	0.0735682	0.0574142	0.0684145	0.0443401	0.0251453	0.0156256	0.013023	0.0139215	0.00866484	0.0112982	0.0121811	0.0140023	0.0171718	0.0184496	0.0677443
lancé	0.0238484	0.032105	0.0414166	0.0458462	0.0354996	0.0285887	0.0318288	0.0209439	0.0199013	0.0236786	0.0147498	0.0219349	0.0247599	0.029144	0.027243	0.021834	0.0279972	0.0271068	0.03996	0.0388644	0.0445446	0.0463306	0.0347727	0.0343773	0.0319152	0.0223944	0.0260941	0.0305823	0.0290985	0.0428607	0.0797787
les	0.0334837	0.0420801	0.0357855	0.048926	0.0308952	0.0370309	0.0255852	0.0225928	0.0162652	0.0186792	0.0138285	0.0132092	0.013039	0.021881	0.0219411	0.0291083	0.0323972	0.0321116	0.0453871	0.0373794	0.0245099	0.0248512	0.0240518	0.0227107	0.0198824	0.0182912	0.0186723	0.0160095	0.0284765	0.0536158	0.177322
pierres	0.0840768	0.0704815	0.062923	0.0590516	0.0277256	0.0252789	0.0173174	0.0082655	0.0086517	0.00772431	0.00579217	0.00832645	0.0182068	0.0305672	0.0313642	0.0309547	0.0272005	0.0212425	0.0195197	0.0239538	0.0224909	0.0234058	0.0185438	0.0289755	0.028807	0.032163	0.0350335	0.0347008	0.0420044	0.0529377	0.092313
c'	0.095392	0.0705509	0.054509	0.0420969	0.0213224	0.0187531	0.0175596	0.00839888	0.0118536	0.0163915	0.00940105	0.0130463	0.0216293	0.0530032	0.0532699	0.0427477	0.0310228	0.0307369	0.0189725	0.014332	0.00961108	0.0071481	0.00367608	0.0106812	0.00826949	0.0178579	0.00834899	0.0233955	0.0337246	0.0695016	0.162796
est	0.108487	0.0606255	0.0294625	0.0618148	0.0275085	0.039864	0.0311289	0.0186122	0.0168707	0.024597	0.0243703	0.0210455	0.0218981	0.0193753	0.0179982	0.0207719	0.0218398	0.0277224	0.019385	0.0238945	0.0187553	0.0178257	0.0124556	0.0163891	0.0120868	0.0185193	0.0113602	0.0163535	0.0213188	0.0352916	0.182372
le	0.100817	0.0790644	0.0600554	0.042105	0.0266881	0.0212072	0.022175	0.00906805	0.00857587	0.0099971	0.00875431	0.0133057	0.0172442	0.0125472	0.0174473	0.0171693	0.0165616	0.019432	0.0216088	0.044323	0.0299833	0.0256588	0.0227872	0.0339058	0.0385342	0.0426656	0.0261419	0.0506945	0.0452623	0.035996	0.0802233
fils	0.103855	0.061285	0.0455588	0.0570943	0.0301904	0.0276272	0.0294505	0.0163289	0.0158922	0.0163266	0.0125292	0.0166849	0.0242378	0.0496581	0.0643227	0.0555269	0.0552437	0.0545221	0.0333277	0.0238788	0.00855619	0.00903534	0.00624911	0.0097703	0.00928022	0.0103947	0.00997375	0.0133271	0.0153038	0.0374978	0.0770708
d'	0.128853	0.055942	0.0416106	0.0176811	0.00823125	0.00654423	0.00709691	0.00350822	0.00394195	0.00650047	0.0042991	0.00670593	0.0145775	0.0258267	0.0374993	0.0283243	0.0314211	0.0296007	0.0289838	0.0333511	0.0135598	0.0103789	0.00681103	0.0192788	0.0195595	0.0347597	0.0181134	0.0565537	0.0656976	0.102909	0.13188
ibara	0.129463	0.0444401	0.0215444	0.0104253	0.00736641	0.00635728	0.00635161	0.00488089	0.00429351	0.00479515	0.00481247	0.00629848	0.00931032	0.0204741	0.0529238	0.034148	0.0212905	0.0201403	0.0184641	0.0213396	0.017324	0.0111451	0.00697803	0.0198614	0.0208892	0.0348961	0.0182965	0.0559825	0.0806754	0.111325	0.173508
</S>	0.073753	0.0464851	0.030967	0.0210817	0.0154151	0.0159386	0.0167858	0.0112283	0.0067497	0.00474805	0.003533	0.00416523	0.00560653	0.0136662	0.031133	0.0214281	0.0351013	0.0353328	0.0465443	0.033851	0.043119	0.0352365	0.0278803	0.0422075	0.0429476	0.0439378	0.0367378	0.0502862	0.0608805	0.0664326	0.0768204
