 	n	g	á	í	f	u	r	u	w	a	m	í	s	á	l	a	l	í	í	k	y	é	w	a	</S>
je	0.235329	0.249666	0.157034	0.162264	0.0518747	0.0108461	0.00187917	0.00203934	0.00269225	0.00192496	0.00332296	0.00266346	0.00782109	0.0148485	0.0156165	0.0135902	0.00831782	0.00806866	0.00745825	0.00780843	0.00713219	0.00659865	0.0114596	0.00643852	0.00330511
l'	0.0440993	0.0256895	0.0116177	0.00924919	0.0157226	0.0246882	0.0423701	0.0562506	0.0601636	0.0869213	0.0724026	0.023749	0.0757047	0.0484706	0.0291779	0.0417157	0.0625893	0.0500342	0.0268988	0.038909	0.0154849	0.0178175	0.0234652	0.045379	0.0514296
ai	0.0767983	0.110119	0.079875	0.0616406	0.0730254	0.0785244	0.037551	0.0432547	0.0443255	0.0230541	0.0123371	0.0212938	0.0227834	0.0192756	0.0248641	0.0226144	0.0200546	0.0254165	0.0162281	0.0204251	0.0109767	0.00965938	0.0396973	0.0415563	0.0646499
payé	0.0180721	0.0196315	0.0391778	0.121477	0.105769	0.101865	0.0562492	0.0890767	0.0570668	0.0645447	0.038808	0.0394249	0.0220542	0.0185076	0.0162913	0.0215761	0.0204084	0.0258265	0.019353	0.0175703	0.008285	0.0175104	0.0244063	0.0169579	0.0200892
pour	0.0255416	0.0155624	0.0252761	0.0571096	0.0428943	0.0456771	0.0923976	0.0948736	0.0511439	0.0580563	0.0428064	0.0257548	0.0163505	0.0112669	0.0105357	0.0183407	0.0203433	0.0306246	0.0282392	0.0333055	0.0263584	0.0617895	0.0791251	0.0411093	0.0455178
le	0.0417717	0.0432671	0.0292657	0.016938	0.0132278	0.0119945	0.0258955	0.03552	0.0488632	0.0341932	0.0337576	0.0392974	0.0323063	0.0308831	0.0304203	0.0376494	0.0391411	0.0457278	0.0338206	0.0490984	0.0385011	0.0421254	0.0528672	0.06511	0.128358
travail	0.0560701	0.0584528	0.0784774	0.0862907	0.0771099	0.0404497	0.0339817	0.0394731	0.038588	0.0359889	0.0331059	0.033886	0.0290221	0.0449985	0.030687	0.0145996	0.0136303	0.015942	0.00963886	0.0183642	0.0223888	0.0257473	0.0120508	0.024668	0.126388
qu'	0.0246001	0.0147994	0.0182949	0.0171663	0.0214463	0.0208103	0.0217952	0.0270505	0.0283969	0.0254302	0.0208577	0.0329247	0.0252097	0.0396314	0.0410891	0.0579303	0.0592562	0.0583004	0.0509949	0.0613591	0.0660573	0.0693283	0.0602849	0.0662246	0.0707612
il	0.0444114	0.028093	0.0396205	0.0262488	0.0238055	0.0238031	0.0276828	0.0317162	0.0352925	0.0321154	0.0324385	0.0261443	0.0294641	0.0249963	0.0213459	0.0280757	0.0283051	0.0376349	0.0303405	0.0397908	0.0450094	0.0582788	0.0962908	0.0867277	0.102368
a	0.0687554	0.0548955	0.0554212	0.0494014	0.0592468	0.05729	0.0301892	0.0334109	0.0375162	0.0329963	0.0243718	0.024567	0.0154343	0.0286043	0.0278727	0.0380188	0.0388265	0.0398873	0.0363738	0.0404286	0.0415325	0.0397459	0.0316301	0.040514	0.0530697
fait	0.0659603	0.0463899	0.0450167	0.0476261	0.0668464	0.054019	0.0290985	0.037323	0.0359011	0.0288321	0.0213402	0.0252954	0.0211374	0.031668	0.0326279	0.035619	0.0363006	0.0297903	0.0317554	0.0368025	0.0398558	0.0435076	0.0412424	0.0490346	0.0670096
</S>	0.0557157	0.0303585	0.0308614	0.0826017	0.118257	0.100775	0.0796829	0.0918298	0.0272264	0.0274167	0.0127962	0.0147721	0.0106377	0.0138293	0.016598	0.0174946	0.0184208	0.0175267	0.0153204	0.0189456	0.0229972	0.0409322	0.0463598	0.0444338	0.0442101
