 	e	k	ω	n	í	l	í	y	é	é	k	ω	n	ώ	t	á	á	y	a	b	í	s	í	l	e	d	i	n	d	é	á	k	a	á	</S>
la	0.0123481	0.0176673	0.022531	0.0254902	0.0225905	0.017469	0.0236979	0.0275065	0.0280844	0.0303902	0.0394639	0.0389453	0.0551016	0.0497618	0.0212232	0.0201166	0.0141898	0.0138291	0.016979	0.0213298	0.0315241	0.0252018	0.0229265	0.0264849	0.0184797	0.0219981	0.0257871	0.019773	0.0338237	0.0279639	0.0527784	0.0467459	0.0492569	0.0423547	0.0361861
manière	0.0279579	0.0434124	0.0712075	0.0569929	0.0313201	0.0363145	0.0313972	0.05462	0.0209238	0.0178805	0.0425941	0.0342117	0.0306947	0.0226513	0.0177144	0.0164063	0.0166548	0.0288713	0.0208835	0.0199661	0.016804	0.00724128	0.0235777	0.0532548	0.0451303	0.0267115	0.023587	0.0304197	0.024762	0.0254166	0.0345905	0.0249497	0.00837444	0.00807304	0.00443233
dont	0.130112	0.047451	0.0350917	0.0154217	0.0171609	0.0292018	0.0194737	0.0273114	0.0238052	0.0246945	0.0269834	0.0331768	0.0227506	0.0346332	0.0346355	0.016892	0.0309186	0.0274838	0.025073	0.0107271	0.0127385	0.00869559	0.0240905	0.0571165	0.0658056	0.041672	0.0541979	0.0233667	0.017702	0.0125335	0.00726291	0.00829817	0.00936923	0.0101964	0.0139567
souffre	0.0191889	0.0217543	0.0615642	0.0370447	0.0380331	0.0263128	0.0141033	0.0199785	0.0195459	0.0183131	0.0169763	0.017262	0.0183181	0.0187282	0.0296785	0.0298613	0.0252226	0.0425236	0.0506177	0.0502683	0.0706315	0.0548911	0.0841825	0.0561287	0.045252	0.0246396	0.0215423	0.00979031	0.0102097	0.00369103	0.00787341	0.00416889	0.0035346	0.00539395	0.0227752
notre	0.0246513	0.0123687	0.0159093	0.0144575	0.0274579	0.0306357	0.0171538	0.0194421	0.0134761	0.0137107	0.0145356	0.0178481	0.0210252	0.0360909	0.0331876	0.0392803	0.06356	0.0771215	0.0683587	0.0313997	0.0129865	0.0271949	0.0637468	0.070209	0.098379	0.058717	0.0301846	0.00923461	0.00556909	0.00284108	0.0017624	0.00192471	0.00207323	0.00356348	0.0199429
père	0.0226247	0.0219527	0.033099	0.0474894	0.0609242	0.0452478	0.0248963	0.0179517	0.015946	0.0123545	0.0177473	0.0140047	0.0161048	0.01868	0.0210571	0.0208871	0.0397074	0.0428835	0.0320731	0.052748	0.0175689	0.0230355	0.0382559	0.0509862	0.0633289	0.0352372	0.0388979	0.0237512	0.0145489	0.00854018	0.00544039	0.00599871	0.00994991	0.0193535	0.0667271
ne	0.0567604	0.0441815	0.0395687	0.0346045	0.0409244	0.059189	0.0269602	0.0215093	0.0162828	0.00996182	0.00840997	0.00949261	0.0108833	0.0194164	0.0284048	0.0220567	0.0439661	0.034521	0.0266042	0.0213844	0.00767758	0.0163704	0.0648665	0.0372092	0.0358295	0.0156073	0.0108264	0.00773704	0.00515984	0.00797027	0.0022185	0.00510416	0.0118585	0.0378284	0.158654
nous	0.12117	0.0652763	0.0913888	0.0737252	0.0762884	0.0414403	0.0252508	0.0254125	0.0225369	0.0161526	0.0139148	0.0143364	0.0163922	0.0185211	0.0283012	0.0184496	0.0261641	0.0264732	0.014555	0.021337	0.00984974	0.0200401	0.0164062	0.0137487	0.015282	0.0129229	0.0063043	0.00655429	0.00468908	0.00632541	0.00688642	0.00608173	0.00918609	0.0172878	0.0913486
laisse	0.161512	0.0850201	0.0745944	0.0433079	0.0186478	0.00933081	0.0100725	0.0171091	0.0188084	0.0196642	0.0151433	0.01266	0.0156315	0.0210616	0.0319583	0.0237153	0.0228702	0.0257491	0.0116973	0.0136961	0.017483	0.0180279	0.0167152	0.0195816	0.0201132	0.0177455	0.00923223	0.0120021	0.0115331	0.0138937	0.0114018	0.0129898	0.0199898	0.0363689	0.110672
aucun	0.0482876	0.035201	0.0426482	0.0262607	0.0174983	0.0164441	0.0213531	0.0256093	0.0273308	0.0201526	0.0198127	0.0108623	0.0108673	0.0149439	0.0247133	0.0242662	0.0296347	0.0268005	0.0214256	0.0313274	0.0307389	0.0445343	0.0427649	0.0419967	0.0490668	0.0437337	0.0182207	0.00772666	0.00788684	0.00990866	0.00924717	0.0119794	0.0199842	0.0289469	0.137825
espoir	0.0630613	0.0520969	0.0466595	0.0399586	0.0244053	0.0128409	0.0132899	0.0133399	0.0159602	0.0105333	0.00814917	0.00975257	0.00721164	0.00953172	0.0156419	0.0113015	0.0291885	0.0260579	0.0222885	0.0165309	0.00715004	0.0265798	0.0385862	0.0178991	0.0306544	0.0146705	0.00837411	0.0106029	0.0090335	0.0274978	0.00888238	0.0205439	0.0407208	0.0940453	0.196959
</S>	0.18845	0.0910255	0.085654	0.038794	0.0165089	0.0095522	0.00871271	0.00798595	0.00805329	0.00662202	0.00761984	0.00539587	0.00501608	0.00957491	0.0143493	0.0113706	0.025106	0.0201323	0.0198606	0.0241939	0.0137686	0.0262955	0.0239956	0.0257349	0.0385083	0.0247227	0.006927	0.00592166	0.00402931	0.0157185	0.00780242	0.0126332	0.0219105	0.0384011	0.129652
