 	a	p	f	é	é	b	á	a	f	u	n	d	á	i	b	v	ú	a	l	í	í	d	i	ó	s	w	έ	b	h	έ	y	á	p	o	o	</S>
les	0.111659	0.121394	0.0725043	0.0857151	0.0268982	0.0331332	0.0341293	0.0363821	0.0375706	0.0372496	0.0314024	0.037628	0.0421237	0.0367242	0.034391	0.029967	0.0243646	0.0101695	0.0102403	0.0089943	0.00656476	0.0104177	0.00664555	0.00599022	0.00644204	0.0047873	0.00723215	0.0117277	0.0121836	0.0121473	0.0098791	0.0122912	0.00828407	0.00807559	0.00737949	0.00731206
jeunes	0.0283121	0.0256788	0.0455408	0.0694085	0.137926	0.0744648	0.0687841	0.0871342	0.0753137	0.0655564	0.0244631	0.0410628	0.0153264	0.00855521	0.0218291	0.0195338	0.0255353	0.0226574	0.0124069	0.0159989	0.00887054	0.00930248	0.00760732	0.00406548	0.00521186	0.0107857	0.00580923	0.00627593	0.00820024	0.00650613	0.00624094	0.0106193	0.00357249	0.00956974	0.00420494	0.00766918
déracinent	0.0537675	0.0327864	0.0220723	0.0188836	0.0278522	0.0356872	0.0386357	0.0469833	0.0672205	0.0697008	0.0401558	0.0598067	0.0489977	0.0504475	0.0434384	0.0479534	0.0254558	0.0136445	0.00986193	0.00442551	0.00604418	0.00843531	0.0124286	0.0196568	0.0182079	0.0252027	0.0101189	0.017013	0.0217616	0.0230617	0.0132795	0.0168841	0.0110455	0.0179125	0.0149484	0.00622269
l'	0.0175898	0.0222279	0.0273386	0.0345662	0.0309882	0.0250079	0.0173547	0.0180597	0.0167392	0.0198993	0.0206757	0.0204096	0.0190515	0.0214385	0.0222196	0.0240155	0.0172344	0.024416	0.0177052	0.0551308	0.0816667	0.0437389	0.0326553	0.0570174	0.0208193	0.0266709	0.0283567	0.0227361	0.0097718	0.0104068	0.0103808	0.0259858	0.0252946	0.0375775	0.0359431	0.0589098
arbre	0.0285632	0.0195936	0.0209436	0.0227908	0.0458074	0.0419281	0.0347803	0.0328094	0.0385278	0.0444459	0.0410629	0.0415463	0.0299536	0.0185546	0.0173528	0.0186729	0.0303195	0.0362976	0.0291752	0.0361742	0.0284003	0.0301415	0.0323479	0.0189521	0.0306062	0.0294716	0.021441	0.0182209	0.0183328	0.0213525	0.0181439	0.0219823	0.0175107	0.0215298	0.0172978	0.0249692
qui	0.0328451	0.0194338	0.0158595	0.0161258	0.0222469	0.0235867	0.0195842	0.0173891	0.0201954	0.0264767	0.0294687	0.0313829	0.0282701	0.0393801	0.0475141	0.0472368	0.0429891	0.0401933	0.0326452	0.0227853	0.0141467	0.0114078	0.0331237	0.0193481	0.011725	0.0279108	0.0305949	0.0193454	0.0134282	0.0184896	0.0186921	0.0419909	0.0259423	0.039666	0.0360461	0.0625336
est	0.0303046	0.016597	0.0136813	0.0150907	0.0258476	0.0263898	0.0220313	0.0195904	0.0263591	0.0349154	0.0427545	0.0422043	0.0458256	0.0402627	0.0442989	0.0392534	0.0431555	0.0328301	0.0316478	0.0326948	0.0234647	0.0177412	0.0312858	0.0215666	0.00799031	0.0366259	0.031341	0.0257027	0.0134712	0.0231074	0.0175573	0.0303659	0.0229281	0.0212791	0.0180184	0.0318197
au	0.0246499	0.0258088	0.0347192	0.0368004	0.0357943	0.0270591	0.015038	0.0083879	0.00939504	0.00788614	0.00938202	0.00906906	0.00755146	0.0080149	0.00508441	0.017107	0.00949094	0.01137	0.0300026	0.0163616	0.00619618	0.00501153	0.0123334	0.00591327	0.00549031	0.019987	0.0293467	0.0240023	0.0176707	0.0394171	0.0699765	0.0710005	0.0500935	0.0913313	0.0892803	0.113977
coeur	0.0961869	0.066141	0.0559556	0.0459559	0.0305914	0.0223991	0.0161269	0.0140429	0.0165702	0.0181115	0.0226256	0.0191741	0.012941	0.0103433	0.00948329	0.0237752	0.0163871	0.0169478	0.0272503	0.0245494	0.0129541	0.0133404	0.0135646	0.00627896	0.00560734	0.00916062	0.0189399	0.0068157	0.00718265	0.0133827	0.0270253	0.045752	0.00908475	0.069284	0.0694977	0.106571
du	0.0598106	0.0491382	0.0453533	0.033068	0.0311694	0.0161164	0.015635	0.0087513	0.0102071	0.00891638	0.00904218	0.00888184	0.00407166	0.0039312	0.00612046	0.0131733	0.00882908	0.0117004	0.0218095	0.0231916	0.0192541	0.0232848	0.0270269	0.0451917	0.0112174	0.0153086	0.0275276	0.0172649	0.0121982	0.0106685	0.0173017	0.0310126	0.0312339	0.0550682	0.0797728	0.187751
vil-	0.0771075	0.0481048	0.0562416	0.0461171	0.0287452	0.01056	0.00678814	0.00495686	0.00626615	0.00784599	0.0093833	0.00738503	0.00768321	0.00845041	0.00520252	0.0180387	0.00697349	0.0118474	0.0407224	0.022985	0.01792	0.0106004	0.0185202	0.0157501	0.00413005	0.0142493	0.033992	0.0176327	0.00819417	0.0259936	0.0392587	0.0528038	0.0274311	0.0677766	0.0814034	0.132939
lage	0.0187989	0.0174759	0.0219428	0.0216322	0.0240875	0.0166651	0.0129115	0.0105612	0.0112837	0.012569	0.0150838	0.0124976	0.00865657	0.0105112	0.0145959	0.0262458	0.0165419	0.0262302	0.030056	0.0170916	0.0137077	0.0188126	0.0394535	0.019144	0.0214661	0.0512537	0.0277036	0.0265486	0.0216489	0.0238958	0.043104	0.0488394	0.0485777	0.0521848	0.0690158	0.129206
</S>	0.0293257	0.019334	0.0155704	0.0135578	0.0135637	0.0120283	0.00955599	0.0073416	0.00807112	0.00735535	0.00813477	0.00730136	0.00571116	0.00563938	0.00861793	0.0155086	0.0130137	0.0169471	0.0300932	0.0255445	0.0199735	0.0408426	0.0524059	0.0432478	0.0218034	0.0544888	0.0512848	0.0404439	0.0385427	0.0362092	0.0436677	0.0524607	0.0465953	0.0484755	0.0626563	0.0746863
