 	o	y	ε	s	i	i	n	d	ó	i	m	á	b	i	r	á	á	d	z	á	e	b	a	a	m	i	</S>
l'	0.00907416	0.0122396	0.0114773	0.0103278	0.012037	0.0112261	0.0159983	0.0188975	0.0253776	0.0349151	0.0398128	0.0517172	0.0531541	0.0743117	0.0762342	0.0555546	0.0481614	0.0365248	0.0439412	0.0448323	0.0343575	0.048432	0.0448444	0.0541491	0.0594342	0.0423485	0.0306199
inventeur	0.040668	0.0952356	0.0721079	0.0456899	0.0417223	0.0286328	0.0600412	0.0470795	0.0759778	0.0469871	0.0425986	0.0344549	0.0128208	0.0123981	0.00924873	0.0125778	0.0275031	0.0100135	0.0347832	0.0186032	0.0205898	0.0645747	0.061743	0.0413112	0.0277615	0.00777498	0.00710104
des	0.0307838	0.0192707	0.0210605	0.0123085	0.017059	0.0174334	0.0244151	0.0222133	0.0198158	0.0172952	0.012465	0.0293978	0.0573488	0.0488555	0.057023	0.0537031	0.0404039	0.0692066	0.0930036	0.0765857	0.0798171	0.0535595	0.0387274	0.0235646	0.0284453	0.0292473	0.00699049
armes	0.050673	0.0556463	0.0562166	0.0534792	0.061681	0.0639539	0.0635335	0.0548892	0.0521649	0.0443504	0.0268732	0.0275427	0.0302186	0.0359261	0.0347422	0.043351	0.0337447	0.0212833	0.0387048	0.0218196	0.0200082	0.012515	0.00879524	0.0106087	0.0131543	0.0187973	0.0453272
de	0.0250355	0.0225714	0.0241893	0.0221677	0.0255817	0.0252852	0.0329952	0.0374061	0.0292823	0.0321747	0.0331123	0.0419458	0.04358	0.0333282	0.0374646	0.0322192	0.0296598	0.0153351	0.0394876	0.0187406	0.030133	0.0429808	0.0432337	0.0591716	0.0676887	0.0377309	0.117499
guerre	0.0276741	0.0263072	0.0336025	0.0333771	0.0311547	0.029318	0.0355755	0.0574612	0.057869	0.0872346	0.0600219	0.0720126	0.0624507	0.0727919	0.0276805	0.0116081	0.0108269	0.00504592	0.0252879	0.0117014	0.024924	0.0431404	0.0405521	0.0421018	0.0261466	0.0124702	0.0316631
était	0.0364833	0.0488399	0.0642	0.056617	0.0482491	0.050203	0.0513964	0.0476733	0.0415074	0.0507685	0.0358519	0.0353651	0.0275562	0.0267325	0.0125619	0.0156145	0.0212955	0.0276166	0.0329868	0.0328932	0.0433409	0.0266797	0.0192827	0.0177162	0.017786	0.0354147	0.0753675
un	0.154713	0.0931233	0.0750635	0.0430891	0.0248583	0.0162574	0.0146887	0.011853	0.0149694	0.0151208	0.0157696	0.0113449	0.0108117	0.0109319	0.0139015	0.00873084	0.010295	0.00858705	0.0168667	0.0126551	0.0168279	0.0263381	0.0244104	0.0375169	0.0702118	0.0554661	0.185598
blanc	0.149621	0.114207	0.0993569	0.046607	0.0244053	0.0141602	0.0174371	0.0162144	0.017547	0.0119218	0.0165156	0.0106477	0.0121922	0.0112311	0.0149084	0.0176108	0.0174086	0.013938	0.0225571	0.0183206	0.0339898	0.041566	0.0261682	0.0268508	0.0342222	0.0400602	0.130335
</S>	0.150048	0.132884	0.0975204	0.0470767	0.0255271	0.0159263	0.0152666	0.0131876	0.0162837	0.0155566	0.0171152	0.0112574	0.0109553	0.0087938	0.00841317	0.00747077	0.0112392	0.0102662	0.0191446	0.0199828	0.0293854	0.0302604	0.0181922	0.0224738	0.0346698	0.0550417	0.156061
