 	b	í	l	á	n	g	á	o	t	ó	n	g	o	m	á	n	d	z	ú	e	m	ó	ó	d	i	n	g	á	m	ó	ε	b	ώ	ω	m	ú	</S>
retire	0.0862666	0.103774	0.10346	0.118214	0.0850244	0.0219448	0.0244923	0.0200228	0.019176	0.0327598	0.0178286	0.0211041	0.0242637	0.0188369	0.0166433	0.0202641	0.0229613	0.019073	0.0102538	0.0117389	0.0143814	0.0100422	0.0126306	0.00694736	0.0124336	0.0125756	0.0141802	0.0145385	0.00812237	0.0107802	0.0104527	0.0108037	0.00999916	0.00841924	0.0106221	0.0117373	0.023232
l'	0.0482293	0.0443556	0.0240595	0.0204009	0.0178434	0.0233136	0.01339	0.0277954	0.0814087	0.0196044	0.0775419	0.0317679	0.0321699	0.0467516	0.031273	0.0343959	0.0260797	0.0296034	0.042237	0.0284159	0.0298925	0.0348194	0.0320536	0.0357192	0.0172782	0.0220997	0.0183839	0.0125238	0.0191949	0.0122329	0.0133509	0.0108829	0.0120249	0.00833225	0.0077696	0.00807045	0.00473406
aiguillon	0.0173595	0.01084	0.00735651	0.0108469	0.0064575	0.00860116	0.0140141	0.0105585	0.0146398	0.0113479	0.0158578	0.0129515	0.0127259	0.0170764	0.00997859	0.0218569	0.0228083	0.0595784	0.0621085	0.0356625	0.0467506	0.0464115	0.0449119	0.0205356	0.0104199	0.0357485	0.0313496	0.0222137	0.0315153	0.0296166	0.0415129	0.0325569	0.0438964	0.0642847	0.0346526	0.0333934	0.0476031
de	0.0164654	0.00794076	0.00436347	0.00475294	0.00594478	0.0120379	0.0180099	0.0144894	0.0265582	0.0191819	0.0180823	0.0251823	0.016083	0.014843	0.0161492	0.030724	0.0282833	0.0404832	0.0547508	0.0268354	0.0580179	0.095504	0.0967065	0.0524611	0.0146896	0.0218722	0.017087	0.00940426	0.0122984	0.0100591	0.0132295	0.0112993	0.0150713	0.023716	0.0303185	0.0410007	0.0761035
l'	0.0759827	0.0469094	0.0433323	0.0453119	0.0213032	0.0261659	0.0198551	0.0172314	0.0293508	0.013938	0.0137049	0.00869589	0.010201	0.0126179	0.0143688	0.0168669	0.0145186	0.0192925	0.0336463	0.0355673	0.0355306	0.0374449	0.0299033	0.0263882	0.0255877	0.0210491	0.019529	0.0132053	0.0104725	0.0133907	0.0133951	0.0133747	0.0166833	0.030963	0.0364991	0.0356535	0.102069
abeille	0.0130627	0.00743461	0.00741249	0.00709083	0.0115225	0.0140726	0.0240567	0.0164793	0.0227889	0.00989786	0.0122651	0.00921014	0.0116229	0.00747529	0.011993	0.0139618	0.0245988	0.0333047	0.0440695	0.0400807	0.0521023	0.0625308	0.0588243	0.0549545	0.0479266	0.0253687	0.0270821	0.0174078	0.0170272	0.0160987	0.0177211	0.0208138	0.025124	0.032588	0.041146	0.0408916	0.0999922
qui	0.0296562	0.0173346	0.0169669	0.0127114	0.0140622	0.0146833	0.0233505	0.0260528	0.0288944	0.0214767	0.01964	0.0205643	0.0186759	0.0153656	0.0234749	0.0291307	0.0376442	0.037878	0.0502208	0.0446539	0.0509036	0.0479077	0.0345749	0.0421338	0.0241991	0.0151894	0.0209062	0.0125522	0.0111496	0.0102366	0.0107351	0.0109468	0.0156892	0.0234807	0.0338034	0.0373247	0.0958298
est	0.0455137	0.0221746	0.0170733	0.0113969	0.0156535	0.0270599	0.0440149	0.0397647	0.0384276	0.0199778	0.0243368	0.0244569	0.0194835	0.0160773	0.0199263	0.0273954	0.0358457	0.0308615	0.0398121	0.043445	0.0458423	0.0286003	0.0290391	0.0208978	0.0171501	0.0128778	0.0141328	0.0156311	0.0141223	0.0122557	0.0124438	0.0115778	0.0185104	0.0213868	0.0341371	0.0399621	0.0887354
enfoncé	0.00982787	0.00809052	0.00719776	0.00885498	0.00988117	0.0137286	0.0194052	0.0189013	0.0213725	0.0188911	0.0188629	0.0229256	0.0202333	0.0194955	0.0220245	0.0277343	0.0294175	0.0361493	0.038652	0.0298395	0.0284095	0.0274947	0.0261171	0.0235073	0.0205249	0.0293749	0.0260172	0.0323269	0.0470165	0.0358984	0.0359149	0.0253884	0.031247	0.0419693	0.0424902	0.0481561	0.0766611
dans	0.0154483	0.0121898	0.0125932	0.00966928	0.00998943	0.0127282	0.0189142	0.0136064	0.0187772	0.0134277	0.0154833	0.0222043	0.0150929	0.0157541	0.0148989	0.0225531	0.0228292	0.0205809	0.026011	0.0254158	0.0270544	0.0328736	0.0296775	0.0241388	0.0224774	0.0330104	0.0245371	0.0336514	0.0311803	0.029064	0.0280592	0.0277444	0.0339597	0.0377438	0.0517106	0.0563606	0.13859
mon	0.0299713	0.0260218	0.0190417	0.0178544	0.0239057	0.02241	0.0300773	0.0286708	0.0407947	0.0301236	0.0304387	0.0289325	0.029918	0.0314296	0.0306416	0.0344362	0.0329509	0.0281482	0.0251033	0.0198951	0.0159585	0.0156104	0.0136705	0.0132595	0.0150343	0.0180595	0.0147127	0.0207874	0.0228118	0.024962	0.0235101	0.0256884	0.0259581	0.0337931	0.0374683	0.0420687	0.0758813
