 	w	a	á	b	h	e	r	i	o	l	é	á	t	í	í	i	k	o	ó	l	á	i	b	í	a	</S>
il	0.163452	0.219257	0.263217	0.135358	0.0659363	0.0495592	0.0161058	0.00769812	0.00873866	0.00478786	0.00429349	0.00423685	0.00409005	0.00370387	0.00413197	0.00397686	0.00432363	0.00501417	0.00460658	0.00442334	0.00421319	0.00406025	0.00413402	0.00395777	0.00384682	0.00287706
est	0.0396649	0.0345097	0.0318094	0.0394838	0.116954	0.114844	0.114115	0.0475699	0.0695552	0.0398043	0.0681494	0.0742128	0.0317649	0.0519873	0.0257246	0.015528	0.0207889	0.0171913	0.0111175	0.00588956	0.00274386	0.00222463	0.00170401	0.00262424	0.0069733	0.0130658
arrivé	0.0190289	0.0214912	0.0212269	0.0209996	0.0203736	0.0213024	0.0187312	0.0205822	0.0124389	0.0191896	0.0444412	0.103597	0.0901751	0.107008	0.082437	0.105875	0.0448143	0.0382896	0.0342084	0.0315809	0.0255515	0.0293178	0.0170842	0.014871	0.0129296	0.0224552
à	0.0221089	0.0211915	0.0332448	0.0256063	0.0133252	0.0134062	0.00951531	0.00840247	0.00844285	0.0120478	0.0291883	0.0321458	0.0310531	0.0519599	0.0457452	0.0780273	0.0755393	0.0549809	0.0686317	0.0708691	0.0608956	0.0544173	0.0442102	0.0372258	0.0452646	0.0525546
grimper	0.0159598	0.0143648	0.0169364	0.00762131	0.00800837	0.00726838	0.00909705	0.0086604	0.0148539	0.0145944	0.0207987	0.0250882	0.0210977	0.0343639	0.03413	0.0599004	0.0552276	0.0625453	0.0714102	0.0727116	0.0702217	0.0873786	0.0617303	0.0580095	0.0625896	0.0854316
jusqu'	0.0258561	0.0339193	0.029156	0.0232182	0.0315892	0.0288122	0.0107756	0.0192401	0.0271086	0.0294277	0.027667	0.0204733	0.0288432	0.0256118	0.0231962	0.0370704	0.0280907	0.0188424	0.0381144	0.0421175	0.0637655	0.0975728	0.067597	0.0644427	0.0658788	0.0916136
en	0.0559063	0.050531	0.050384	0.0169387	0.0243523	0.0259886	0.0266156	0.0269698	0.0268905	0.0270854	0.0272098	0.0272091	0.0273292	0.0274759	0.0298363	0.0445018	0.0468699	0.0436279	0.0587361	0.0571821	0.0416483	0.0318823	0.0311625	0.0319281	0.053099	0.0886396
haut	0.0195402	0.0194162	0.0194073	0.0177209	0.0190815	0.0190575	0.0197741	0.0205034	0.0199949	0.0216497	0.0213994	0.0225198	0.0237086	0.0302884	0.0379171	0.0605486	0.0619771	0.0585387	0.070311	0.068274	0.0618595	0.0516506	0.0454188	0.0406704	0.0640137	0.0847584
du	0.0177406	0.0190246	0.0192664	0.0187518	0.0191353	0.0173296	0.0229072	0.024839	0.0243913	0.0304908	0.0214987	0.0180221	0.0170876	0.0170271	0.0195268	0.0317653	0.0315385	0.0218	0.0418248	0.049586	0.0629639	0.0545851	0.0783917	0.0903311	0.0999751	0.1302
palmier	0.0222121	0.022177	0.022099	0.0221518	0.0221518	0.0221255	0.0222114	0.0222821	0.022121	0.0226016	0.0226346	0.0225611	0.0227763	0.0242322	0.0269736	0.0314362	0.0370637	0.0345941	0.052582	0.0585583	0.0686792	0.0593389	0.0706056	0.0778408	0.0816113	0.0863786
</S>	0.0249539	0.0242659	0.0253837	0.0253251	0.0254881	0.0254872	0.0255616	0.0257002	0.0255331	0.0260979	0.0262069	0.0263136	0.0263792	0.0283472	0.0279032	0.0296453	0.0257276	0.0198827	0.0359612	0.0495147	0.0506446	0.0453817	0.0697175	0.0890609	0.0958621	0.0996549
