 	o	t	ω	m	b	í	l	i	m	ó	ó	b	é	b	h	í	l	a	p	ó	a	ó	m	i	y	ε	m	i	n	ε	</S>
le	0.00944329	0.0144535	0.0107472	0.0103225	0.0093639	0.00834212	0.017945	0.0364411	0.044347	0.0512323	0.0635173	0.0906615	0.0822371	0.0825865	0.0563961	0.0574562	0.0238746	0.0279141	0.0211487	0.0209938	0.0284169	0.0251294	0.0195028	0.0158668	0.0163247	0.0171578	0.0208087	0.0244342	0.0237407	0.0228198	0.0463743
véhicule	0.0216401	0.0343741	0.0319032	0.0232362	0.0295282	0.0381814	0.0235144	0.0527347	0.0435957	0.0402956	0.0229049	0.0415437	0.0608988	0.0649049	0.0411452	0.0252005	0.0222866	0.0058151	0.00255447	0.00670154	0.00832239	0.0134309	0.0340171	0.0346639	0.0418425	0.0616262	0.0985408	0.0448394	0.0193366	0.00578861	0.00463223
qui	0.0266466	0.0178759	0.00972461	0.0122455	0.0188483	0.0263553	0.0284755	0.0300776	0.0275517	0.0228325	0.0310044	0.046546	0.0511429	0.0224097	0.0168272	0.0189772	0.0155318	0.0111858	0.0229083	0.0278901	0.0196302	0.0489091	0.050137	0.0749216	0.0504205	0.0632264	0.077516	0.0666338	0.0352283	0.0222712	0.00604904
est	0.0291427	0.0297714	0.0440742	0.0556183	0.0874381	0.0547818	0.0552368	0.0426038	0.0440923	0.0356569	0.0422489	0.0296791	0.0240641	0.0152955	0.016594	0.0127162	0.0186151	0.0229056	0.0351946	0.0334956	0.0174782	0.0177021	0.0141314	0.0128751	0.0106421	0.0113457	0.0156476	0.0155668	0.0290714	0.0484153	0.0778993
tombé	0.0441618	0.028744	0.0225955	0.0221666	0.0208173	0.0227225	0.0186186	0.0174716	0.0161735	0.013603	0.0183731	0.0251852	0.033768	0.034553	0.0476272	0.0353764	0.0444917	0.0385465	0.0385283	0.0331249	0.0269061	0.0359704	0.0560177	0.0396642	0.0428626	0.0457477	0.0402314	0.0369062	0.0325442	0.0260619	0.0404387
en	0.0502032	0.0308804	0.0269551	0.0267997	0.02156	0.0257076	0.0238218	0.0199194	0.0168624	0.0162914	0.0222666	0.0353197	0.0294732	0.0279301	0.0434363	0.0585306	0.0724328	0.0428408	0.0919304	0.0684554	0.0502972	0.0271548	0.0225459	0.0266782	0.0234934	0.0162859	0.0191798	0.0145227	0.0115122	0.0132076	0.0235054
panne	0.0289124	0.036418	0.0379426	0.0428316	0.0416284	0.048063	0.0296052	0.030004	0.0228921	0.0236279	0.0269416	0.0386536	0.0329104	0.040565	0.0478654	0.0633848	0.0669516	0.041549	0.0552771	0.0356313	0.0636602	0.0207878	0.0101264	0.0130916	0.0128253	0.0171562	0.0188367	0.0109385	0.00824309	0.0139186	0.0187605
hier	0.0649336	0.0627936	0.058601	0.037747	0.0227554	0.0258669	0.0312396	0.0336223	0.0307417	0.0303651	0.0332671	0.0269126	0.0175023	0.0121423	0.0261444	0.0276587	0.0153147	0.0234158	0.0382957	0.0468718	0.0326846	0.0293243	0.0248123	0.0304059	0.021913	0.0136784	0.0148771	0.0127917	0.0257425	0.0524294	0.0751493
est	0.126908	0.0813709	0.0553855	0.0237414	0.00822179	0.00857682	0.0062648	0.00553383	0.00476212	0.00413712	0.00452976	0.00499877	0.0035769	0.003726	0.00574201	0.00762075	0.0119014	0.016227	0.0276779	0.0318938	0.0253098	0.0433619	0.0292452	0.0241237	0.0312599	0.0322754	0.0294065	0.0311406	0.0711578	0.106609	0.133314
déjà	0.11597	0.0570906	0.0258507	0.00963429	0.00285141	0.00197243	0.00164808	0.00214006	0.00235292	0.00253963	0.00322469	0.00481183	0.00448485	0.00752407	0.0127826	0.011156	0.023247	0.0270203	0.0302384	0.0268878	0.0235198	0.0350541	0.0240713	0.0129859	0.0187905	0.0336186	0.0311867	0.0505109	0.105082	0.117158	0.174595
réparé	0.0876134	0.0455799	0.0247956	0.0118975	0.00560643	0.00319434	0.00267977	0.00311917	0.00346882	0.0033588	0.00408214	0.00455301	0.00498879	0.00919663	0.0177636	0.0180849	0.0323441	0.033357	0.0352963	0.0310886	0.0284245	0.0396873	0.0330819	0.0184481	0.0246615	0.0487974	0.0443974	0.0601479	0.094341	0.102144	0.1238
</S>	0.0831454	0.0609992	0.0370738	0.0233931	0.0147992	0.011327	0.0135282	0.00765009	0.00555605	0.00422567	0.00552019	0.00885549	0.00987409	0.0108166	0.0133212	0.0147176	0.0184534	0.024002	0.0220385	0.0161617	0.0186757	0.028448	0.0232813	0.0181887	0.0250641	0.0326445	0.0324814	0.0490922	0.087921	0.103347	0.175398
