 	n	g	á	i	d	i	p	ó	s	á	o	l	a	a	n	á	l	a	n	g	ó	o	k	a	á	</S>
je	0.123564	0.11871	0.135197	0.128248	0.0714821	0.0337534	0.0302755	0.0163431	0.0129912	0.023691	0.0355055	0.032959	0.0243012	0.0230299	0.0156838	0.019833	0.017437	0.0161294	0.0179786	0.0165697	0.021135	0.0219182	0.0152995	0.0109701	0.0113125	0.00568227
ne	0.237402	0.111115	0.0903939	0.204351	0.11582	0.0377845	0.0114672	0.0134504	0.009846	0.0111008	0.0106825	0.0110336	0.00876398	0.00744781	0.0105815	0.00656879	0.00927015	0.0199267	0.0132684	0.0130897	0.00961276	0.00483448	0.00598972	0.00710447	0.00655129	0.0125428
veux	0.0815173	0.122643	0.0650332	0.0946717	0.126864	0.0849425	0.0424768	0.0196698	0.0117629	0.00940165	0.011419	0.0127049	0.0173055	0.019996	0.0189116	0.0197675	0.0204936	0.0212744	0.0196049	0.0184449	0.0151897	0.018673	0.0347306	0.0400022	0.0360952	0.0164047
pas	0.102159	0.0935687	0.0611699	0.0597191	0.0207426	0.00762858	0.00862192	0.00972697	0.0116286	0.0126609	0.01397	0.0242053	0.0295287	0.0318024	0.0308181	0.0326176	0.0243268	0.0249858	0.0260222	0.0400718	0.0806436	0.0769613	0.0483036	0.0378161	0.0515891	0.0387114
dire	0.0128329	0.00915921	0.00434002	0.00698529	0.00802195	0.0122	0.0199317	0.0207561	0.0244674	0.0230213	0.0187554	0.0208997	0.0223216	0.0226362	0.0159807	0.0313239	0.0359367	0.0348705	0.0501644	0.0563934	0.0615285	0.097908	0.0956946	0.131197	0.0842008	0.0784729
au-	0.0148115	0.00776012	0.0114613	0.0119474	0.0152688	0.0508279	0.0823553	0.069592	0.0644274	0.0541003	0.0417925	0.0383891	0.0412416	0.0447122	0.0282982	0.0371055	0.040747	0.0346916	0.029749	0.0342715	0.0281638	0.0282214	0.0267499	0.031883	0.0372798	0.0941518
revoir	0.0099561	0.00664666	0.00951546	0.0103675	0.0103501	0.0260068	0.0297606	0.0336742	0.0240559	0.0255593	0.0254513	0.0237116	0.025121	0.0293653	0.0252597	0.0419366	0.0651402	0.0673627	0.057447	0.054444	0.0457347	0.0452339	0.0470855	0.0474243	0.0619902	0.1514
à	0.0134873	0.0145407	0.0128587	0.011416	0.0121504	0.0287776	0.0308055	0.0367941	0.0323321	0.025067	0.0212343	0.0194459	0.0182228	0.0174968	0.0152087	0.0232608	0.0322608	0.0388833	0.0464063	0.0563739	0.0619826	0.0678057	0.0794968	0.0899979	0.0941051	0.0995888
ma	0.0305084	0.0286107	0.0260558	0.0268621	0.0280398	0.0290394	0.031146	0.032596	0.0329125	0.0192345	0.0142476	0.0139166	0.0144026	0.0159158	0.0129072	0.0229218	0.0268579	0.0294963	0.0407167	0.0525051	0.0611003	0.0702619	0.0619929	0.0802664	0.0983583	0.0991277
mère	0.0280059	0.0331581	0.030819	0.0336785	0.0325679	0.0231188	0.0202676	0.0168526	0.0176569	0.0177084	0.0158455	0.0165903	0.0178506	0.0217607	0.019742	0.0330406	0.0417974	0.0468214	0.0498311	0.0506679	0.052539	0.0637788	0.0614461	0.0598127	0.0875349	0.107107
</S>	0.0472965	0.0464387	0.0336912	0.02715	0.0207143	0.0188779	0.0230635	0.0241334	0.0250078	0.0222816	0.0196676	0.0193588	0.0193157	0.0190666	0.0150212	0.0223226	0.0213188	0.029976	0.0322967	0.0435316	0.0421063	0.0536605	0.0983814	0.0941333	0.0921037	0.0890844
