 	n	g	á	í	w	ú	r	u	o	b	v	e	e	s	á	i	b	v	ú	a	s	á	n	g	o	n	d	a	</S>
je	0.15622	0.215931	0.151506	0.106123	0.052132	0.0161482	0.0110923	0.010837	0.009793	0.0129478	0.0063939	0.011089	0.0148944	0.0155953	0.0156854	0.0145918	0.011646	0.0123033	0.0143457	0.0126868	0.0104273	0.0114337	0.0135351	0.0167013	0.01518	0.0174338	0.0162963	0.0140346	0.0129957
viens	0.0449233	0.0195011	0.0180562	0.0387701	0.0446836	0.127249	0.0864334	0.163142	0.135497	0.08667	0.0436784	0.0261625	0.0172878	0.0121799	0.00806255	0.00571996	0.0038889	0.00397708	0.00449623	0.00545054	0.00962839	0.0129892	0.00471236	0.00632337	0.00594783	0.0103564	0.00409041	0.0159988	0.0341236
d'	0.0394831	0.077047	0.0471604	0.0625548	0.0530742	0.0156495	0.0172815	0.0193905	0.0236363	0.0172346	0.0228099	0.031541	0.0367463	0.0296944	0.0386336	0.0470729	0.0502515	0.056309	0.0435899	0.042442	0.0389801	0.0448791	0.0349399	0.0264469	0.0200957	0.0133732	0.0149559	0.0127875	0.0219392
abattre	0.0232306	0.0163407	0.0145056	0.00910712	0.0243223	0.0312111	0.042082	0.0417718	0.052489	0.0502175	0.0613886	0.0354873	0.0362031	0.039379	0.0373005	0.041227	0.0439007	0.0456629	0.0428261	0.0503627	0.0334225	0.0471877	0.0284895	0.02407	0.0193949	0.0173403	0.0184426	0.0242775	0.0483592
un	0.0277624	0.00759571	0.00492389	0.00888876	0.0152699	0.025591	0.0302714	0.0289899	0.0272538	0.0255441	0.0273713	0.0197057	0.0182988	0.0245562	0.0270905	0.0368952	0.0407299	0.0409687	0.0489071	0.0738871	0.0646544	0.0589339	0.0459177	0.0433794	0.0358699	0.033996	0.0391681	0.0464335	0.0711459
arbre	0.0414714	0.0267923	0.0156553	0.013621	0.0112192	0.0135562	0.0138534	0.0204316	0.018775	0.0217808	0.0246029	0.0193463	0.0184748	0.0301181	0.035066	0.0473191	0.0618062	0.0483674	0.0556471	0.0538568	0.0545737	0.0437224	0.0400904	0.0345148	0.0346762	0.0419709	0.0457665	0.0437827	0.0691416
dans	0.0110351	0.0112521	0.0125514	0.00910709	0.00883657	0.00778343	0.00836025	0.0103588	0.0123492	0.0188074	0.0182265	0.0161113	0.0115902	0.0248369	0.0252458	0.0279677	0.038776	0.0326834	0.0586783	0.0479566	0.0544714	0.0653531	0.0707127	0.0598618	0.0596174	0.0577519	0.0694453	0.0671906	0.0830818
mon	0.0108138	0.0100471	0.011214	0.00984357	0.00973385	0.00852273	0.00866175	0.00968207	0.00913253	0.0101067	0.010656	0.0120198	0.00934124	0.015622	0.0185091	0.0228788	0.0389469	0.0348859	0.0617803	0.0545803	0.059247	0.0657215	0.0753971	0.0628144	0.0619571	0.0612994	0.0766451	0.0721527	0.0877874
champ	0.0212215	0.0156973	0.0137883	0.015006	0.0107321	0.00946296	0.0079912	0.00787562	0.00911766	0.0106581	0.0114831	0.0118103	0.0145443	0.0237983	0.023871	0.0379395	0.0466546	0.0450577	0.038792	0.0470672	0.0450565	0.0645245	0.0725895	0.0583536	0.0658438	0.0571785	0.0620198	0.0636952	0.0881701
</S>	0.0776804	0.0277281	0.00972067	0.0218517	0.0281852	0.0348196	0.0563548	0.0387409	0.0414798	0.0297692	0.0394247	0.016634	0.0106194	0.00904286	0.0165291	0.0316579	0.0335264	0.0393963	0.0398335	0.0540765	0.0393193	0.0387339	0.0407245	0.0284911	0.0305737	0.0293722	0.0371428	0.0375614	0.0610099
