 	b	í	l	á	n	g	á	ω	n	y	w	ε	m	á	n	d	z	ú	e	m	ó	ó	d	i	n	g	á	m	ó	ε	b	ώ	ω	m	ú	</S>
retire	0.0612188	0.0461819	0.0715256	0.0943099	0.0297351	0.0159934	0.0159779	0.0560188	0.0461596	0.0436043	0.0324962	0.0299121	0.0326186	0.0290816	0.0380549	0.0345046	0.0279302	0.0149635	0.0150751	0.0196824	0.0144839	0.0169588	0.0228375	0.014808	0.0120474	0.0211781	0.018176	0.0140082	0.00999859	0.00988624	0.00974118	0.0145941	0.0109173	0.0133528	0.0209188	0.0210488
l'	0.041881	0.0224443	0.0228139	0.00989899	0.0133315	0.00797342	0.0110445	0.0118916	0.0140711	0.0140997	0.0102888	0.0124002	0.0126393	0.0132818	0.0232754	0.0263711	0.040263	0.0657225	0.104411	0.0814686	0.0798466	0.0709814	0.0505292	0.0554026	0.0200598	0.0223041	0.0270385	0.0198444	0.0185296	0.01906	0.0161808	0.0134887	0.00894233	0.00585397	0.00853644	0.0038298
aiguillon	0.0415005	0.10802	0.071295	0.0292437	0.0127742	0.0105653	0.012362	0.00794606	0.0106629	0.00820004	0.00864268	0.00972218	0.00663215	0.00711258	0.0068147	0.00832305	0.00763596	0.0116281	0.027378	0.022731	0.0281999	0.0224907	0.0293607	0.040811	0.0400935	0.0690788	0.0638951	0.0248691	0.0396179	0.041943	0.0550152	0.0348326	0.0292719	0.0161406	0.0137017	0.0214879
de	0.0160541	0.0136779	0.00599132	0.00525686	0.00622698	0.00806356	0.00817967	0.00814134	0.00883761	0.00694854	0.00910432	0.00831975	0.00937555	0.00778484	0.0111042	0.019033	0.0209394	0.0763247	0.150618	0.103111	0.116383	0.0663544	0.0462802	0.0502023	0.0212036	0.0155062	0.0174043	0.0109048	0.00817272	0.0102476	0.0131957	0.0153081	0.0187913	0.021337	0.0280066	0.03761
l'	0.0481562	0.0398438	0.0395086	0.0231089	0.025049	0.0104824	0.010944	0.0158823	0.0173119	0.0238344	0.0122169	0.0205966	0.0196654	0.0246401	0.0363475	0.0297341	0.0386169	0.0272223	0.0292821	0.0289468	0.0273756	0.0290334	0.0289118	0.0333264	0.0276909	0.0237851	0.0173611	0.0202762	0.0192375	0.0189167	0.0205744	0.0229211	0.0269303	0.0298077	0.0288587	0.103603
abeille	0.0184395	0.0204889	0.0154985	0.0135914	0.00856012	0.00736139	0.00872403	0.0106782	0.00993042	0.0142772	0.0246905	0.0319861	0.0346202	0.043884	0.0427079	0.0427504	0.0439691	0.0384152	0.0242292	0.0203899	0.0187642	0.026583	0.016692	0.02703	0.0125903	0.0224207	0.019222	0.0185422	0.0208462	0.0211038	0.0252127	0.0350345	0.0391619	0.0462257	0.0447678	0.13061
qui	0.0267695	0.0193502	0.0138367	0.00968868	0.00683853	0.00491243	0.00630379	0.00691741	0.00844273	0.0118697	0.0164878	0.0112625	0.0137836	0.0191264	0.0206962	0.0337017	0.0347306	0.0546899	0.0358932	0.0312922	0.0392041	0.0345484	0.0342526	0.0333387	0.0349479	0.0277102	0.036913	0.034529	0.0307675	0.0289899	0.0319214	0.0379961	0.0445815	0.0387725	0.047992	0.0769414
est	0.107367	0.0410469	0.0333524	0.0259584	0.0261312	0.0161736	0.0228517	0.0256892	0.0249406	0.0300701	0.045952	0.0444713	0.0326408	0.0417097	0.0333218	0.0218404	0.0294272	0.0177686	0.0154867	0.0166932	0.0154786	0.0161088	0.0150693	0.0138335	0.0140479	0.0102888	0.0175962	0.0115542	0.00882705	0.00809992	0.0125432	0.0192553	0.0237346	0.0375472	0.0428606	0.080262
enfoncé	0.028242	0.0122144	0.00971905	0.01063	0.0171389	0.018496	0.0216691	0.0277559	0.026904	0.0310312	0.0293098	0.0327237	0.0322452	0.0329462	0.0370794	0.0312193	0.0306439	0.0299099	0.0412267	0.037025	0.0295197	0.0298684	0.0183935	0.0141315	0.0147479	0.00796507	0.0177685	0.0262528	0.0231222	0.025114	0.024836	0.0290547	0.035879	0.0388865	0.0529841	0.0733468
dans	0.0397178	0.0173966	0.0194695	0.0168378	0.0162034	0.0150293	0.0169138	0.0185549	0.0153204	0.0198704	0.0333593	0.0307049	0.0216807	0.0243394	0.0231678	0.0136258	0.0140216	0.0161845	0.0216856	0.0258632	0.0183399	0.016962	0.0190317	0.01139	0.0209463	0.0143052	0.036168	0.0294406	0.0235469	0.0246177	0.0287748	0.033482	0.0397066	0.0430788	0.0572997	0.162963
mon	0.0403712	0.0192416	0.0215259	0.0229991	0.0345156	0.0276329	0.0344941	0.0315537	0.0276595	0.0345836	0.0314823	0.0350191	0.0253533	0.0230927	0.0211478	0.0114876	0.013323	0.0147142	0.0203383	0.0258761	0.02084	0.0195316	0.0187985	0.0157178	0.0270485	0.0147518	0.0242259	0.0220284	0.0216899	0.0267458	0.0304301	0.0312184	0.0398451	0.0408189	0.0413832	0.0885145
