 	m	w	á	n	a	o	y	ú	r	u	b	ó	l	á	a	s	i	n	g	á	a	s	a	á	n	i	</S>
la	0.0086013	0.0134243	0.0183295	0.0206122	0.00932829	0.00632955	0.00567507	0.0103621	0.0164295	0.0307205	0.051484	0.0535694	0.0539514	0.0587486	0.0572675	0.0539024	0.0466776	0.0544631	0.0562318	0.0536902	0.0640636	0.0759442	0.0458516	0.0473205	0.0320474	0.0289843	0.0259902
fille	0.0371249	0.0271703	0.027746	0.152693	0.203734	0.203474	0.10809	0.0301379	0.0185366	0.00741867	0.00787713	0.00775838	0.00752992	0.00913699	0.0164934	0.0172349	0.0184597	0.00675564	0.0189266	0.0128935	0.0237037	0.00976234	0.0109415	0.00630952	0.00492465	0.00368582	0.00148075
est	0.019154	0.0137763	0.0104141	0.0168112	0.0283684	0.0312434	0.0741156	0.0495172	0.098108	0.0708638	0.0417151	0.0268978	0.0336108	0.034761	0.0487222	0.0724156	0.0332735	0.0330306	0.0762699	0.0538874	0.0382199	0.0342879	0.0197337	0.0141443	0.00887663	0.0116658	0.00611556
en	0.0187215	0.0151534	0.0116798	0.0174259	0.0292263	0.0424508	0.034491	0.0306545	0.0412751	0.0486838	0.0385983	0.0581011	0.041388	0.0390001	0.0371112	0.0523371	0.0363232	0.0508618	0.0429757	0.0513654	0.0334462	0.0270052	0.0325365	0.0381958	0.0343126	0.0384764	0.0582034
train	0.0107556	0.0125664	0.0149421	0.0735437	0.0653718	0.0347724	0.0386893	0.0198395	0.0248989	0.0240139	0.0265362	0.0409998	0.0363764	0.0384366	0.0451828	0.0585746	0.0384259	0.0444929	0.0348454	0.0356233	0.0365661	0.0524078	0.045354	0.0335314	0.0340108	0.0339766	0.0452656
de	0.0376759	0.0145877	0.0134649	0.0093435	0.0195291	0.0230549	0.0226156	0.0428382	0.04103	0.0435822	0.0412208	0.0329564	0.0350951	0.0352076	0.0480261	0.0341367	0.0271397	0.0210833	0.0177349	0.0271248	0.0315251	0.0984423	0.0369616	0.0476658	0.0328651	0.0273478	0.137745
laver	0.0332337	0.0160437	0.0155656	0.0277222	0.0292141	0.0278495	0.0382898	0.0455475	0.059517	0.0634232	0.051381	0.0331687	0.0310504	0.0236175	0.0272705	0.0510746	0.0638747	0.0377943	0.0342699	0.0380493	0.0296952	0.029435	0.0363643	0.035536	0.0357701	0.0348855	0.0503567
les	0.140037	0.0975246	0.099922	0.0860804	0.110765	0.0727575	0.0906569	0.0530301	0.0348145	0.0261955	0.00634972	0.00611872	0.00485919	0.00493314	0.00298682	0.00440932	0.00502352	0.00688859	0.00502688	0.00525675	0.0067964	0.0118772	0.011365	0.0137806	0.0126419	0.0178918	0.0620111
assiettes	0.137807	0.0719191	0.091282	0.0951823	0.0423224	0.0289571	0.0219946	0.0209342	0.0177193	0.0179173	0.0129693	0.0176904	0.0145447	0.0147746	0.0171154	0.0191011	0.0189318	0.0228757	0.0121259	0.0194295	0.0229348	0.0227264	0.0256354	0.0227882	0.0359974	0.0294859	0.124838
</S>	0.12867	0.0274624	0.0225888	0.0177998	0.0179801	0.0175444	0.0217958	0.014187	0.0198046	0.0234536	0.0220019	0.0297392	0.0284929	0.0240362	0.0279499	0.0347064	0.0401712	0.0390587	0.021357	0.0307196	0.0252172	0.0242379	0.0314832	0.0435763	0.052782	0.0357724	0.177412
