 	n	g	á	i	s	á	a	o	d	z	e	e	m	á	o	d	ú	u	o	t	ω	m	b	í	l	i	k	a	á	n	d	z	á	á	i	s	á	a	o	y	é	i	</S>
je	0.189211	0.159806	0.077318	0.0893917	0.0243217	0.0352503	0.0177471	0.00914662	0.00826052	0.0105006	0.0119287	0.00988868	0.018497	0.0176274	0.0251985	0.0253814	0.00886695	0.00764508	0.00620478	0.00681067	0.00675719	0.00499256	0.00480628	0.00637917	0.00774055	0.00950329	0.0100092	0.00805695	0.00999748	0.0124644	0.0136987	0.0155098	0.0122786	0.0139065	0.0118684	0.0132058	0.0117378	0.0125126	0.00921085	0.0110029	0.0116132	0.0118999	0.0118456
ne	0.0622575	0.03607	0.0293886	0.0370094	0.0673394	0.0480331	0.0568011	0.0577886	0.0503194	0.0626293	0.0493342	0.0278397	0.0212532	0.0211176	0.0113147	0.0146957	0.0200004	0.026919	0.0194258	0.0203272	0.0175346	0.0189754	0.016692	0.0145144	0.014753	0.00839755	0.019896	0.0191558	0.0157564	0.0189938	0.0182466	0.00992697	0.00873311	0.00853673	0.00663355	0.00778852	0.00760178	0.00430532	0.00381214	0.00318642	0.00278209	0.0043195	0.00959448
suis	0.0394385	0.0420921	0.0600045	0.0247926	0.0335823	0.0316793	0.0151808	0.0465416	0.0259443	0.0312331	0.031995	0.0350578	0.0382456	0.0512052	0.05715	0.0503273	0.0346029	0.0288741	0.0231139	0.0182997	0.0258038	0.0206216	0.0141819	0.0151163	0.0185572	0.0198675	0.0204484	0.0153456	0.0177533	0.0129333	0.0134098	0.0105386	0.00867066	0.00655736	0.00651379	0.00503111	0.00392455	0.00430063	0.00525339	0.0069627	0.00824177	0.00761459	0.0129917
pas	0.0153131	0.012595	0.00860653	0.00711307	0.0175549	0.0174748	0.0419572	0.0592495	0.0488105	0.0525758	0.0477588	0.0671543	0.0409104	0.0395236	0.0311653	0.0177206	0.0702265	0.0587579	0.048776	0.0485822	0.0244411	0.0380493	0.019748	0.0186677	0.0166996	0.00968214	0.0117386	0.0055048	0.00816412	0.00889166	0.00849737	0.00479931	0.00369761	0.00527277	0.0053437	0.0061883	0.00409252	0.00476979	0.00804624	0.00642263	0.00997845	0.00850121	0.0109773
encore	0.00787495	0.00386926	0.00190676	0.00270614	0.0135732	0.00544064	0.0252088	0.0394308	0.0353846	0.042188	0.0392876	0.0540386	0.0177038	0.0267868	0.0158316	0.0132869	0.0489583	0.0367637	0.0353283	0.0565809	0.0351528	0.0382531	0.0272075	0.0280284	0.0335729	0.0240243	0.020344	0.0206449	0.02217	0.0176258	0.0169936	0.0153055	0.0173455	0.0175462	0.0167181	0.0151496	0.0149531	0.0137046	0.0149386	0.0140365	0.0157248	0.015954	0.0224564
chauffeur	0.00618341	0.00365869	0.00292668	0.00382191	0.00579754	0.00622403	0.0151563	0.0217222	0.0214888	0.0201512	0.025895	0.023916	0.0161485	0.020545	0.0163375	0.0185248	0.0314898	0.0309425	0.0249645	0.0375162	0.0304741	0.0422572	0.0339149	0.0362505	0.0339596	0.0291407	0.0256154	0.0261545	0.0253465	0.0210192	0.0203769	0.0204619	0.0301508	0.0269519	0.0320585	0.0219582	0.0259015	0.0262678	0.025946	0.0270911	0.0287908	0.0243028	0.0321986
mais	0.00251484	0.00210753	0.0033975	0.00334723	0.00362287	0.00638586	0.0255696	0.0310956	0.0254212	0.0274694	0.0313813	0.0235749	0.0195025	0.0143004	0.0111987	0.011323	0.0246357	0.0232466	0.0173656	0.0258652	0.0294082	0.0245701	0.0228492	0.0278981	0.0281172	0.0273469	0.0376862	0.0270392	0.0322067	0.0386931	0.0430549	0.0367845	0.029731	0.0384477	0.0306302	0.0340144	0.0247713	0.0233147	0.0244265	0.0190633	0.0178009	0.0190836	0.0297367
un	0.00789362	0.0067239	0.00494771	0.00577581	0.00742135	0.00752903	0.0138912	0.0163289	0.0131	0.0113212	0.0129646	0.0129193	0.0094822	0.0117916	0.00998385	0.0118384	0.02658	0.0374895	0.0265486	0.0411486	0.0332779	0.0380051	0.0360575	0.0418978	0.0447253	0.0453208	0.0334504	0.0385322	0.0346166	0.0277288	0.0239591	0.0191872	0.019624	0.0255626	0.0266998	0.0248847	0.0286758	0.0222991	0.0260655	0.0272736	0.0266798	0.0262444	0.0335527
apprenti	0.00855274	0.00691201	0.00551943	0.00586283	0.0107314	0.0132619	0.00937935	0.0107253	0.0129361	0.0145733	0.0145707	0.0167221	0.0125984	0.0179082	0.0157789	0.0193417	0.0234997	0.0236442	0.0197707	0.0238019	0.0300492	0.024848	0.0245467	0.0243197	0.0275672	0.0250491	0.0223179	0.022265	0.02826	0.0364025	0.0309491	0.0279421	0.0229782	0.0263316	0.0268004	0.0330485	0.0362979	0.0303175	0.0353688	0.0422224	0.0401247	0.0433365	0.0525663
</S>	0.00872426	0.0062	0.00469166	0.0037958	0.00785182	0.00811306	0.00857044	0.0100665	0.011029	0.0129954	0.0104702	0.0112787	0.0075584	0.0113079	0.00770545	0.0095337	0.0204759	0.0296401	0.0256549	0.0373911	0.0383605	0.0485229	0.0516018	0.0529749	0.0534977	0.0364336	0.0280227	0.0294871	0.0244858	0.0195977	0.0171076	0.0147689	0.0148944	0.0177234	0.0213412	0.023367	0.0261527	0.0274887	0.0364065	0.0377258	0.0414088	0.0387563	0.0468196
