 	e	k	u	l	ú	y	o	k	ω	ω	é	m	i	k	á	m	b	á	o	k	u	r	u	r	u	</S>
il	0.0108587	0.0152978	0.0164679	0.0115795	0.0114735	0.0141444	0.0459263	0.0453109	0.0913846	0.0740341	0.101941	0.0827583	0.0511339	0.0392204	0.0324794	0.026314	0.0266378	0.0250401	0.0254006	0.018847	0.0346562	0.0371248	0.0411597	0.040929	0.0399469	0.0399335
manque	0.0758252	0.0678248	0.0462393	0.0305803	0.0193341	0.0115475	0.00937324	0.020954	0.0296352	0.0515207	0.0787836	0.068396	0.0749017	0.120428	0.0765233	0.0361983	0.0191774	0.0163963	0.00832331	0.016809	0.0305201	0.0238161	0.0349163	0.0132082	0.0081765	0.0105917
quelqu'	0.0176827	0.00976941	0.0110882	0.0187209	0.0465606	0.0411114	0.0423598	0.0451014	0.0606681	0.062126	0.0547583	0.0397909	0.0502377	0.0910734	0.0532786	0.0534653	0.0629125	0.064792	0.0580122	0.0364337	0.0239495	0.0180438	0.0113436	0.00885504	0.0113019	0.00656333
un	0.0312344	0.028769	0.0302827	0.0370143	0.0552269	0.0617923	0.0863632	0.0983055	0.0521453	0.046106	0.0488752	0.0617902	0.0412374	0.0349272	0.0299379	0.0366558	0.0312703	0.0216174	0.016191	0.0135355	0.0206581	0.0152185	0.0195572	0.0195399	0.0256661	0.0360827
pour	0.0401286	0.0409336	0.0443475	0.0568533	0.0600758	0.0291345	0.0118361	0.0128326	0.0105745	0.0116916	0.0146291	0.0177155	0.0220216	0.0455815	0.0624533	0.0757358	0.0697211	0.0543304	0.0509608	0.0380644	0.0311484	0.0273812	0.0373252	0.0353364	0.028223	0.070964
réchauffer	0.024488	0.0256085	0.0415623	0.0767694	0.105011	0.064802	0.0359306	0.0268405	0.0180196	0.0187922	0.0167846	0.0206486	0.0327734	0.0414765	0.0414404	0.0417684	0.0446359	0.0396826	0.0458867	0.0293306	0.0333426	0.031197	0.0320427	0.0438976	0.0323735	0.0348949
les	0.050262	0.0378806	0.0496031	0.0779729	0.102529	0.0654993	0.0246631	0.0308932	0.025052	0.0239254	0.0288093	0.030102	0.0320771	0.0366926	0.050867	0.0431799	0.0257812	0.0197304	0.0170098	0.0265281	0.0323643	0.0284935	0.0362515	0.0328097	0.0281097	0.042913
restes	0.120276	0.0559418	0.0417483	0.0388738	0.0425925	0.0380119	0.0365165	0.0364078	0.0376804	0.0338722	0.0265947	0.0310661	0.0359076	0.0366247	0.0335896	0.0233667	0.014552	0.0123539	0.0120466	0.016584	0.0269856	0.0349784	0.0298554	0.0615998	0.0494584	0.0725152
d'	0.0372297	0.0463173	0.0386024	0.0341826	0.0273658	0.0125316	0.019084	0.0133181	0.01313	0.0135441	0.0128391	0.0112122	0.0121281	0.0149825	0.0248334	0.0451627	0.0677692	0.0632132	0.0446701	0.0491047	0.0612206	0.0509506	0.0593956	0.0683808	0.0661842	0.0926474
hier	0.0236562	0.0216459	0.0212237	0.0207702	0.0177063	0.00932715	0.00978636	0.0090953	0.00904291	0.00816829	0.00770405	0.00735775	0.00801697	0.0106326	0.0176868	0.0470962	0.0581352	0.0483578	0.0431669	0.0648228	0.0921033	0.0843245	0.0903345	0.0878251	0.0898958	0.0921174
</S>	0.0419978	0.0275485	0.0246837	0.0252449	0.0322602	0.0227819	0.0331257	0.0282938	0.0270595	0.0212445	0.0144879	0.00875768	0.0100094	0.0180671	0.0246267	0.0442691	0.0398366	0.0302605	0.0497027	0.0489585	0.061499	0.0667529	0.0701715	0.0746363	0.0748556	0.078868
