 	a	n	g	ó	o	k	á	a	b	á	a	n	ώ	n	g	ώ	s	ώ	b	á	n	a	b	á	b	á	a	t	o	n	g	a	y	e	e	b	á	r	á	l	a	m	b	e	m	b	e	</S>
les	0.147002	0.0781199	0.0353206	0.0177954	0.0142591	0.020467	0.026942	0.0238481	0.0251702	0.018295	0.0229956	0.0282852	0.0498852	0.0539632	0.05366	0.0446432	0.0365513	0.0239906	0.0208782	0.0196739	0.0228791	0.011087	0.0113495	0.00702498	0.00573728	0.00525364	0.0037597	0.00478426	0.00386317	0.00409196	0.00658129	0.00652661	0.00541568	0.00813391	0.00797706	0.00970908	0.0100217	0.0107776	0.0112614	0.0126387	0.00977976	0.0106203	0.00776913	0.00948893	0.00721195	0.00790502	0.00841665	0.00818902
mamans	0.0461786	0.0481459	0.0754086	0.0997298	0.224498	0.119081	0.034546	0.0193445	0.0143392	0.0142306	0.0113984	0.00926373	0.00649489	0.00568277	0.00687532	0.00713998	0.0128516	0.00921349	0.0106154	0.0123087	0.0105768	0.0145003	0.00991218	0.0113025	0.00749353	0.00570133	0.00442784	0.00391452	0.00338132	0.00391599	0.00518219	0.0067513	0.00617016	0.00933113	0.0119882	0.0161071	0.00710394	0.00932525	0.00941311	0.00952274	0.00804695	0.0085229	0.00564738	0.008669	0.00695601	0.0029347	0.00325624	0.0025988
doivent	0.0355445	0.0477022	0.0622248	0.0398737	0.0559397	0.0410031	0.0337899	0.0421667	0.0447067	0.029368	0.031531	0.0321521	0.0442607	0.0551449	0.0352702	0.0169378	0.0167613	0.0136671	0.00754036	0.00427997	0.00404228	0.00803688	0.00561005	0.00459339	0.0076161	0.00702126	0.00842655	0.0108566	0.00830184	0.0139325	0.0112727	0.0123777	0.0132748	0.0133462	0.0119726	0.0123143	0.0149166	0.0139431	0.0160439	0.0189825	0.0158571	0.0186515	0.0114193	0.0134207	0.0120656	0.00676777	0.0111128	0.00395869
vacciner	0.00968339	0.0240888	0.0300889	0.0327443	0.035062	0.0340579	0.0294574	0.0426035	0.0373883	0.0303175	0.0360293	0.0227863	0.0327991	0.024002	0.0204485	0.0175927	0.0183956	0.0117817	0.0133931	0.0120904	0.0122299	0.0126305	0.0125366	0.018322	0.0232997	0.0177551	0.0112329	0.0133803	0.011279	0.0149941	0.0134698	0.0108881	0.0131024	0.0201225	0.0232247	0.0220787	0.0170564	0.0228307	0.0205963	0.0248484	0.0316696	0.0254626	0.016389	0.0199082	0.0137577	0.0066189	0.0120735	0.0234315
leurs	0.030253	0.0214597	0.0209279	0.0206248	0.0205956	0.0203001	0.0171222	0.0202975	0.0204018	0.0203866	0.0184304	0.0167675	0.0154306	0.0148333	0.0198338	0.0199856	0.017229	0.0118881	0.015298	0.0211445	0.0264106	0.0255359	0.0260749	0.0284351	0.0367331	0.0320935	0.0326924	0.0235435	0.0283754	0.025528	0.02498	0.0184537	0.0191949	0.0205538	0.0179627	0.0134489	0.0142598	0.0112895	0.0089378	0.00797361	0.0109785	0.0101367	0.0177104	0.0157682	0.0166457	0.0208575	0.0225259	0.0596897
enfants	0.014935	0.0123146	0.013565	0.0146114	0.0154616	0.0158611	0.0151265	0.0165843	0.0164915	0.0180115	0.0197132	0.0262445	0.0238537	0.0218454	0.0273187	0.0292647	0.0319788	0.0287428	0.0354284	0.0327101	0.0419724	0.0513781	0.0510691	0.0299213	0.0432369	0.0280064	0.020842	0.01548	0.0194512	0.0174255	0.0168495	0.0125613	0.0144143	0.012733	0.0121317	0.0119448	0.0103718	0.0102499	0.0102904	0.0119269	0.0143058	0.0122637	0.013043	0.013618	0.0146761	0.0138854	0.0177404	0.0281483
contre	0.00850647	0.00602478	0.0054605	0.00719541	0.0086811	0.00996504	0.00952265	0.00893127	0.00943189	0.0083454	0.00780209	0.00698148	0.00725511	0.00899905	0.00904252	0.00626267	0.00675051	0.0076941	0.0101564	0.010525	0.0205104	0.0288832	0.0239437	0.0443353	0.0437051	0.0368439	0.0398591	0.0272706	0.0408242	0.0388864	0.0320241	0.0201879	0.025308	0.0368675	0.028131	0.0261906	0.0199534	0.024547	0.0231819	0.0214823	0.0222789	0.0225093	0.0248522	0.0315587	0.0283023	0.0339972	0.0285853	0.0414471
la	0.0104307	0.00965811	0.00907804	0.0103179	0.0111854	0.0121427	0.0110932	0.00693895	0.00570549	0.00527033	0.00508869	0.00492835	0.00532119	0.00574224	0.00579264	0.0051515	0.00497851	0.00592402	0.00751637	0.0067243	0.00882479	0.0144668	0.0111437	0.0196517	0.0249655	0.0181194	0.0217104	0.0187854	0.0274164	0.0288973	0.0287101	0.0217827	0.0291453	0.0432854	0.0366978	0.0362492	0.0335857	0.0361832	0.0348776	0.0333993	0.0335077	0.0346374	0.0393437	0.0424265	0.0394588	0.0446003	0.0392252	0.049914
rougeole	0.0210306	0.020248	0.0115258	0.00865918	0.00616968	0.00428222	0.00466258	0.00459257	0.00525719	0.00575828	0.00500117	0.00510367	0.00354009	0.00480837	0.0055564	0.00832548	0.00896162	0.0131241	0.0219246	0.0226516	0.0326924	0.0418048	0.0325096	0.0488899	0.0605604	0.0529252	0.0455278	0.030481	0.0268085	0.0246675	0.0289629	0.0279329	0.0230171	0.0153468	0.0129226	0.0145946	0.0122329	0.0209872	0.0187603	0.0222201	0.0186703	0.0154608	0.00868728	0.0288601	0.0323945	0.0292749	0.0315936	0.0500309
</S>	0.024707	0.0212246	0.027453	0.0242291	0.0189376	0.0154385	0.00787551	0.0107259	0.00961627	0.00990713	0.00796977	0.00497518	0.00431329	0.0056663	0.00481756	0.0044335	0.00476567	0.00358601	0.00702864	0.00749133	0.00827988	0.0100709	0.01196	0.0160952	0.0245017	0.0177716	0.0194933	0.0246516	0.0261696	0.0317975	0.0274053	0.0214315	0.0277371	0.0396733	0.0473963	0.0452923	0.0360755	0.0304675	0.0282707	0.0225346	0.025237	0.0162366	0.0268235	0.0222621	0.0237676	0.0324478	0.0365712	0.0744168
