 	o	t	ω	m	b	í	l	i	m	á	n	ω	n	ω	á	m	i	í	s	á	á	o	w	á	b	v	u	m	b	ú	</S>
le	0.0103351	0.0127735	0.0121468	0.0113747	0.0197726	0.0197513	0.0340052	0.032296	0.0365412	0.0519461	0.0398692	0.0418609	0.025932	0.0312436	0.0209554	0.0243905	0.0153984	0.0147237	0.035221	0.0346274	0.0206123	0.0438441	0.0448446	0.0559894	0.0493647	0.0473038	0.0337399	0.0521878	0.0504498	0.0453421	0.0311569
véhicule	0.0172651	0.0606178	0.0488437	0.034333	0.0425131	0.0333539	0.129383	0.0640032	0.0891924	0.0609437	0.0706612	0.0452204	0.0564259	0.0384065	0.0449667	0.0298123	0.0207541	0.0164345	0.0122608	0.00627109	0.00584531	0.00782992	0.00531529	0.00723307	0.00380601	0.0236504	0.00709199	0.0114656	0.00483187	0.000781822	0.000486147
de	0.0316115	0.0185233	0.0160549	0.0206141	0.0458641	0.0489741	0.0507144	0.0371434	0.0304992	0.0236016	0.0230998	0.0162116	0.0245982	0.0292126	0.0381782	0.0287908	0.0400638	0.0477257	0.0393885	0.0816113	0.0775398	0.0450675	0.0356045	0.0416626	0.0194631	0.0296118	0.0114233	0.0209323	0.0142117	0.00851732	0.00348511
nono	0.0182143	0.0222296	0.0396041	0.049732	0.0665775	0.0898784	0.0584864	0.0451649	0.0253667	0.0284826	0.0265866	0.0263095	0.031086	0.0551538	0.0325861	0.0347338	0.024889	0.0340017	0.0276327	0.0471273	0.0272043	0.0154733	0.0271609	0.0127475	0.00991902	0.0146555	0.00912409	0.0205293	0.0195083	0.0248953	0.0349394
est	0.0520806	0.0438743	0.0480876	0.041555	0.0464435	0.0398236	0.0337083	0.0255954	0.0170349	0.0182306	0.0195038	0.0210579	0.0254416	0.0364917	0.0289205	0.0432457	0.0391804	0.0380587	0.0454641	0.0673802	0.0352634	0.0298028	0.0250888	0.0235856	0.0168036	0.013118	0.0152578	0.0214034	0.0177248	0.0177271	0.0530465
irréparable	0.0245929	0.0307152	0.0406044	0.0435314	0.0332046	0.0395824	0.0294358	0.0353845	0.0247632	0.0247988	0.0272681	0.0325843	0.0411739	0.0462979	0.0811292	0.0565319	0.0605365	0.0469504	0.0306127	0.0264982	0.0254958	0.0244722	0.0189963	0.0181471	0.0199849	0.0226433	0.0197349	0.0216948	0.0185361	0.015579	0.0185193
pour	0.0369067	0.0332139	0.0448316	0.0424399	0.0215378	0.0252811	0.0195911	0.0413778	0.0341743	0.0304989	0.0318334	0.0340382	0.0383422	0.0386896	0.0626657	0.0499512	0.0546731	0.0477069	0.0393426	0.029341	0.0202351	0.0270305	0.0154044	0.014306	0.0156917	0.0229822	0.016418	0.0322925	0.0211229	0.0245759	0.0335036
de	0.0841626	0.071094	0.0624261	0.0567466	0.027819	0.0248786	0.020678	0.0499241	0.0389461	0.0314601	0.0249857	0.0163425	0.0176485	0.0159214	0.0297743	0.0332471	0.0368238	0.0339745	0.0264692	0.0196624	0.0113946	0.0254232	0.015132	0.0106862	0.0118136	0.0160794	0.0113881	0.0289371	0.0222968	0.0279222	0.095942
bon	0.136139	0.0680619	0.0386314	0.026491	0.0162169	0.0109986	0.00817509	0.00996259	0.00600259	0.00543791	0.00644002	0.00674488	0.00700303	0.00632207	0.00907373	0.00894314	0.0127158	0.0169828	0.0324372	0.0290281	0.0148926	0.0244813	0.0273248	0.0301249	0.0266193	0.0291737	0.0354466	0.0568583	0.0750789	0.0932564	0.124936
</S>	0.0553049	0.0406856	0.0316485	0.0210973	0.0139705	0.00665818	0.00563856	0.00869026	0.00694982	0.00780296	0.00882077	0.00873749	0.0110551	0.0108955	0.015536	0.0164644	0.0220166	0.0280182	0.0466413	0.0437339	0.0257918	0.0347191	0.0318578	0.0283872	0.0230015	0.0510724	0.0272884	0.073965	0.0810725	0.0981018	0.114377
