 	b	v	ú	ε	ó	b	é	r	i	n	g	á	a	l	ω	i	m	ó	l	έ	n	g	έ	</S>
le	0.0196521	0.0112501	0.00836506	0.00910753	0.00655369	0.011255	0.0202851	0.0487889	0.0510387	0.0572903	0.0875926	0.117715	0.104343	0.0954778	0.0704095	0.049075	0.0253878	0.0167566	0.0407447	0.0328613	0.0255629	0.0379661	0.0331092	0.0194122
beau-frère	0.035731	0.0214961	0.0192296	0.00639487	0.00892844	0.0114045	0.0160056	0.0379477	0.0593231	0.0726924	0.127321	0.120224	0.113458	0.0906963	0.0399703	0.0472598	0.0581464	0.021175	0.0498592	0.0252054	0.00497856	0.00536143	0.00566212	0.00152866
m'	0.0763746	0.0628752	0.0529658	0.032659	0.0326762	0.0337226	0.0308906	0.0717985	0.0676723	0.0789632	0.0548153	0.0510342	0.0663142	0.0470762	0.0598149	0.0451327	0.0335765	0.0306032	0.0187251	0.0149393	0.00821171	0.010325	0.0107597	0.00807384
a	0.104808	0.0671882	0.0887166	0.087289	0.0977417	0.076066	0.0384172	0.0554351	0.0453626	0.0548473	0.0349666	0.0528499	0.0398022	0.0492188	0.0108234	0.00505416	0.00888212	0.00596665	0.00636103	0.00535282	0.00640845	0.00913156	0.0130272	0.0362827
apporté	0.105022	0.0558585	0.0841603	0.0559224	0.0721419	0.053384	0.0462109	0.0338111	0.047885	0.025217	0.029312	0.0170623	0.0142368	0.0278817	0.0204838	0.0359962	0.0327666	0.0303025	0.0313113	0.0200547	0.0170686	0.0190175	0.0368869	0.0880063
du	0.120343	0.0704978	0.09375	0.0938775	0.0869724	0.056201	0.0324078	0.0241718	0.0255849	0.0135101	0.00835714	0.00580397	0.00515218	0.00689375	0.00590519	0.0136369	0.0169156	0.019237	0.0161527	0.0200799	0.0496527	0.0454615	0.0466777	0.122758
vin	0.11107	0.0702891	0.0712223	0.0653726	0.0634694	0.0621725	0.054797	0.0358933	0.0301143	0.0173117	0.0181307	0.00601792	0.00461076	0.00737967	0.0110866	0.0167792	0.020805	0.0201666	0.0227316	0.0275279	0.0510172	0.0488977	0.0573446	0.105793
de	0.11111	0.0745693	0.0727663	0.0670857	0.0597878	0.0428031	0.0367063	0.0344588	0.030022	0.0261382	0.0177028	0.0165444	0.00627477	0.0138195	0.00913623	0.0124461	0.0238837	0.0242035	0.0162267	0.0168734	0.0314284	0.0391362	0.0460177	0.170859
palme	0.070539	0.0549733	0.0562088	0.055712	0.0507829	0.0347097	0.0276247	0.0233204	0.0210233	0.0176302	0.0141511	0.00713691	0.0063472	0.0124878	0.0110978	0.0160736	0.0236471	0.0363928	0.042436	0.0246133	0.0732763	0.0506563	0.0990457	0.170114
</S>	0.139681	0.102446	0.102394	0.087028	0.0555966	0.0376774	0.029501	0.0331279	0.0213199	0.0144519	0.00955154	0.00771711	0.00569807	0.00925242	0.012215	0.0155124	0.0265984	0.0276661	0.0190185	0.0124768	0.0302317	0.0225265	0.0406242	0.137688
