 	m	í	i	n	g	w	έ	l	έ	m	í	k	i	r	a	m	í	m	í	d	z	á	a	</S>
ceux-ci	0.0127969	0.00969911	0.00831545	0.0111098	0.00991534	0.0264331	0.0260484	0.0193523	0.031599	0.0355566	0.0454322	0.0583901	0.0481459	0.0554877	0.0529919	0.0726153	0.0795532	0.0668568	0.083028	0.081734	0.0569503	0.0478779	0.0329647	0.027146
sont	0.054957	0.0979652	0.0991994	0.10046	0.0862764	0.0927162	0.0810965	0.0653239	0.0372975	0.0347409	0.0224615	0.0161455	0.0313272	0.0245049	0.026138	0.0407903	0.0205852	0.0215032	0.0113049	0.00329773	0.00770814	0.00476851	0.00859243	0.0108396
des	0.034005	0.0300201	0.0424958	0.0608191	0.118151	0.0740295	0.165432	0.0995762	0.0848368	0.0471774	0.030884	0.0238139	0.0178755	0.0130713	0.00873346	0.0270078	0.0150283	0.0131904	0.00779183	0.00986987	0.0118577	0.0135967	0.00979072	0.0409457
maniocs	0.041375	0.0868084	0.0811037	0.0937604	0.0666329	0.0491008	0.0554416	0.0314683	0.0333512	0.0138247	0.00804343	0.0109856	0.0187624	0.0299473	0.0128899	0.0370418	0.0440931	0.065415	0.0441089	0.0265129	0.0410164	0.0230838	0.0238095	0.0614229
à	0.0246102	0.0216995	0.0251537	0.0296517	0.0341115	0.0461765	0.0323743	0.0281746	0.025506	0.0237577	0.0202985	0.0171438	0.0322238	0.0521354	0.0551636	0.0378497	0.0659623	0.109954	0.054048	0.0307183	0.0550781	0.0154484	0.0555286	0.107232
vendre	0.024425	0.0192324	0.0213253	0.0218968	0.0192972	0.0370884	0.0228001	0.0190001	0.0230186	0.0187261	0.0170058	0.0320782	0.0795585	0.0832357	0.104285	0.047767	0.0421263	0.0596868	0.0480558	0.0426333	0.0605545	0.042188	0.0540956	0.0599192
ceux-ci	0.0448408	0.0394006	0.040281	0.0397466	0.0277278	0.0439368	0.031141	0.0252535	0.0347074	0.0261093	0.0162664	0.0222013	0.0417856	0.038232	0.0493009	0.0334364	0.0467	0.0608967	0.0466981	0.0377648	0.0475818	0.0536372	0.0612375	0.0911164
sont	0.0705718	0.0520796	0.0453883	0.0432709	0.0347952	0.0353068	0.0352284	0.0295092	0.0267949	0.022987	0.0132917	0.0136953	0.0293493	0.0355134	0.0415382	0.0523292	0.06187	0.0709558	0.0446339	0.0344487	0.036586	0.0523237	0.0414096	0.076123
à	0.108346	0.0801448	0.0539666	0.0486632	0.0317223	0.0257563	0.0121007	0.00648974	0.00460424	0.00506433	0.00575908	0.00754306	0.0260017	0.0258856	0.0196774	0.026217	0.0202204	0.0371339	0.0413167	0.0577653	0.0644048	0.0514252	0.106827	0.132965
manger	0.140136	0.0993393	0.0487604	0.0447988	0.0232859	0.0183146	0.0128251	0.00838368	0.00637432	0.00606102	0.00751595	0.0127592	0.0264952	0.0326645	0.0301845	0.0262965	0.0284296	0.0320438	0.0372582	0.0547803	0.0592742	0.0646756	0.0791888	0.100155
</S>	0.150341	0.108419	0.0292642	0.0204054	0.0157353	0.0154162	0.0122663	0.010009	0.00855753	0.006716	0.0044463	0.00550551	0.00981281	0.0194724	0.0215198	0.0224044	0.0385586	0.0509315	0.061517	0.0857971	0.0554478	0.0634144	0.0581907	0.125852
