 	n	g	á	l	a	m	o	ó	b	o	m	á	i	b	í	r	í	m	ó	k	ω	n	y	i	</S>
j'	0.138572	0.17676	0.307693	0.132767	0.0260537	0.00803742	0.00561829	0.01338	0.0121551	0.0130793	0.0176796	0.018305	0.0204028	0.0253024	0.0129592	0.0137369	0.00642581	0.00505856	0.00438186	0.00618158	0.00674096	0.0053579	0.00677488	0.00755713	0.00901938
ai	0.113872	0.0435388	0.0198583	0.0228043	0.0704048	0.113379	0.0679739	0.10237	0.0751187	0.0639014	0.0242753	0.0142262	0.00927584	0.0227651	0.0258278	0.0659927	0.0367958	0.0145644	0.0106859	0.0129279	0.0121325	0.0106239	0.0093023	0.0141277	0.0232557
déjà	0.0235417	0.0284406	0.0331341	0.0225519	0.0269881	0.0332869	0.0259715	0.0282032	0.0235665	0.0295771	0.0380333	0.0295901	0.03498	0.0314749	0.0554748	0.0530587	0.0540228	0.0808491	0.0539218	0.0550993	0.0548941	0.0417817	0.0496156	0.0441069	0.0478352
tué	0.00838323	0.00503199	0.00417885	0.0043372	0.0067111	0.0142017	0.0221974	0.0315463	0.0331661	0.0530312	0.0517237	0.0470419	0.0515502	0.0517139	0.0650615	0.0521721	0.0517099	0.069603	0.0543523	0.0533501	0.0391352	0.0413562	0.0445779	0.055994	0.087873
un	0.00956353	0.0097573	0.00965237	0.0261486	0.0369522	0.053803	0.0450584	0.0361873	0.0351793	0.0359675	0.0424177	0.028601	0.0512076	0.0519315	0.0537636	0.0356418	0.0363184	0.0383561	0.046867	0.0418298	0.0406599	0.0433344	0.0492436	0.0556535	0.0859045
serpent	0.0132091	0.0144095	0.0174407	0.0244891	0.0242037	0.0226782	0.0236101	0.028849	0.0236185	0.02417	0.0310632	0.0327812	0.0471219	0.0487139	0.0371013	0.0401932	0.0399663	0.0554092	0.0617471	0.0622475	0.0542349	0.0617742	0.0637889	0.0674745	0.0797047
naja	0.0113352	0.0114536	0.0136402	0.0240055	0.0228414	0.0212257	0.0215432	0.0249993	0.0217902	0.022197	0.0254598	0.0259231	0.0497326	0.0348032	0.0446246	0.0620549	0.0641033	0.0648123	0.0759785	0.0643536	0.0562358	0.0580271	0.0565514	0.0576237	0.0646851
dans	0.0502878	0.0589875	0.0441356	0.0796224	0.0758195	0.0756126	0.0674679	0.0704961	0.0437697	0.0350261	0.0146532	0.00586263	0.00987281	0.0117429	0.0117126	0.0151776	0.021468	0.0449466	0.0351151	0.0368199	0.035659	0.0364696	0.0374216	0.0370545	0.0447991
la	0.0571332	0.0544899	0.0288328	0.0304055	0.0324606	0.0324569	0.0344454	0.0335069	0.0328773	0.0318856	0.0325302	0.0270867	0.0284994	0.0127553	0.0179896	0.0132671	0.021719	0.0288772	0.0327459	0.0412956	0.0396439	0.0654707	0.0694401	0.0853325	0.114853
nasse	0.0226229	0.0217085	0.020878	0.0229747	0.0223041	0.0164107	0.0158813	0.0165679	0.0122139	0.0146645	0.0126593	0.00930031	0.0162688	0.0323941	0.0347136	0.0607061	0.0452766	0.0460732	0.0354899	0.065709	0.0663894	0.0894481	0.0854285	0.0959645	0.117952
</S>	0.0453968	0.0239269	0.0106117	0.012185	0.0143419	0.0124327	0.0244702	0.0227708	0.0235913	0.0230196	0.0228779	0.0252495	0.0232685	0.0243469	0.0310894	0.026556	0.0424991	0.0536695	0.0526005	0.063858	0.0619743	0.0762732	0.0822725	0.086408	0.11431
