 	o	m	i	i	g	h	i	i	k	ώ	ώ	b	á	n	g	ó	o	y	a	n	g	á	l	í	n	ω	</S>
c'	0.0116876	0.0166414	0.0150476	0.0188821	0.0189127	0.017156	0.0214953	0.0208002	0.0221514	0.0252019	0.0226178	0.0294832	0.0629784	0.0351127	0.0321987	0.0261025	0.0279213	0.0489046	0.0671622	0.0714473	0.0607449	0.0759488	0.0795318	0.0815334	0.0386447	0.0310732	0.020618
est	0.0416475	0.0628613	0.0577596	0.045879	0.0304592	0.0287682	0.0389989	0.0431571	0.0533796	0.0540058	0.0562621	0.0775901	0.0676433	0.0556686	0.0614388	0.0446302	0.051055	0.0342074	0.0196158	0.0164464	0.0117286	0.0104045	0.00658883	0.00620911	0.00662691	0.00570385	0.0112643
donc	0.0231828	0.0327644	0.0258284	0.0268599	0.0200195	0.0254064	0.0190564	0.0159338	0.006911	0.00438117	0.00627662	0.00957549	0.00399423	0.011141	0.00333603	0.0159782	0.0158006	0.0401701	0.0994862	0.0524399	0.0555004	0.165844	0.164229	0.0754699	0.0465077	0.00909879	0.024808
toi	0.0161314	0.0171505	0.0158793	0.0175886	0.0207034	0.0212854	0.0143022	0.0143033	0.0157047	0.00782518	0.0155665	0.0207277	0.0348291	0.0342101	0.0321256	0.038854	0.0363847	0.0357713	0.0498331	0.0600277	0.0832507	0.118457	0.127827	0.0809575	0.0275876	0.00920368	0.0335126
qui	0.0137307	0.0184646	0.0221271	0.0330166	0.0385551	0.0355437	0.0380772	0.0341285	0.0264068	0.016504	0.0142197	0.015938	0.0256878	0.0206561	0.0237523	0.0227207	0.0324931	0.0554887	0.0685405	0.0717759	0.0796078	0.0759706	0.0768752	0.053245	0.0234443	0.0214799	0.0415502
te	0.0124507	0.022168	0.0307205	0.05314	0.0721392	0.0514247	0.0586055	0.0469743	0.039829	0.0243149	0.0373692	0.0381907	0.0375515	0.0305086	0.0315473	0.0293515	0.038806	0.0408741	0.041364	0.0379889	0.0348474	0.0515792	0.0384818	0.0290156	0.0152385	0.0220424	0.0334766
gave	0.0547988	0.0794664	0.0804323	0.0645564	0.0450001	0.0364712	0.0344213	0.0377423	0.0392537	0.0268377	0.0179107	0.0279201	0.0296245	0.0213117	0.0188368	0.0117826	0.01676	0.0393151	0.0363162	0.0368758	0.038472	0.0294501	0.0291259	0.0247233	0.0229709	0.0306986	0.0689255
du	0.131431	0.1367	0.0875576	0.0611363	0.0550827	0.040283	0.0331685	0.0284666	0.0169521	0.0128981	0.0120499	0.0158661	0.00819481	0.00793706	0.00617054	0.00633197	0.00819239	0.0116212	0.0203046	0.025787	0.0314445	0.0213553	0.0261954	0.0203086	0.0222467	0.0540688	0.098249
manioc	0.171683	0.117682	0.0766541	0.0532022	0.0610014	0.022876	0.0122904	0.0130562	0.0110027	0.0110757	0.00867253	0.0180724	0.00528069	0.0041326	0.00479905	0.00579086	0.00407782	0.00307272	0.0024788	0.00241915	0.00221642	0.00386188	0.0106396	0.0200897	0.0587271	0.0674101	0.227735
de	0.146509	0.0655375	0.0448259	0.0240663	0.0216109	0.0203534	0.0190167	0.0167442	0.0110004	0.00896056	0.0114712	0.0147776	0.0119507	0.0149297	0.0160903	0.0173772	0.0198238	0.0220903	0.0307917	0.0471181	0.0378298	0.0257669	0.0437802	0.0638271	0.0655848	0.0674372	0.110728
ma	0.103884	0.0697214	0.0631718	0.039191	0.026919	0.0290873	0.0201924	0.0157045	0.00943722	0.00680197	0.00833178	0.00974064	0.0135517	0.0198115	0.018201	0.0190074	0.0179216	0.0249161	0.0267254	0.0398289	0.0489465	0.0398303	0.067749	0.0522807	0.0639829	0.0658186	0.0792459
mère	0.137279	0.0567427	0.0444274	0.0235071	0.0239773	0.02534	0.017501	0.0167685	0.0152942	0.0159965	0.0150481	0.0168225	0.0137238	0.0129662	0.0129777	0.0112837	0.00890669	0.00674129	0.00706036	0.00988244	0.00935351	0.00962395	0.014995	0.036932	0.109751	0.0882315	0.238866
</S>	0.148249	0.0829272	0.0714888	0.0367922	0.0268411	0.0309107	0.0234536	0.019467	0.012572	0.00909773	0.0122318	0.0147813	0.0149512	0.0227667	0.0212601	0.0253773	0.0221597	0.0284848	0.0344584	0.0508031	0.0423493	0.0217137	0.0317361	0.0346103	0.0500485	0.040087	0.0703815
