 	o	y	ú	r	u	w	ó	á	b	h	i	á	m	b	v	a	l	a	e	f	u	u	l	a	l	a	a	w	á	á	l	í	w	á	o	l	ó	m	i	</S>
cette	0.004095	0.0043468	0.00365149	0.00447818	0.0044221	0.00492757	0.00397616	0.00779794	0.0103773	0.00588508	0.0135211	0.0214254	0.0236913	0.0176574	0.0139705	0.0209008	0.0177301	0.0131098	0.00891668	0.0147682	0.019004	0.0232132	0.0206011	0.0226792	0.0288672	0.0280383	0.0397807	0.0250012	0.021822	0.0290655	0.0449729	0.048591	0.0439737	0.0302436	0.043219	0.045843	0.0417716	0.0827218	0.0848447	0.0560976
femme-ci	0.19015	0.182657	0.228422	0.118489	0.0614513	0.0150755	0.0242202	0.0346841	0.0344121	0.0107321	0.00617543	0.0048915	0.00230216	0.00405208	0.00674502	0.00372386	0.00311108	0.00180596	0.00132057	0.00140605	0.0013143	0.00355257	0.00241948	0.00174232	0.00222209	0.00470589	0.00513676	0.00776827	0.00145452	0.00177572	0.00441792	0.0042225	0.0052336	0.00394912	0.00277601	0.00449134	0.0030239	0.00222246	0.000877655	0.000866175
ne	0.031491	0.0392276	0.0314538	0.0373572	0.0534988	0.077482	0.0877229	0.0815951	0.0699886	0.0432074	0.016151	0.0254568	0.0272961	0.0230399	0.0237543	0.0162549	0.0172463	0.0137357	0.00999284	0.00760913	0.0127248	0.012914	0.0102355	0.0202041	0.0269177	0.0203788	0.0120676	0.0150828	0.0199779	0.0182342	0.00757613	0.01149	0.0101411	0.0112298	0.0102698	0.014593	0.010011	0.00864448	0.0072383	0.00650757
jouit	0.0224781	0.0251987	0.0191282	0.0176388	0.0152891	0.0117355	0.0199836	0.00855031	0.00962623	0.00880754	0.00929739	0.0138855	0.0111434	0.0117454	0.0176654	0.015979	0.0351634	0.040952	0.0613261	0.0532788	0.0515841	0.0347803	0.0373471	0.0394137	0.0512794	0.0235946	0.0217488	0.0346167	0.0314869	0.0365282	0.0132332	0.014402	0.0165238	0.00907954	0.0268781	0.0291226	0.0258781	0.0247166	0.0263164	0.0225974
plus	0.0335964	0.0485126	0.032733	0.0238027	0.0145583	0.0298221	0.0195528	0.0177626	0.0144298	0.00973335	0.0157711	0.0115627	0.0107825	0.0171616	0.0384537	0.0406298	0.0582042	0.0769662	0.0698934	0.0505743	0.0313911	0.0353181	0.0306259	0.0195485	0.0238692	0.0168192	0.0109192	0.0158241	0.013273	0.0136017	0.0113204	0.0126215	0.0140606	0.0118157	0.0122585	0.0144959	0.0157072	0.0165558	0.0131189	0.0323524
d'	0.0302468	0.0403108	0.0418747	0.0432531	0.0354575	0.0243987	0.0166066	0.0205552	0.0200432	0.0138737	0.0173281	0.016381	0.0195393	0.0229286	0.0203976	0.0177146	0.0308478	0.0208262	0.0177624	0.0207861	0.0293718	0.0329332	0.0261187	0.0282428	0.0193369	0.022905	0.0222994	0.0232256	0.0107345	0.0126847	0.0251511	0.0230962	0.0199321	0.0197823	0.0239869	0.0293436	0.0327709	0.024179	0.026087	0.0566865
une	0.0557278	0.0547194	0.0410282	0.0359785	0.0312627	0.0212556	0.0228492	0.027813	0.0236237	0.0183091	0.0205706	0.0203053	0.036197	0.041004	0.029187	0.0269958	0.0340332	0.0171253	0.0140935	0.0164457	0.018838	0.0268109	0.0189302	0.0203263	0.011376	0.0189026	0.0135395	0.0128058	0.00670684	0.00620786	0.0199189	0.0176454	0.01435	0.0189125	0.0221741	0.0280208	0.0275408	0.0242016	0.0263616	0.0579057
bonne	0.0195842	0.0168877	0.0172176	0.0185172	0.0180759	0.015947	0.0181448	0.0227079	0.0180141	0.0134116	0.0126525	0.0161724	0.0274477	0.037772	0.0274712	0.0305557	0.0361496	0.0293756	0.0258276	0.0293931	0.0264119	0.0291522	0.0226742	0.0219393	0.0134854	0.0243532	0.0220991	0.0189195	0.0113657	0.00695564	0.0272081	0.017942	0.0107536	0.00829522	0.0135412	0.0299091	0.018928	0.0424847	0.0456548	0.136602
santé	0.0383462	0.0529219	0.0417655	0.0422111	0.0283006	0.0186379	0.0150737	0.0201693	0.0170533	0.0130472	0.0172132	0.0131488	0.0189446	0.0237875	0.0284568	0.021219	0.0380712	0.0269873	0.0311327	0.0277212	0.0397483	0.0294819	0.0287659	0.0300015	0.0129798	0.01056	0.00985778	0.0170052	0.00725533	0.0080421	0.0200221	0.0121538	0.018843	0.00701286	0.0208408	0.0251779	0.0148055	0.0299575	0.0288017	0.0944777
depuis	0.0622067	0.0336063	0.0274993	0.0212888	0.0170906	0.010874	0.0121842	0.0156501	0.0112839	0.0112107	0.0184939	0.00861526	0.0115633	0.0165411	0.0118809	0.0131057	0.0201876	0.0222706	0.0317278	0.0314274	0.0260354	0.0163394	0.0182949	0.0206959	0.0234161	0.0145891	0.0129679	0.0356873	0.0243112	0.0228689	0.0287846	0.0154616	0.0262553	0.0106594	0.02724	0.0294642	0.0173213	0.0571087	0.0613281	0.102463
la	0.0465688	0.0309307	0.0265957	0.0208009	0.0144737	0.0184209	0.0142776	0.015639	0.0113533	0.00529596	0.0122199	0.00955862	0.012564	0.0180301	0.0109513	0.0146255	0.0169355	0.0212147	0.0257659	0.0158692	0.0165832	0.020746	0.0147828	0.020322	0.017246	0.0220923	0.0159636	0.0299902	0.0242559	0.0156414	0.0319789	0.0221596	0.0194917	0.0191322	0.0330039	0.042197	0.0304993	0.0642427	0.0684939	0.109086
mort	0.0643723	0.0698401	0.0343018	0.0211175	0.0110631	0.00917708	0.00813894	0.0078301	0.00705452	0.00471629	0.00839699	0.00830042	0.00846707	0.0109433	0.0184304	0.0175874	0.0257998	0.014544	0.0227965	0.00994938	0.0122357	0.00902676	0.00857385	0.0193999	0.0134264	0.0217732	0.0162385	0.0284154	0.0188704	0.0202506	0.0610391	0.0204688	0.0174872	0.0106703	0.0405226	0.0420517	0.0186712	0.06582	0.0579546	0.114277
de	0.038817	0.0322949	0.0212324	0.0160136	0.0132512	0.0226968	0.0308844	0.0233695	0.0159932	0.0122061	0.0100642	0.00602522	0.00619787	0.00793232	0.0102532	0.00938631	0.0278739	0.0324949	0.0419877	0.041097	0.0374968	0.0330371	0.0360309	0.032745	0.0392168	0.0246477	0.0231044	0.0327354	0.0377116	0.0337135	0.0221274	0.0205625	0.024409	0.0136041	0.0178209	0.0219586	0.023732	0.0321357	0.0274872	0.0456516
son	0.0349744	0.0197119	0.016574	0.0140469	0.0160265	0.0190334	0.0264932	0.0268895	0.0198804	0.0144706	0.0188365	0.0135671	0.0138677	0.0196918	0.0118641	0.0176578	0.0256691	0.0298612	0.0307964	0.023734	0.0284863	0.0238128	0.0269985	0.0276818	0.02785	0.0221545	0.0214427	0.0265538	0.0255506	0.0303193	0.0256621	0.0253597	0.0200289	0.0195195	0.0334267	0.0382059	0.0354826	0.0366191	0.0368845	0.054314
mari	0.0230966	0.0150562	0.0108655	0.00834177	0.00629622	0.00855632	0.00889869	0.00865755	0.00646508	0.00469767	0.00885137	0.00611341	0.00680196	0.00744856	0.00714369	0.0116665	0.0172907	0.0173179	0.0179585	0.0128202	0.0170363	0.0187698	0.0166642	0.0312795	0.0228194	0.0315592	0.0176693	0.0277449	0.0481386	0.0319785	0.0421834	0.0319398	0.0212674	0.022704	0.0408318	0.038232	0.0501728	0.0707714	0.0794219	0.124472
</S>	0.0314446	0.0234097	0.0189441	0.0202948	0.0140481	0.0152732	0.0131242	0.0114565	0.00958428	0.00564273	0.00704162	0.00630197	0.00702768	0.01061	0.00841876	0.0132432	0.0207225	0.0192215	0.0246764	0.0153002	0.0156966	0.0158501	0.0188159	0.0328566	0.0279109	0.0271452	0.021844	0.0364639	0.061115	0.0493637	0.0508237	0.0411744	0.0230345	0.0215473	0.0305568	0.0265058	0.0336713	0.0403425	0.0506723	0.0788231
