 	b	á	n	a	b	o	b	á	a	t	ú	s	á	a	m	b	á	n	g	é	</S>
les	0.0771673	0.0920488	0.0404461	0.0503951	0.0673019	0.0381436	0.0410941	0.0503111	0.0487421	0.0478794	0.0491527	0.0816988	0.0971635	0.0621095	0.0357921	0.029272	0.0169311	0.0161507	0.0146149	0.0246629	0.0189224
enfants	0.0580729	0.0727827	0.0727824	0.0732513	0.10677	0.0864383	0.0881006	0.0722846	0.0613787	0.082141	0.0689526	0.0598223	0.01838	0.0376645	0.0154912	0.00856274	0.00440654	0.0031257	0.00200381	0.00259997	0.00498861
sont	0.0825913	0.0436724	0.0395988	0.0813485	0.0693753	0.0659929	0.0687654	0.060946	0.0440034	0.0379534	0.0492613	0.0689394	0.0616918	0.053071	0.052459	0.0227695	0.0147245	0.0138725	0.0159137	0.0256768	0.0273731
en	0.0210917	0.027926	0.0342895	0.0355805	0.0418075	0.0395307	0.0327072	0.0404338	0.0468975	0.0368521	0.0575516	0.0695594	0.0681161	0.052549	0.0914093	0.0722326	0.0459604	0.0509991	0.0503482	0.0476339	0.0365239
train	0.0441949	0.0529629	0.0397648	0.0352364	0.0330556	0.0296264	0.0318761	0.0271358	0.0311303	0.0458461	0.0537835	0.0261176	0.0212774	0.0740128	0.0805058	0.0663068	0.0480905	0.0652987	0.0516505	0.0646674	0.0774597
de	0.0789395	0.0454225	0.0652331	0.0330731	0.0632661	0.080985	0.0485146	0.0566106	0.0311853	0.0297688	0.0348732	0.0283755	0.0202099	0.0105067	0.00913211	0.0154659	0.0169801	0.0246318	0.041844	0.0370367	0.227945
cueillir	0.0535921	0.0252944	0.0199735	0.0185126	0.017554	0.0375309	0.040529	0.0435376	0.0428041	0.0466675	0.0867676	0.0951966	0.083879	0.0697451	0.0447187	0.0510024	0.0538751	0.0345898	0.0364987	0.0435651	0.0541662
les	0.0834193	0.0591626	0.0554895	0.0756544	0.0570181	0.0342129	0.0162149	0.0195344	0.0153786	0.0140794	0.01523	0.0149567	0.0173288	0.0241738	0.0214206	0.0284955	0.0443333	0.0872003	0.0974215	0.0857991	0.133476
mangues	0.0272093	0.0319495	0.0305276	0.0277704	0.03418	0.0427501	0.0169461	0.014206	0.0189117	0.0264318	0.0240502	0.0201664	0.0207835	0.0197454	0.0317684	0.0495146	0.0698387	0.102848	0.104964	0.102746	0.182693
</S>	0.0949361	0.0520424	0.0585964	0.0781926	0.0479153	0.0274647	0.0113146	0.0106411	0.00627578	0.00704451	0.00709121	0.00551843	0.00777338	0.0185597	0.0208843	0.0265078	0.0389989	0.0810272	0.103495	0.0960171	0.199703
