 	m	w	á	s	í	y	a	n	g	á	á	k	a	n	g	i	n	g	á	a	s	w	é	m	ó	l	e	n	d	u	b	h	u	</S>
mon	0.0147523	0.0244241	0.032781	0.014442	0.0082489	0.0134576	0.0247295	0.0188845	0.0199419	0.0377979	0.0440375	0.0412044	0.03393	0.0454182	0.056735	0.0339553	0.0346478	0.0440693	0.0210928	0.0361341	0.0378963	0.0281148	0.025896	0.00853854	0.0310019	0.0155003	0.0177457	0.0276131	0.0345881	0.0335729	0.0393861	0.0346962	0.041044	0.0237223
épouse	0.104675	0.0384131	0.0168998	0.0673312	0.0372187	0.12504	0.102395	0.0217743	0.00728357	0.0101141	0.0306907	0.0100782	0.0084225	0.00473297	0.00754325	0.00373347	0.00264121	0.00138436	0.00582112	0.00621125	0.0118745	0.0756773	0.0666085	0.0414648	0.0604185	0.0372484	0.0265328	0.0162958	0.0145847	0.0159267	0.0130923	0.00434067	0.00213465	0.00139586
m'	0.0122483	0.0266767	0.0335136	0.0327128	0.0381972	0.0223513	0.0176708	0.0214559	0.0169676	0.0157004	0.0167198	0.023721	0.0192975	0.030132	0.0507428	0.0546024	0.0685756	0.0410732	0.0410029	0.0664036	0.0477975	0.0181046	0.0676934	0.0226092	0.0454186	0.0205978	0.0289727	0.0221248	0.0142409	0.0119649	0.0131429	0.0100512	0.0181139	0.00940243
a	0.037998	0.0605241	0.115688	0.0666278	0.0384901	0.0534749	0.0408714	0.0379442	0.0192317	0.0201276	0.0364102	0.0287086	0.0269745	0.0309464	0.0424487	0.0215191	0.0361863	0.018948	0.0123429	0.0114995	0.0102956	0.0161245	0.023972	0.0194679	0.0400816	0.0131769	0.0286385	0.0193642	0.0181326	0.00853018	0.0149349	0.00655736	0.0109962	0.0127652
emballé	0.0761137	0.0279822	0.0491545	0.0205898	0.0113836	0.0112367	0.0150929	0.0190124	0.0234521	0.0264317	0.04153	0.030551	0.0361766	0.0499735	0.0356185	0.0242848	0.0795482	0.0336477	0.0363226	0.0340646	0.0286594	0.0294058	0.0155176	0.015662	0.0232498	0.0104332	0.0176404	0.0142309	0.0141078	0.0156915	0.019872	0.0276176	0.027678	0.0580667
du	0.0867875	0.0414235	0.0414542	0.0461954	0.0213024	0.0154345	0.0128713	0.0167636	0.0199227	0.01765	0.0168557	0.0165101	0.0203691	0.0185294	0.012849	0.0106486	0.0256483	0.0212297	0.0238874	0.0287334	0.0224216	0.0210213	0.0302003	0.0303411	0.0489179	0.0217954	0.0334791	0.0246869	0.0293714	0.030407	0.0286924	0.0434563	0.0402411	0.0799026
poisson	0.0542139	0.058034	0.0322681	0.0417584	0.0276186	0.021964	0.0201498	0.0158478	0.0115634	0.0109882	0.0105182	0.0122612	0.0116878	0.0126175	0.010169	0.013474	0.0186602	0.0281398	0.034863	0.0394555	0.0397325	0.0218478	0.0208488	0.0152349	0.0169205	0.0307131	0.022501	0.0239584	0.0441789	0.0499766	0.0423979	0.0425614	0.0514894	0.0913863
dans	0.0568711	0.0506128	0.0510275	0.053525	0.0300862	0.0258724	0.0270853	0.0338136	0.0225717	0.0151602	0.0126543	0.00802759	0.0105352	0.015141	0.0158691	0.0119269	0.0302376	0.0401027	0.0468189	0.0373362	0.0380405	0.0256052	0.0280989	0.0239397	0.029279	0.0198883	0.0184889	0.0159816	0.0265402	0.012476	0.0232818	0.0268491	0.0379052	0.0783501
la	0.0663251	0.0406255	0.0414234	0.0429881	0.0268418	0.02358	0.0182224	0.0163773	0.0164443	0.0167914	0.0102166	0.00490335	0.0103604	0.0106344	0.0123652	0.00871657	0.0183035	0.0289029	0.0656355	0.0406699	0.0354208	0.0298402	0.026099	0.0205463	0.0284927	0.0208797	0.0362796	0.032523	0.0320818	0.0238519	0.0328944	0.026299	0.0383058	0.0961582
grosse	0.0623407	0.067363	0.0779369	0.0620824	0.0172046	0.0179036	0.0122018	0.0144975	0.0142607	0.0148245	0.0142007	0.01147	0.0146563	0.0137456	0.0156463	0.0162898	0.0378166	0.0295531	0.0364057	0.0379458	0.0290605	0.0305802	0.0147973	0.00907674	0.0140407	0.0135028	0.0110472	0.0106162	0.0209353	0.015334	0.0262893	0.0306512	0.0535825	0.13214
feuille	0.0531082	0.0644515	0.0764654	0.0665439	0.0223666	0.0372874	0.0212436	0.0114991	0.0177307	0.0114565	0.0113153	0.0066413	0.00953809	0.00639982	0.00886992	0.0125118	0.0185203	0.0245901	0.0369627	0.0207773	0.0189742	0.0188091	0.00497625	0.00391437	0.00365491	0.00617372	0.00625439	0.00616395	0.0144466	0.0155576	0.0350328	0.0475644	0.0885532	0.191645
sauvage	0.119894	0.0584662	0.0771267	0.0781504	0.0317602	0.0405798	0.0400843	0.0285229	0.0233831	0.0142729	0.0151615	0.00912524	0.0146461	0.0134182	0.0185935	0.0176972	0.0314597	0.0316833	0.0339295	0.0241138	0.0224493	0.0180787	0.0171542	0.0116608	0.0112451	0.0114943	0.0128749	0.0136419	0.0122597	0.0130431	0.0189033	0.0188964	0.0289794	0.0672503
lendubhu	0.0458245	0.0499538	0.0626001	0.0466891	0.0207718	0.0361463	0.0254922	0.0147942	0.0157968	0.0103754	0.00820165	0.00553398	0.0091426	0.0075895	0.0157814	0.0137037	0.0173989	0.0275296	0.0287339	0.0217877	0.0205289	0.0172183	0.0127315	0.00888393	0.0193178	0.0108622	0.0150802	0.0203598	0.02854	0.0326753	0.0407796	0.0787815	0.0790838	0.13131
