 	m	v	ú	á	b	ó	l	á	a	d	u	m	u	n	a	</S>
il	0.0113336	0.0161014	0.0171618	0.0588774	0.0535244	0.117918	0.106428	0.10842	0.0651557	0.0559811	0.0319571	0.0507269	0.0947435	0.088355	0.0772127	0.0461035
y	0.184143	0.104202	0.092779	0.0392597	0.0289116	0.0249333	0.0281964	0.0491238	0.0352806	0.0787552	0.0509895	0.109101	0.0733346	0.0355879	0.028674	0.0367285
a	0.0911186	0.0470446	0.026553	0.0170915	0.0205817	0.0224289	0.0235883	0.0272236	0.0253745	0.0448621	0.0638214	0.0869143	0.115871	0.156998	0.15553	0.0749981
des	0.0854444	0.0492067	0.0508735	0.0341424	0.0378653	0.0257831	0.0267188	0.0352161	0.042803	0.0849062	0.0958919	0.133534	0.07881	0.0796375	0.0639218	0.0752458
grondements	0.139159	0.0837744	0.0493216	0.0409077	0.0448273	0.0450221	0.0543344	0.0442963	0.0562632	0.054378	0.0925083	0.0847982	0.0843202	0.0535623	0.0276283	0.0448987
de	0.235166	0.105135	0.0812495	0.0631805	0.0440739	0.0222336	0.0171022	0.0157869	0.0162597	0.0153072	0.0206171	0.0410904	0.0474584	0.0866023	0.0725914	0.116146
tonnerre	0.127677	0.10319	0.0770591	0.0351279	0.0307527	0.0228199	0.0206493	0.0134748	0.0138497	0.0178697	0.0181382	0.0381787	0.086683	0.110005	0.118815	0.165711
qui	0.123797	0.0831827	0.0728475	0.046522	0.043406	0.0259905	0.0295482	0.0256858	0.0303252	0.0342749	0.0441497	0.05427	0.0787334	0.0893836	0.0951281	0.122756
accompagnent	0.197903	0.120371	0.052151	0.0201001	0.0172779	0.0129623	0.0113062	0.0089524	0.00760812	0.0108392	0.0233542	0.0458432	0.103787	0.112908	0.120294	0.134342
la	0.122992	0.0799874	0.0501097	0.0455931	0.0395927	0.0293749	0.0288164	0.0290265	0.032486	0.0399286	0.0567753	0.0524492	0.100398	0.0915809	0.085219	0.115671
pluie	0.12639	0.101539	0.0599629	0.0301768	0.0181329	0.0186645	0.0176103	0.0130741	0.0154871	0.0242409	0.0357207	0.0651148	0.0845137	0.1031	0.124582	0.161691
</S>	0.162134	0.0955157	0.0528464	0.0221047	0.0172168	0.0137487	0.0129444	0.01066	0.00833599	0.0108836	0.0171333	0.0338183	0.10311	0.129816	0.142585	0.167147
