 	b	í	s	í	l	é	y	e	m	b	i	s	i	m	í	d	z	w	a	l	í	t	ó	a	</S>
nous	0.241819	0.226939	0.0722595	0.0280045	0.0223922	0.0173533	0.0149043	0.0142392	0.01785	0.0189231	0.0194083	0.0165387	0.011118	0.0173593	0.0132702	0.0161403	0.0180996	0.022889	0.0231928	0.0247353	0.0293408	0.0313978	0.0280537	0.0262764	0.0274958
sommes	0.03649	0.0480451	0.0345409	0.0415201	0.0481305	0.0940293	0.0875629	0.14223	0.0726727	0.0552733	0.0562024	0.0586464	0.0382921	0.0194558	0.0419832	0.0205876	0.00933006	0.0112376	0.0119548	0.0100676	0.0105335	0.0135209	0.0119208	0.0172753	0.00849656
tombés	0.0170226	0.0219341	0.0212085	0.0253986	0.0337659	0.0319565	0.0319025	0.0437897	0.0682203	0.111439	0.116195	0.103971	0.0588971	0.0520024	0.0275819	0.0341033	0.0327155	0.0401133	0.0264369	0.01837	0.0174083	0.0187692	0.0167559	0.0135749	0.0164677
d'	0.0376286	0.030139	0.0304812	0.0309659	0.0245909	0.0334088	0.0332108	0.0356306	0.0480729	0.049186	0.0618865	0.0714268	0.0496458	0.0919962	0.0406452	0.0365378	0.0213418	0.0153451	0.0228534	0.0295779	0.0183938	0.0161062	0.0387372	0.0404627	0.0917289
accord	0.0234122	0.0214885	0.0198767	0.0232743	0.0332535	0.0368428	0.0398402	0.0384404	0.0324003	0.0369901	0.0438605	0.055485	0.0487661	0.082378	0.0670667	0.0549872	0.0425269	0.0187612	0.030205	0.0292836	0.0232769	0.030067	0.0411478	0.0461965	0.0801724
pour	0.00915996	0.0110491	0.0142177	0.0178954	0.0153505	0.0252058	0.0394621	0.0399014	0.0489549	0.0583217	0.0552341	0.0539672	0.0419633	0.0554099	0.0510239	0.0616783	0.0541221	0.0258713	0.0347027	0.0389803	0.034677	0.0324406	0.0444615	0.0583578	0.0775914
partir	0.0316829	0.0283879	0.0252578	0.0277478	0.0317809	0.0333958	0.0314833	0.0326347	0.0286764	0.0272122	0.0264291	0.022508	0.0184631	0.0345661	0.0279526	0.0519805	0.029601	0.0367	0.0555561	0.051399	0.0450509	0.0555835	0.073458	0.0755836	0.0969086
à	0.0202397	0.0275138	0.0242559	0.0235339	0.0207438	0.0257272	0.0243638	0.0294934	0.0330434	0.0334617	0.0346918	0.0280076	0.0193569	0.0383635	0.0286325	0.0531405	0.044601	0.0380618	0.0444791	0.0405802	0.0437736	0.0586478	0.0731965	0.0845251	0.107565
la	0.0204225	0.0202262	0.020064	0.0196619	0.0199734	0.0202739	0.0168345	0.0189872	0.020131	0.0203135	0.0172898	0.0161743	0.0121843	0.0231858	0.0202085	0.0488721	0.0620518	0.0705286	0.0706472	0.0717078	0.0750798	0.0783893	0.0784167	0.0799675	0.0784083
pêche	0.0164646	0.0160951	0.0138732	0.00921598	0.0128147	0.0136706	0.0134724	0.0182474	0.0168342	0.0175456	0.0131121	0.00984319	0.0099826	0.0200298	0.0142759	0.0233301	0.0255464	0.0338523	0.0401011	0.0566445	0.094925	0.132383	0.113248	0.139	0.125492
</S>	0.0266973	0.0268988	0.0248263	0.0270244	0.0223615	0.0352904	0.0328046	0.0386553	0.0467827	0.0403091	0.0340544	0.0220437	0.0134553	0.0189846	0.0125674	0.0248716	0.0322668	0.0277912	0.0347049	0.0478822	0.0478475	0.0574036	0.0702463	0.0847719	0.149458
