 	m	w	á	n	a	á	m	i	f	ú	ú	s	a	t	s	í	n	a	n	g	ó	o	á	n	y	í	m	i	w	a	b	e	a	</S>
l'	0.00323372	0.00904039	0.00713924	0.00506752	0.0037608	0.00827279	0.00587726	0.00641287	0.00784812	0.0448425	0.0680786	0.0762362	0.0910978	0.0994748	0.0918423	0.0642805	0.0305147	0.0328479	0.0170088	0.0170066	0.0154268	0.0196793	0.0176157	0.0186005	0.0211644	0.0238748	0.0200752	0.0220214	0.0235827	0.0253298	0.0244945	0.023016	0.0245933	0.0306421
enfant	0.0721838	0.0604607	0.091792	0.12012	0.156807	0.0706667	0.132441	0.0828265	0.12196	0.0181824	0.0118604	0.0090066	0.00779414	0.00355387	0.0016007	0.00119528	0.00126743	0.00104904	0.00124781	0.000820477	0.000689759	0.0021104	0.000945354	0.00130676	0.00342714	0.00583811	0.00148906	0.0104871	0.00072185	0.00233943	0.00151641	0.00123328	0.000641199	0.000417649
boude	0.0160377	0.0286288	0.0530573	0.0298009	0.0212323	0.045509	0.03115	0.0213738	0.0308141	0.0241508	0.0298021	0.046362	0.0631585	0.0608935	0.0703551	0.088145	0.0299608	0.0482734	0.0207327	0.022285	0.0159832	0.0244453	0.0125344	0.0226169	0.0287801	0.0182958	0.0123042	0.0153614	0.00907527	0.0139106	0.0112542	0.0105765	0.0113623	0.0117774
parce	0.0303744	0.0102696	0.00723013	0.00582555	0.00469551	0.00566752	0.00882205	0.012983	0.0218115	0.0170468	0.0203546	0.0316706	0.0311218	0.0288762	0.0278398	0.0452158	0.0309314	0.0634009	0.0592438	0.0546059	0.0523045	0.0437241	0.038368	0.0272094	0.0250895	0.0456783	0.0395109	0.0342219	0.0284406	0.0295726	0.0284287	0.0323012	0.0240209	0.0331425
que	0.0534691	0.0466364	0.039428	0.0188776	0.0103426	0.0110551	0.0109795	0.00878256	0.0101768	0.0131157	0.0159998	0.018335	0.0215524	0.0232289	0.0278693	0.040264	0.0279841	0.0365365	0.0259231	0.0323237	0.0367116	0.0437704	0.0349231	0.0473959	0.048746	0.035004	0.0426485	0.0227199	0.0247379	0.0266458	0.0283407	0.0328235	0.0340979	0.0485548
sa	0.0276106	0.0253053	0.022524	0.023262	0.0132665	0.0123274	0.00960617	0.00909886	0.00975987	0.0195819	0.0272669	0.0252941	0.0277989	0.0205569	0.016671	0.0196124	0.0240793	0.0219076	0.0213207	0.026216	0.0457362	0.0522273	0.0374499	0.0742857	0.0743817	0.051477	0.0426496	0.0380816	0.0169189	0.016757	0.0194309	0.0257099	0.0431587	0.0586691
mère	0.104596	0.0488594	0.025773	0.0277124	0.0135002	0.0155298	0.013096	0.00808176	0.0109172	0.0147839	0.0182064	0.0169124	0.0194604	0.0195713	0.0193869	0.018211	0.0264068	0.0196138	0.0202763	0.0201756	0.0110921	0.0312534	0.012523	0.0288904	0.0169253	0.0330886	0.013243	0.038058	0.0146179	0.0198886	0.0277258	0.0369944	0.0669574	0.167672
lui	0.0809881	0.0400602	0.0234951	0.0182671	0.0128875	0.0100995	0.0153866	0.00906962	0.0129542	0.0122671	0.0129334	0.012069	0.0142897	0.020679	0.0211106	0.0215958	0.0327752	0.0314415	0.0331214	0.0398535	0.0248595	0.0567526	0.0133476	0.0404995	0.0225452	0.0430943	0.0147827	0.0351031	0.0167247	0.0274498	0.0358429	0.0430457	0.0656605	0.0849478
a	0.185205	0.0829217	0.0588268	0.0373594	0.0257821	0.0180919	0.0121859	0.00859051	0.00898679	0.0118643	0.0111002	0.0123792	0.01345	0.0270592	0.0252193	0.02388	0.0317056	0.0266749	0.022182	0.0202817	0.0186539	0.0283951	0.00708879	0.0385141	0.0262899	0.0299234	0.00784187	0.0165975	0.00245053	0.00759082	0.00963407	0.0252421	0.0321356	0.0858961
refusé	0.134438	0.0727183	0.0500326	0.0299622	0.0237497	0.0141475	0.011643	0.00850629	0.00928992	0.0108491	0.0120069	0.0153131	0.0139291	0.032906	0.0232	0.0170136	0.0228228	0.0225167	0.0182318	0.0173136	0.0148296	0.0218824	0.0158559	0.0247781	0.0241661	0.0320889	0.0165631	0.0249768	0.0135972	0.0224204	0.0272325	0.036691	0.0500602	0.114267
la	0.0722385	0.0294269	0.0224719	0.0130054	0.0128024	0.0139924	0.00964785	0.0109554	0.0101434	0.00739853	0.00670754	0.00825738	0.00929194	0.0223093	0.0246581	0.0222806	0.026489	0.0596507	0.0484159	0.0627601	0.0388791	0.0401229	0.0334294	0.055453	0.0416939	0.0626656	0.0336295	0.0189949	0.0167567	0.0189766	0.0217321	0.0286554	0.0233675	0.0727405
nourriture	0.0625937	0.0576476	0.0381663	0.0312641	0.0235875	0.0161303	0.0244403	0.0207166	0.026077	0.034741	0.0495527	0.0516086	0.0378845	0.0673445	0.0344468	0.0221473	0.0290836	0.021319	0.020154	0.0160959	0.0160355	0.0279808	0.0080064	0.0169013	0.00913846	0.0118474	0.00453624	0.0116158	0.00372787	0.008922	0.0136114	0.0196597	0.0259754	0.137041
</S>	0.14016	0.0415253	0.0303681	0.0194333	0.0139876	0.0129077	0.0174093	0.017942	0.0253986	0.0212748	0.0138731	0.0133518	0.0162798	0.0487851	0.0313816	0.0207501	0.0372304	0.056166	0.0639403	0.046234	0.0210546	0.0301749	0.0101625	0.0179762	0.0129373	0.02041	0.0105085	0.0119244	0.0129083	0.0129694	0.0141483	0.0195048	0.0192862	0.0976359
