 	o	b	i	a	y	a	n	g	á	á	l	e	i	n	d	é	e	y	á	n	g	á	o	y	é	l	é	</S>
mon	0.0176053	0.0138172	0.0112414	0.0089808	0.00765506	0.00669858	0.0119365	0.0326816	0.0458886	0.0460948	0.0493347	0.0538495	0.0528699	0.0561269	0.0541371	0.0411447	0.0422305	0.0198968	0.0232152	0.0283086	0.0455651	0.0276753	0.0224391	0.051437	0.0514625	0.0685766	0.0655202	0.0436106
ami	0.0417287	0.0379134	0.0803789	0.0551979	0.0965273	0.0149486	0.0609569	0.0251947	0.111598	0.13118	0.103131	0.0806808	0.0489727	0.0288576	0.0180317	0.00980378	0.00629125	0.00309696	0.00502351	0.0046781	0.00500489	0.00272432	0.00386475	0.003798	0.00665193	0.00535795	0.00517286	0.00323312
est	0.0397688	0.0239588	0.0291947	0.0209166	0.0615251	0.0625763	0.108288	0.160761	0.0888366	0.107105	0.0232452	0.0278713	0.0335207	0.0339371	0.0418076	0.0231205	0.012698	0.00832733	0.0162884	0.0167784	0.0124845	0.00485276	0.00807586	0.00580726	0.00549168	0.00666682	0.00886064	0.00723418
passé	0.0287435	0.0275429	0.0281459	0.0309841	0.0382712	0.0402605	0.0303391	0.0288553	0.0172163	0.0146379	0.00971994	0.0115438	0.00850851	0.0206029	0.0333315	0.0430444	0.0632471	0.0611436	0.0863953	0.0699725	0.0530202	0.0625065	0.0471627	0.0337047	0.0273705	0.0236206	0.0268793	0.0332291
outre	0.0562112	0.0405329	0.0228682	0.0134858	0.0147704	0.00802135	0.0285568	0.0309211	0.0252595	0.0306389	0.0284085	0.0480004	0.0313951	0.0364619	0.0338712	0.0380729	0.0366745	0.0310049	0.0303266	0.0350657	0.0317159	0.00852722	0.0446111	0.0454209	0.0572098	0.0653187	0.052635	0.0740134
ma	0.041492	0.0380801	0.0471307	0.0323863	0.025383	0.0304112	0.0310713	0.0373051	0.0221542	0.0232354	0.0167313	0.0209252	0.015038	0.0101757	0.00732177	0.00823653	0.0122459	0.0245099	0.0185305	0.0242932	0.0167946	0.0297991	0.032838	0.0495034	0.0633204	0.0672442	0.0993884	0.154455
maison	0.0550531	0.0324584	0.0290275	0.0265167	0.0333989	0.0226662	0.0296855	0.0189966	0.0128391	0.0115563	0.010206	0.0199265	0.0207563	0.0301129	0.0315226	0.0355395	0.0394522	0.0430025	0.0402768	0.0446424	0.0414431	0.0301544	0.0507842	0.0508606	0.0550686	0.0557524	0.0567395	0.0715611
sans	0.0336903	0.032015	0.0367787	0.0288251	0.0242172	0.0204339	0.0201921	0.0210923	0.0135926	0.0135031	0.0128279	0.0243188	0.0206383	0.0325083	0.0219109	0.0238184	0.0360967	0.0406636	0.030925	0.0403323	0.038205	0.0325213	0.0562398	0.0507578	0.0552783	0.0584952	0.0621125	0.11801
me	0.151763	0.0479144	0.0293725	0.0180742	0.0178299	0.00890448	0.010492	0.00996466	0.00334816	0.00371687	0.00559501	0.00933102	0.00653558	0.00599419	0.00864493	0.0161925	0.0335949	0.0358131	0.0249826	0.0359296	0.0336803	0.0301139	0.0418891	0.0699814	0.0738931	0.0756207	0.0792264	0.111601
saluer	0.0486977	0.0222185	0.0222741	0.0145081	0.00847989	0.00648715	0.00753363	0.0110955	0.00469559	0.00503881	0.0058296	0.0083557	0.00733161	0.00793198	0.00988949	0.0134933	0.0353918	0.052559	0.0222949	0.050191	0.0527822	0.0498109	0.0677222	0.0810258	0.0829939	0.0893076	0.0993776	0.112682
</S>	0.0698359	0.0422448	0.0393161	0.0303338	0.0177438	0.0132059	0.0131171	0.00800623	0.00256588	0.00238288	0.00401396	0.00561342	0.00552293	0.00648699	0.00902957	0.0155821	0.0344627	0.0396389	0.0188577	0.0379575	0.0371439	0.035535	0.0663464	0.075501	0.0765653	0.0773027	0.0852512	0.130437
