 	e	k	y	é	n	í	s	í	l	í	y	é	é	y	é	n	g	í	w	a	o	k	y	é	n	í	s	á	e	b	a	a	é	d	z	e	i	b	o	m	a	l	á	b	í	i	s	í	</S>
la	0.00910523	0.0126183	0.0099356	0.00978751	0.00822162	0.00638606	0.00563437	0.00792143	0.0123621	0.0181921	0.0274056	0.0324317	0.0800497	0.0627329	0.0830953	0.0723213	0.0288832	0.0268647	0.0192423	0.0184658	0.0219255	0.0282003	0.0133186	0.0130207	0.0102491	0.00699993	0.00856897	0.00616454	0.0105013	0.0061755	0.0117818	0.0100588	0.0144806	0.0115552	0.0124198	0.0173129	0.0129015	0.019235	0.0227834	0.0206121	0.0134255	0.019752	0.0196734	0.0137174	0.0147274	0.0230574	0.0275225	0.0195321	0.0186695
manière	0.0202898	0.057915	0.0374994	0.0206308	0.0231145	0.0220579	0.0265462	0.0281939	0.0487259	0.0441194	0.03826	0.0368018	0.0811626	0.0398195	0.0633762	0.0671685	0.038494	0.0776234	0.0252931	0.020282	0.00751552	0.00631575	0.00652134	0.00384476	0.00631175	0.00401725	0.00331923	0.00217678	0.00384436	0.00496901	0.00704702	0.00752376	0.0128928	0.00535804	0.00614269	0.0186513	0.00126822	0.00248915	0.00239142	0.00286247	0.00407199	0.00746477	0.00615817	0.0164311	0.0101742	0.00961487	0.00645617	0.00457203	0.00222041
dont	0.127054	0.0434123	0.0236789	0.0118868	0.00852578	0.0111051	0.0196572	0.0280927	0.0210522	0.0208593	0.0152056	0.0174996	0.0343735	0.0210998	0.0308455	0.0405796	0.0234362	0.0175534	0.0209392	0.0253624	0.0198962	0.027744	0.0173702	0.0117429	0.0163084	0.0238997	0.0158201	0.0188754	0.0139249	0.0191121	0.0132344	0.00991931	0.0167266	0.00967666	0.00936284	0.0254455	0.0192167	0.0149248	0.0247451	0.0178047	0.0151767	0.0223839	0.0136513	0.0062303	0.00325997	0.00535059	0.00796089	0.00686442	0.0111523
il	0.0214344	0.0267533	0.0364494	0.0245261	0.0113963	0.00833888	0.00760165	0.00976909	0.00606479	0.0079818	0.00451188	0.00715095	0.0174764	0.00901393	0.0137946	0.0214004	0.00757131	0.0119302	0.0159069	0.0205522	0.0215009	0.0544483	0.016291	0.0187452	0.0187238	0.0342975	0.027523	0.0326355	0.0553537	0.0313351	0.0366654	0.0323132	0.0387989	0.0320062	0.0358025	0.0286413	0.0105276	0.0354656	0.0317434	0.0229702	0.0113221	0.0102259	0.00838166	0.00463519	0.00507783	0.00593184	0.00993404	0.00802048	0.0310582
voulait	0.0360136	0.0285277	0.0231076	0.0249734	0.0204086	0.0131059	0.0132632	0.0212565	0.018599	0.0108106	0.00727778	0.00591044	0.0126037	0.0117044	0.011866	0.0210434	0.0131561	0.0253314	0.0177596	0.0277764	0.0188282	0.0168724	0.0260534	0.0266504	0.035411	0.0415943	0.0331561	0.0558307	0.0320434	0.0447837	0.0332911	0.028066	0.0231873	0.024742	0.0232437	0.0232258	0.0118533	0.0214823	0.0203749	0.017557	0.00930315	0.00672179	0.00630005	0.00452736	0.00579505	0.00512756	0.00752528	0.00567822	0.0262792
nous	0.0261365	0.0202146	0.0159093	0.0118227	0.0142308	0.0184837	0.0195832	0.0259978	0.0158313	0.0164228	0.0104159	0.00763914	0.0129223	0.010136	0.0100001	0.0197024	0.00736449	0.0182717	0.00885028	0.00916555	0.0108329	0.0109909	0.0163855	0.0251104	0.0335679	0.019343	0.0474336	0.046059	0.0373995	0.0501245	0.0357826	0.0241237	0.0252604	0.0290649	0.0460078	0.0541987	0.0112883	0.0191584	0.0169339	0.00942833	0.00832376	0.0107097	0.00818077	0.0120812	0.00778911	0.0147236	0.0129802	0.0148437	0.0427733
faire	0.0175256	0.0170281	0.0159067	0.0132311	0.0102032	0.00771909	0.0109556	0.0148714	0.00800615	0.00943313	0.00664481	0.00497207	0.00765304	0.00859771	0.00771565	0.00996882	0.00738485	0.0197543	0.016235	0.0254881	0.0223816	0.0255174	0.020943	0.0307012	0.039141	0.0306268	0.0256811	0.0362247	0.0297923	0.0367153	0.0325789	0.022603	0.0172603	0.0258219	0.0308474	0.0336473	0.0226301	0.0324391	0.0354065	0.0269922	0.0185268	0.0138764	0.0113425	0.0157798	0.0186562	0.0170415	0.0144355	0.0223675	0.050728
traverser	0.0598749	0.0560925	0.0431872	0.0352384	0.0274445	0.0153001	0.0157987	0.0191193	0.00855297	0.0100182	0.0076232	0.00628972	0.00987084	0.0096523	0.00966593	0.0150809	0.010254	0.0176424	0.0100991	0.0131225	0.0143577	0.0121944	0.0197067	0.0210241	0.0436707	0.0191884	0.0485252	0.0525151	0.0324995	0.0524676	0.0252303	0.0136808	0.0105767	0.0138076	0.0225359	0.0210409	0.0067753	0.0105335	0.0121385	0.00672695	0.00541233	0.00657062	0.00374331	0.00912595	0.00725894	0.00988994	0.0126079	0.0173411	0.0689266
le	0.0234555	0.0156572	0.0176669	0.0183565	0.0168864	0.0128698	0.0168304	0.0270922	0.0176841	0.018523	0.01086	0.00794686	0.00658587	0.00512731	0.0044373	0.00735956	0.0045768	0.01145	0.0176558	0.0172825	0.0201788	0.0305175	0.0206955	0.0368475	0.0401221	0.0311304	0.0375202	0.039648	0.0298678	0.0352152	0.0248308	0.0193335	0.0162342	0.0216278	0.0238066	0.0174745	0.0226285	0.0228687	0.0254862	0.0206292	0.0134376	0.0130427	0.011278	0.0116163	0.0125442	0.0147149	0.0147522	0.0160853	0.0775617
fleuve	0.0167311	0.0191822	0.0187356	0.0139296	0.00893047	0.00279689	0.00340229	0.00461214	0.0027863	0.00530362	0.00463378	0.00415064	0.00306808	0.00422326	0.00359147	0.0080908	0.00527274	0.0127413	0.0140679	0.013019	0.0157489	0.0269338	0.0166298	0.0224718	0.0309812	0.0454679	0.0353898	0.0433568	0.0413708	0.0464839	0.0344923	0.023106	0.0176516	0.0229184	0.0360576	0.023676	0.017737	0.0170566	0.01852	0.0133539	0.00797509	0.0105118	0.00893506	0.0209927	0.025983	0.0360056	0.0319298	0.0487852	0.0902083
était	0.065866	0.0293334	0.0242847	0.0151674	0.0102968	0.00518807	0.00466902	0.00412771	0.00175325	0.00351957	0.00264331	0.00241769	0.00131925	0.00215818	0.00176546	0.004362	0.00385627	0.00891881	0.0132214	0.0172312	0.0226265	0.0421454	0.0258014	0.04372	0.051689	0.0494772	0.0301086	0.051265	0.0391425	0.0341048	0.0375606	0.0184958	0.0166108	0.023349	0.028177	0.0171197	0.0167271	0.0153699	0.019531	0.0128822	0.00490459	0.00612223	0.00591328	0.0106948	0.0108505	0.0205158	0.0155384	0.0215216	0.0859361
suicidaire	0.138312	0.0456852	0.0287506	0.00945812	0.00677495	0.00293524	0.00424462	0.00507386	0.00405102	0.00533542	0.00681159	0.00627695	0.00550263	0.00572507	0.0055855	0.0104156	0.00620619	0.0120626	0.0256849	0.0326282	0.0299667	0.0372856	0.0282709	0.0283114	0.0519689	0.0339463	0.0209484	0.0241359	0.0235935	0.0323435	0.0340968	0.0140927	0.0154917	0.0176118	0.0110125	0.0112234	0.00397036	0.00551377	0.00759068	0.00720016	0.00919307	0.0103456	0.00915716	0.018756	0.0141351	0.0268232	0.0131651	0.025168	0.067161
</S>	0.0375775	0.019775	0.0201667	0.0179429	0.0151609	0.0071346	0.00748274	0.00460646	0.00239662	0.00319262	0.00278941	0.00254453	0.00258157	0.00273191	0.00256689	0.00415978	0.00243257	0.00550366	0.00564423	0.00716289	0.0098621	0.0174642	0.0128988	0.0167845	0.0264005	0.020167	0.0296361	0.0410038	0.0432555	0.0330233	0.0404299	0.0288402	0.0300155	0.0335571	0.0423684	0.0262208	0.0298793	0.0308423	0.0330226	0.0208804	0.0199685	0.0156342	0.0159137	0.022588	0.0292123	0.0334189	0.0295077	0.0353492	0.0583018
