 	b	á	a	á	b	v	e	f	u	l	ú	s	á	k	ώ	á	k	ω	n	d	i	o	b	v	ú	l	á	p	o	o	</S>
ils	0.129554	0.126047	0.117579	0.151072	0.123345	0.0572932	0.0229159	0.0140667	0.0230496	0.0208803	0.021764	0.0146232	0.0224207	0.0172707	0.021816	0.0202184	0.0183441	0.0090009	0.00672382	0.0056963	0.00496646	0.00523547	0.00567441	0.00568852	0.00508843	0.00563644	0.00502238	0.00531401	0.00498298	0.00387986	0.00482902
se	0.0811163	0.0407316	0.0331353	0.0345276	0.0311246	0.0336004	0.0557236	0.0689597	0.0862788	0.0785526	0.0759062	0.0421087	0.0607506	0.045082	0.0442564	0.0242799	0.0138167	0.0091417	0.0146065	0.0130604	0.0141912	0.0134729	0.0126425	0.0112998	0.0144803	0.0136626	0.0128902	0.00800912	0.00529158	0.00423182	0.00306829
sont	0.0303505	0.0174884	0.0156373	0.0201503	0.0309929	0.0460333	0.0285821	0.0428171	0.0416576	0.0402833	0.0606136	0.0645401	0.0877445	0.0580001	0.0507753	0.0433038	0.0412339	0.0385602	0.0342251	0.0215084	0.0232317	0.0157624	0.0130339	0.0126961	0.0224919	0.0220986	0.0182448	0.0151097	0.0184765	0.0153693	0.00898733
anuités	0.022607	0.0198693	0.0194139	0.0205464	0.0115347	0.0179665	0.0142532	0.0244092	0.0249203	0.0267331	0.0333293	0.0436098	0.0526598	0.0439548	0.0550348	0.0525547	0.0581211	0.0555168	0.0279236	0.0276624	0.0256901	0.0265469	0.0248083	0.032837	0.0345646	0.0324616	0.0385297	0.0378844	0.0378452	0.0278616	0.0283498
dans	0.0189454	0.0157671	0.0138779	0.0156095	0.017806	0.026362	0.03425	0.0336096	0.03483	0.0352881	0.0355356	0.0370074	0.0357487	0.0361216	0.0337041	0.0284124	0.0353113	0.0408274	0.0524161	0.0394753	0.026188	0.0307288	0.0270093	0.025911	0.0229759	0.0245534	0.0275936	0.0332018	0.0385277	0.0462627	0.0761422
la	0.0300125	0.0229839	0.0176484	0.0110316	0.0120607	0.0158339	0.0303003	0.0327956	0.0380923	0.0418318	0.0470998	0.0418317	0.0424147	0.0345638	0.0292238	0.0310585	0.0328544	0.0466185	0.027205	0.0218178	0.022049	0.0295603	0.026699	0.0317275	0.0285682	0.0374203	0.0438366	0.0388225	0.0429197	0.0416533	0.0494647
forêt	0.0266361	0.0201032	0.0156575	0.0151647	0.0154978	0.01885	0.0227147	0.0221754	0.022889	0.0228461	0.0246087	0.0273094	0.024498	0.0277138	0.0236936	0.0301289	0.0282406	0.0365108	0.0365222	0.0496811	0.0491868	0.0380728	0.0410346	0.0397619	0.0465442	0.0362919	0.0383757	0.039657	0.0433478	0.0409694	0.0753162
ils	0.0375592	0.030689	0.0297407	0.017734	0.0150835	0.0158416	0.0161429	0.0152604	0.0153622	0.0152698	0.0158458	0.0165117	0.0152379	0.017005	0.0163839	0.0193264	0.0270224	0.0430256	0.0506046	0.0499491	0.0426252	0.0408846	0.0451238	0.0415264	0.0361192	0.0403751	0.0445433	0.0506072	0.0557283	0.0544334	0.0684382
n'	0.0578654	0.0589256	0.0622432	0.056015	0.0533316	0.0578447	0.0451499	0.0361033	0.0333897	0.0257494	0.0167585	0.0138109	0.00679062	0.00569041	0.00478274	0.00710245	0.00912887	0.0116679	0.0166695	0.0213685	0.0245476	0.0203756	0.0232903	0.0325874	0.0276781	0.0271124	0.0392524	0.0435581	0.054551	0.0542093	0.0524496
ont	0.0256086	0.0150438	0.00890689	0.0106437	0.00752903	0.00820576	0.0115982	0.0120352	0.0152796	0.0132121	0.0158664	0.0101356	0.0152162	0.016293	0.0185091	0.0236999	0.0343402	0.045282	0.0318552	0.04148	0.0724369	0.0751775	0.0548685	0.0718328	0.049278	0.0535935	0.0486942	0.0446389	0.0392273	0.0571816	0.0523304
pas	0.0589173	0.0485791	0.0345544	0.0319645	0.0248532	0.0342045	0.0253804	0.0177389	0.0171941	0.0110887	0.010303	0.00908571	0.0102865	0.012952	0.0158308	0.0250702	0.0264142	0.0206624	0.0201045	0.0535942	0.0584818	0.0421902	0.0397613	0.0477466	0.0303825	0.0344365	0.0378743	0.0407634	0.0423672	0.0562907	0.0609265
pu	0.0379504	0.0304089	0.0236332	0.0236186	0.0266391	0.0359766	0.0314624	0.0250329	0.0219043	0.015588	0.0108692	0.012127	0.00816372	0.0120753	0.0147074	0.023487	0.0258319	0.0295918	0.0226298	0.0189301	0.0178718	0.0212979	0.0239115	0.0537437	0.0217913	0.0428618	0.0575776	0.068355	0.0696332	0.0863563	0.0859723
rentrer	0.0438478	0.03642	0.0247393	0.0233998	0.0206723	0.0299687	0.034709	0.0267095	0.0271718	0.0185552	0.0157247	0.0131689	0.0143802	0.0186578	0.0258429	0.0423281	0.041426	0.0298869	0.0365719	0.0565797	0.065393	0.0531167	0.0457524	0.0463878	0.022904	0.0256336	0.0229416	0.0247167	0.0256911	0.0381805	0.0485222
</S>	0.0256814	0.0219754	0.0184512	0.0227044	0.0292372	0.0358539	0.0388708	0.0380042	0.0321881	0.0274756	0.0227088	0.0194657	0.020478	0.0298552	0.0251877	0.0376674	0.0332957	0.0310235	0.0274889	0.0178569	0.0196818	0.0204284	0.0183275	0.0235012	0.0114179	0.0192209	0.0231681	0.0338762	0.0526323	0.0739102	0.148366
