 	w	a	l	á	a	t	ú	r	á	a	t	s	ó	s	o	b	á	á	k	ó	á	s	á	n	d	é	e	</S>
il	0.0765198	0.208479	0.215998	0.220121	0.0719096	0.0497944	0.01409	0.0225974	0.0388196	0.00386945	0.00243792	0.00306503	0.00224716	0.00358642	0.003026	0.00503488	0.00599015	0.00537509	0.00620482	0.00676139	0.00545667	0.00425039	0.00311576	0.00678996	0.00570268	0.00446747	0.00223824	0.002052
chasse	0.00873371	0.00808281	0.0075456	0.00861264	0.0145498	0.0122666	0.0254093	0.0204074	0.0187944	0.0225023	0.0559937	0.100155	0.0807847	0.0628807	0.0767495	0.0497799	0.050983	0.0287653	0.0420641	0.0218815	0.0542691	0.0338084	0.0700102	0.0433816	0.0242282	0.0200467	0.0184689	0.0188447
les	0.00998301	0.0120869	0.0184535	0.0130872	0.0201719	0.0164962	0.0146234	0.02214	0.0284001	0.041747	0.0668956	0.0788423	0.0661585	0.0743473	0.0629209	0.0824972	0.0613547	0.0365295	0.0169965	0.015625	0.0253419	0.0232112	0.0325987	0.0309253	0.0236761	0.0221742	0.0506074	0.0321084
poules	0.00415744	0.00545347	0.00649212	0.00578919	0.0058066	0.00621517	0.00541054	0.00580502	0.00658563	0.0059692	0.00537633	0.00537596	0.01144	0.0173207	0.0276846	0.0398865	0.0350468	0.0701919	0.115043	0.121768	0.0936261	0.0931463	0.0744855	0.0410313	0.0457271	0.0470428	0.0418928	0.0562303
qui	0.00320061	0.00320141	0.00328525	0.00312009	0.0033536	0.00399184	0.00442419	0.00364112	0.00453616	0.00470907	0.00666085	0.011716	0.0273327	0.0320216	0.0530389	0.0465542	0.0293424	0.0462154	0.0598278	0.0563502	0.0479013	0.0437677	0.0873908	0.0560503	0.0838965	0.0799582	0.0810101	0.113502
entrent	0.0104391	0.0148806	0.0178757	0.0155637	0.0103577	0.0101776	0.00862015	0.00675963	0.00815636	0.0105506	0.0178111	0.018455	0.0286628	0.0261507	0.0518591	0.0674197	0.0698835	0.0683126	0.0666355	0.0459955	0.0456498	0.0453606	0.0481765	0.0487341	0.0505131	0.0530215	0.039782	0.0941959
dans	0.0125123	0.0133508	0.0138232	0.0129299	0.0119794	0.0130917	0.01388	0.0117597	0.0116144	0.0129957	0.0141676	0.0151204	0.0274118	0.0313893	0.0518104	0.0624757	0.0368802	0.0495799	0.056528	0.0511739	0.0563894	0.0587219	0.0622784	0.0563295	0.0584949	0.0588343	0.0526658	0.0718116
la	0.0154379	0.0197246	0.0169983	0.0147925	0.0127445	0.0124612	0.0128337	0.0095813	0.00932435	0.0109549	0.0122071	0.0124817	0.0194153	0.0270906	0.0302361	0.026909	0.0284981	0.0269257	0.0288494	0.0296757	0.0438321	0.0633183	0.0857019	0.0803582	0.0849725	0.0857094	0.0765725	0.102393
maison	0.0101704	0.0104984	0.0100069	0.00989194	0.00953319	0.00708236	0.00780167	0.00809537	0.00480833	0.00592709	0.00484405	0.00431672	0.00447283	0.0045901	0.00623115	0.00758602	0.00585448	0.00857206	0.0178949	0.0250192	0.0368139	0.0641482	0.0872643	0.0999577	0.1415	0.13623	0.139735	0.121154
</S>	0.0114441	0.0131155	0.0135229	0.014939	0.016193	0.0141721	0.0153785	0.0178945	0.0143675	0.0195044	0.0132664	0.0114185	0.00825342	0.00621392	0.00722973	0.00996707	0.0136609	0.0164106	0.0232899	0.0272311	0.0379586	0.0642543	0.0644994	0.0859223	0.106878	0.110424	0.113821	0.128769
