 	a	k	ó	n	y	i	i	n	g	ó	o	y	a	n	g	á	á	d	z	e	o	t	ó	b	h	á	</S>
les	0.162819	0.0727271	0.0131851	0.0132953	0.00961803	0.0237686	0.0286141	0.0294731	0.0222325	0.026079	0.0300994	0.0451754	0.0438745	0.0416317	0.0445205	0.0431022	0.0433968	0.0420377	0.0404202	0.0339404	0.0315975	0.0284055	0.0319545	0.0283941	0.0278382	0.0255905	0.0162086
assaillants	0.0583643	0.0522064	0.0676207	0.142977	0.187604	0.0858021	0.0488785	0.03324	0.0206809	0.0136489	0.00858007	0.0095423	0.00716273	0.00564966	0.0120783	0.0100735	0.0154999	0.0209593	0.030708	0.0440755	0.0478767	0.0171288	0.0157137	0.0168819	0.0142695	0.00894801	0.00382951
de	0.0278988	0.0448791	0.0603395	0.0616844	0.0625737	0.0260634	0.0353003	0.0507436	0.0415686	0.0316096	0.0479288	0.0427361	0.0475417	0.0402872	0.0517052	0.0316646	0.0305083	0.0306667	0.0391595	0.0328197	0.044848	0.0263077	0.030009	0.0222887	0.0192948	0.0132197	0.00635328
ma	0.0159567	0.0226507	0.049184	0.0608161	0.0469608	0.0403778	0.0518929	0.0454362	0.0563494	0.0429025	0.0505556	0.0362182	0.0378769	0.0296317	0.0222429	0.0233057	0.0218472	0.0229278	0.0276155	0.0248665	0.0256814	0.0389999	0.0434393	0.0385513	0.040897	0.0505489	0.0322672
mère	0.0283172	0.0340388	0.0354781	0.0425375	0.0503141	0.0464441	0.0462197	0.0509129	0.0437975	0.0420714	0.0448699	0.0413479	0.0424526	0.0458603	0.0317408	0.0256962	0.0250763	0.0246312	0.0236054	0.0294636	0.0251783	0.0274221	0.0286382	0.0287075	0.0365587	0.0362547	0.0623647
étaient	0.0239296	0.0246153	0.0221734	0.0291714	0.0404807	0.0496855	0.050307	0.0502045	0.0600767	0.0518196	0.0530414	0.0384255	0.0483184	0.0349134	0.0287981	0.0130564	0.0154745	0.0180019	0.0125854	0.0149272	0.0182799	0.0312274	0.0343655	0.0491209	0.0589908	0.0512929	0.0767168
six	0.0280222	0.0231132	0.0286586	0.0391838	0.0483175	0.0440329	0.0408844	0.0534411	0.0454758	0.0510536	0.054166	0.0440183	0.0446889	0.0322664	0.0128645	0.0142407	0.0121635	0.0123596	0.0158613	0.0202619	0.0277225	0.0245486	0.040552	0.0368873	0.06123	0.0528278	0.0911576
contre	0.0317297	0.0227379	0.0224358	0.0311487	0.0335807	0.0388183	0.0370971	0.0360839	0.0464739	0.0481762	0.0418316	0.0304784	0.0306015	0.0250717	0.00787881	0.00660977	0.00760136	0.0124793	0.014004	0.0127128	0.0254832	0.0337633	0.0519197	0.0501043	0.081072	0.076138	0.143968
elle	0.0516288	0.0369272	0.037621	0.0367373	0.0403968	0.0383407	0.0260571	0.0252177	0.0173818	0.0105507	0.0109122	0.00743106	0.00933132	0.00727859	0.00261356	0.00219688	0.00522495	0.0120554	0.024162	0.0279844	0.0363295	0.0531726	0.0832511	0.0802476	0.0988912	0.100238	0.11782
</S>	0.0654137	0.0429465	0.0407132	0.0371353	0.0392617	0.0324619	0.01862	0.0170814	0.0130246	0.00705001	0.0070155	0.00464706	0.00609873	0.00566969	0.00472365	0.00401845	0.00914409	0.0165241	0.0259362	0.0341274	0.030417	0.0468804	0.065696	0.0794442	0.0968383	0.109742	0.139369
