 	b	í	s	í	l	e	d	í	b	a	r	e	i	b	w	a	b	á	a	y	ε	í	e	y	ú	m	b	u	y	é	</S>
nous	0.164965	0.155524	0.15967	0.0806148	0.0230479	0.0118059	0.0137939	0.0214086	0.0180988	0.0144122	0.0310183	0.0287418	0.0290466	0.0203722	0.0167304	0.0144793	0.0166912	0.012075	0.0124579	0.0164707	0.0232119	0.0111775	0.00991415	0.00891177	0.00794341	0.0113883	0.00874805	0.0141054	0.0138909	0.0146477	0.0146366
sommes	0.164397	0.166839	0.0556904	0.0339372	0.0272171	0.0358323	0.0549031	0.0579228	0.0390732	0.0306949	0.0293226	0.0377237	0.0261795	0.0297125	0.0313154	0.0297988	0.021448	0.0231888	0.0180026	0.0136528	0.0112107	0.0061788	0.00652255	0.00604849	0.00697707	0.00993982	0.00620573	0.00420345	0.00369902	0.00419223	0.00797034
neuf	0.0305222	0.0288101	0.0216019	0.0281941	0.0228509	0.0338851	0.0359296	0.0509055	0.0528998	0.0789165	0.0666192	0.0609127	0.0571219	0.0499817	0.0438569	0.0693219	0.0613097	0.0368888	0.0289105	0.0174975	0.0123112	0.0131195	0.0123666	0.00889568	0.00661983	0.00783534	0.00927157	0.0108881	0.0110374	0.0147783	0.0159402
personnes	0.0351407	0.0232186	0.0176799	0.0150654	0.0116333	0.0141572	0.0181029	0.0162989	0.023036	0.0295082	0.0241429	0.0237729	0.0281346	0.0323937	0.0398548	0.0495774	0.0517996	0.0738309	0.0641485	0.0590586	0.0531783	0.0433068	0.0309261	0.0273008	0.0242551	0.0176283	0.0231906	0.025785	0.0268231	0.0321772	0.0448736
à	0.0399016	0.0248647	0.018838	0.0166803	0.0251938	0.031966	0.0320852	0.0284348	0.0268504	0.026168	0.0312953	0.0366009	0.0343309	0.0496521	0.0421129	0.0314474	0.0368635	0.0382922	0.0271658	0.026455	0.024955	0.0240797	0.0244484	0.0225594	0.0231239	0.0246609	0.0233693	0.026712	0.0477472	0.0478959	0.0852497
se	0.108897	0.102502	0.0669236	0.0300753	0.0298885	0.032205	0.0345351	0.0338862	0.0246273	0.021312	0.020367	0.0217888	0.0204535	0.0259527	0.017637	0.0110777	0.014178	0.012666	0.0157049	0.0193723	0.0227317	0.0207752	0.0194674	0.018279	0.0213106	0.0214059	0.0193787	0.0221747	0.0372502	0.0345083	0.0986681
présenter	0.0433882	0.0285321	0.021447	0.0227558	0.0205541	0.0176365	0.0197626	0.0261643	0.021735	0.0232526	0.0208256	0.0207864	0.0214125	0.0278036	0.0263814	0.0272803	0.0256031	0.017114	0.0136654	0.0160136	0.0242476	0.0220747	0.0294613	0.0240934	0.0289859	0.0372854	0.0371162	0.050245	0.0806416	0.0781186	0.125617
à	0.0385141	0.0338757	0.0242327	0.0295498	0.0359422	0.026275	0.0316002	0.0315973	0.0301275	0.0336076	0.0288763	0.0199122	0.0137201	0.0180747	0.0157874	0.0146008	0.0177753	0.0174415	0.0233789	0.0174511	0.0356668	0.0223905	0.0299145	0.0339168	0.0371967	0.0324499	0.0429797	0.0533919	0.0555515	0.0581139	0.0960874
cette	0.0260341	0.023051	0.0229168	0.0216513	0.0115488	0.0105716	0.00968705	0.0101844	0.00974737	0.00991557	0.009849	0.0102391	0.0107677	0.0138975	0.0158776	0.0169975	0.0217415	0.0231634	0.020935	0.0224447	0.0302483	0.0342014	0.043972	0.0477296	0.0522544	0.0685149	0.0655205	0.0761671	0.0849835	0.0865716	0.0886156
réunion	0.013186	0.0117524	0.0115999	0.0120016	0.0126781	0.0113902	0.0124371	0.0118929	0.0111382	0.0112862	0.0109234	0.0139902	0.0131368	0.0189428	0.0209235	0.0219673	0.0321532	0.0297572	0.0286439	0.0277732	0.0325906	0.028844	0.0347126	0.0345432	0.0435822	0.0464685	0.0512168	0.0756184	0.0766481	0.105199	0.133003
</S>	0.00917052	0.00966277	0.0102051	0.0116785	0.0153813	0.0125664	0.0152613	0.0126097	0.0111803	0.0100348	0.00806876	0.0127137	0.00807161	0.0137707	0.0174851	0.0133706	0.0258133	0.0209199	0.0363053	0.0340386	0.0428494	0.0433477	0.0453943	0.0438194	0.0650005	0.0597528	0.0656899	0.0782285	0.0753461	0.0775331	0.0947302
