 	t	á	á	l	á	a	l	ω	n	d	ώ	s	ώ	b	á	n	a	k	ó	ó	y	a	l	e	k	ώ	ώ	l	i	</S>
le	0.0237975	0.0280764	0.0802118	0.102241	0.0362437	0.0200602	0.0126227	0.0318896	0.0376971	0.0318501	0.041309	0.0339613	0.0368015	0.0546705	0.0274422	0.042192	0.0330744	0.0283608	0.0223171	0.0253686	0.0298763	0.0255553	0.0296867	0.0266381	0.0295335	0.0279893	0.0229862	0.0198286	0.0177221	0.0199961
père	0.224173	0.129205	0.0630188	0.0678955	0.0826043	0.0682566	0.0337715	0.0130877	0.0226429	0.0183487	0.0153276	0.0193095	0.0373693	0.0335488	0.0135489	0.0170305	0.0139456	0.0112844	0.0108254	0.00544075	0.00572359	0.0112795	0.0127747	0.0175554	0.0162436	0.0237423	0.00647232	0.00325819	0.00101173	0.00130302
fait	0.018308	0.0241225	0.0221674	0.0205186	0.0240783	0.0314657	0.0273486	0.0314644	0.0466794	0.0438516	0.0569275	0.0452885	0.0287655	0.0353386	0.0303476	0.0370452	0.0341723	0.0546846	0.0421732	0.0301451	0.0435561	0.0436689	0.0439601	0.0345535	0.0335447	0.030237	0.0199715	0.0228222	0.0257007	0.0170927
suivre	0.029433	0.0158783	0.0113837	0.00818008	0.00693418	0.0112361	0.0131344	0.0153274	0.0164603	0.0187563	0.0156638	0.0209839	0.0240087	0.0285878	0.0428578	0.062863	0.0665882	0.100153	0.0849147	0.0746422	0.0540361	0.0456908	0.0365825	0.0309387	0.0357304	0.027794	0.0225724	0.0213274	0.0264943	0.0308465
le	0.0639147	0.0293671	0.0263482	0.0231085	0.0198307	0.0231496	0.0246002	0.0337371	0.0300661	0.0267046	0.0248662	0.0258297	0.0205725	0.0231177	0.0249981	0.025033	0.0220519	0.0250875	0.0231979	0.0262724	0.0220237	0.0268509	0.0259543	0.0214021	0.035423	0.0368823	0.0494774	0.0623966	0.0637529	0.113983
chemin	0.0183656	0.00911541	0.00823905	0.00859489	0.0177788	0.0228223	0.0252533	0.0386794	0.0349966	0.0468453	0.0517088	0.052286	0.0377687	0.0308664	0.0297908	0.031418	0.0236415	0.0246791	0.0335055	0.0381196	0.0346253	0.03346	0.0339075	0.0289004	0.0349742	0.0331595	0.0357855	0.0414966	0.0371856	0.10203
de	0.0174713	0.018039	0.0159069	0.0132646	0.0151644	0.0146708	0.0153066	0.017728	0.0145284	0.0212578	0.022871	0.019776	0.0169254	0.0125577	0.0144344	0.0145846	0.0157715	0.0180819	0.0316539	0.0469672	0.0506724	0.0470461	0.0628327	0.0512709	0.0521978	0.0535578	0.0634148	0.0637823	0.0654504	0.112813
l'	0.0397381	0.0279095	0.023506	0.0170912	0.0150501	0.0175792	0.0230991	0.0264263	0.0227826	0.0322235	0.036976	0.0409757	0.0320121	0.024358	0.04651	0.0327082	0.0310597	0.027941	0.0259429	0.0233509	0.0211885	0.0234653	0.024083	0.027667	0.0285235	0.0336554	0.0380282	0.0544283	0.0516516	0.130069
école	0.0341248	0.0253109	0.0167985	0.0138151	0.00924548	0.00882883	0.00852052	0.014128	0.013952	0.0184113	0.0174898	0.0200072	0.0145241	0.0144353	0.0190857	0.0221727	0.0192982	0.0253003	0.03072	0.034662	0.0291697	0.0314872	0.0419613	0.0386695	0.0330741	0.0546253	0.0718484	0.0751909	0.104439	0.138704
à	0.0649385	0.0288263	0.0166442	0.018538	0.0156894	0.0174058	0.0190838	0.02028	0.0145594	0.0108297	0.0126195	0.0187196	0.0140696	0.0173543	0.0201491	0.0213207	0.0187882	0.0207944	0.0244014	0.0318002	0.0366099	0.0315749	0.0404069	0.0527648	0.0349693	0.039973	0.0492768	0.075927	0.0731482	0.138537
ses	0.0686519	0.0416078	0.0378374	0.0403615	0.0309991	0.0244762	0.0218204	0.0236937	0.0206013	0.0167696	0.0186478	0.0198735	0.0134855	0.0130877	0.0168195	0.0167819	0.0122081	0.0163192	0.0157561	0.0162572	0.014538	0.0212076	0.0227879	0.0247434	0.0270355	0.0361828	0.0619741	0.0780113	0.0787302	0.148734
enfants	0.0660105	0.0492443	0.0383921	0.0359856	0.0232273	0.0192523	0.0153708	0.0175347	0.0163647	0.0183357	0.0241196	0.031977	0.0272335	0.0241431	0.0273836	0.0288793	0.0184521	0.0243452	0.0227231	0.0208016	0.016359	0.020016	0.0153435	0.0183243	0.019777	0.0255394	0.0476547	0.0802155	0.0723382	0.134656
</S>	0.0639827	0.0402014	0.0357234	0.0363044	0.0268802	0.028317	0.0176913	0.0201576	0.0146353	0.0158502	0.019452	0.027079	0.0215102	0.020426	0.021	0.0241997	0.0172776	0.0300001	0.0314611	0.026549	0.0241615	0.0292822	0.0329053	0.0379592	0.0266909	0.0312176	0.0451218	0.0618963	0.0554637	0.116603
