 	e	d	z	w	e	w	á	n	g	y	ε	l	έ	é	b	h	í	l	a	l	o	n	á	a	</S>
il	0.0109328	0.00945482	0.00863288	0.0368378	0.0290457	0.0399112	0.0587844	0.0392873	0.0445418	0.0488555	0.0427985	0.0429409	0.0438941	0.0444472	0.0435513	0.0435505	0.0463191	0.0523144	0.0522148	0.0573729	0.0689077	0.0539401	0.0381081	0.0245137	0.0188424
y	0.146395	0.121168	0.132427	0.0968694	0.076801	0.0512295	0.0481154	0.062612	0.0256939	0.0247619	0.0208248	0.0127184	0.0140801	0.0080983	0.00516175	0.0114565	0.0157383	0.017688	0.0154434	0.00898699	0.0169109	0.0208331	0.0153767	0.0122516	0.018357
a	0.0890687	0.0527362	0.0471638	0.0337921	0.0421591	0.0187248	0.0208162	0.0176469	0.0360833	0.0320126	0.0708227	0.0526362	0.0803859	0.071611	0.0712408	0.0339954	0.02329	0.0341081	0.0297308	0.0298181	0.0221715	0.0268207	0.0195874	0.0178576	0.02572
une	0.0388036	0.035267	0.0327146	0.0341516	0.0568028	0.0242195	0.0373915	0.0257998	0.0351118	0.0296468	0.0448743	0.0468723	0.0704659	0.0562742	0.0710985	0.0910091	0.0580052	0.0547893	0.0255465	0.0199974	0.0158368	0.0194216	0.0145356	0.0266063	0.034758
semaine	0.0506905	0.0509212	0.045656	0.0203453	0.0436119	0.0362296	0.0460951	0.0318425	0.0201149	0.0266374	0.0294169	0.0335713	0.0382351	0.0482168	0.0419465	0.046171	0.0544011	0.0594978	0.0476219	0.0347463	0.0269096	0.022622	0.0289491	0.0400686	0.0754816
de	0.122119	0.0625289	0.0565592	0.0429401	0.0326498	0.0266336	0.0358444	0.0211277	0.020611	0.0211152	0.0287871	0.0179712	0.0278408	0.0235705	0.0290316	0.0278668	0.0250153	0.039569	0.035196	0.0265119	0.0291374	0.0385945	0.0333307	0.0509354	0.124513
cela	0.197903	0.102623	0.0764801	0.0542704	0.0683466	0.0243815	0.0219242	0.0143495	0.0110456	0.0107689	0.0136295	0.0161337	0.0177468	0.0168274	0.0188043	0.0153211	0.0216299	0.0252628	0.0311683	0.0241828	0.028128	0.0347143	0.0297547	0.0446241	0.0799802
qu'	0.102071	0.0566232	0.0379552	0.0257985	0.024972	0.0117032	0.0110888	0.0114631	0.0147879	0.0160539	0.0155363	0.0245471	0.0284002	0.0237671	0.02662	0.0272548	0.031004	0.0272079	0.0430828	0.0391742	0.0700837	0.0749737	0.0524213	0.0891173	0.114293
il	0.0726066	0.0511968	0.0474952	0.0405773	0.0258362	0.0130196	0.0261957	0.0176791	0.0218171	0.0332237	0.0426012	0.0313536	0.041274	0.0379923	0.0548002	0.0263146	0.0248194	0.0376931	0.0329349	0.0431511	0.0326906	0.0400956	0.0355932	0.0550991	0.11394
est	0.181984	0.0906079	0.0806907	0.050428	0.0469695	0.00848668	0.00826019	0.00717446	0.00927236	0.00912012	0.00945102	0.0121048	0.0129198	0.0112048	0.0124927	0.0115292	0.0139656	0.0171976	0.0217369	0.0299838	0.0373927	0.0537382	0.0431203	0.0615202	0.158649
parti	0.0871743	0.0394749	0.0250518	0.0163276	0.0169474	0.0092411	0.00881455	0.0212144	0.0177732	0.0133864	0.0143427	0.0237467	0.0247076	0.0216609	0.0231017	0.0217826	0.0333205	0.0317999	0.048048	0.0539996	0.0683512	0.0801287	0.072409	0.0799964	0.147199
à	0.0562244	0.0402463	0.0366994	0.0360972	0.0306781	0.0154903	0.0124136	0.00862553	0.00806017	0.00852755	0.013858	0.00911853	0.0132285	0.0102184	0.014123	0.00924894	0.0115469	0.026072	0.027099	0.0491932	0.087575	0.108566	0.105311	0.122864	0.138916
brazaville	0.0703192	0.0417091	0.0314496	0.0333733	0.0313515	0.0137706	0.0143591	0.0135884	0.00664011	0.00616164	0.00897637	0.00913829	0.0104589	0.00914741	0.0129196	0.00836282	0.0137838	0.0241689	0.0416977	0.0657419	0.0859539	0.0996274	0.0916672	0.114	0.141634
</S>	0.0601613	0.0340753	0.0264525	0.020193	0.0178524	0.0108848	0.0188739	0.0177026	0.00900278	0.00600802	0.00749774	0.00831304	0.00625384	0.00701115	0.00835534	0.00933937	0.0160388	0.0195862	0.0515821	0.0543061	0.0854257	0.072676	0.0762941	0.123518	0.232595
