 	o	f	u	u	l	u	l	a	n	g	á	s	á	b	í	n	í	n	d	a	</S>
quelle	0.00414305	0.00438312	0.0068718	0.0163232	0.0170233	0.0171936	0.0194988	0.0222266	0.0237186	0.0242772	0.0338584	0.0301462	0.0477999	0.057137	0.0702035	0.109118	0.134479	0.115338	0.133258	0.073013	0.0399903
est	0.186384	0.141783	0.0725741	0.034462	0.0178651	0.0442622	0.0633223	0.0589745	0.0673106	0.0415681	0.0551258	0.024955	0.0229836	0.03101	0.0112585	0.0134301	0.01099	0.0190127	0.00826375	0.0245058	0.0499581
celui	0.0192014	0.0129011	0.00991858	0.00746039	0.00915403	0.00976769	0.0124576	0.0128316	0.0120261	0.00935282	0.00665892	0.00784048	0.0237544	0.062179	0.0478463	0.0894059	0.091528	0.199082	0.0754819	0.195733	0.085419
qui	0.0553239	0.0558053	0.0432236	0.0382863	0.0440201	0.0445443	0.064513	0.0365309	0.0199964	0.0131419	0.0080398	0.0143342	0.0228724	0.033655	0.0253514	0.0465276	0.0439174	0.0799264	0.0447542	0.0720808	0.193155
boude	0.0221892	0.0232267	0.0292755	0.0301769	0.0345907	0.0311618	0.0303445	0.0234982	0.0205626	0.0183662	0.0165414	0.0185572	0.0216219	0.0314024	0.0362009	0.07528	0.0890935	0.137853	0.104887	0.080387	0.124784
contre	0.0436323	0.0355711	0.038692	0.0389884	0.0493433	0.0604897	0.0535869	0.0436274	0.0377085	0.0404075	0.0415773	0.0521981	0.0353064	0.0389691	0.0354691	0.0430314	0.050128	0.0570888	0.0561142	0.0546063	0.093464
moi	0.0690547	0.0422236	0.0331429	0.0278257	0.0301818	0.0308074	0.0276092	0.0228777	0.019457	0.0156808	0.0124463	0.0257538	0.0855088	0.0680703	0.108303	0.0977103	0.0641106	0.0465772	0.0461815	0.0446484	0.0818285
parmi	0.0348238	0.0221862	0.0179115	0.0179671	0.0289033	0.0299989	0.0264474	0.0347409	0.0389745	0.0391701	0.0262001	0.0379027	0.0437131	0.0463894	0.0783122	0.075441	0.0965102	0.0735261	0.0549919	0.0651333	0.110756
vous	0.0567251	0.0400367	0.0304905	0.0262677	0.0313595	0.0222399	0.0182033	0.0157791	0.016364	0.0235984	0.0248728	0.0301512	0.0278082	0.0289774	0.0745214	0.101508	0.101406	0.0900355	0.0643774	0.0621945	0.113083
</S>	0.084185	0.0696979	0.0619869	0.0452096	0.029716	0.0268712	0.0254809	0.0184584	0.0142008	0.0101777	0.00740832	0.00958401	0.0196804	0.0131752	0.0249115	0.0430349	0.0621268	0.0870627	0.0911479	0.0814459	0.174438
