 	e	l	a	s	í	n	í	l	í	y	í	i	y	á	i	d	u	n	ú	</S>
cette	0.0109463	0.0144492	0.00982833	0.0105629	0.0104549	0.0145537	0.0172479	0.0256537	0.0462576	0.0666349	0.0758875	0.0728967	0.0837411	0.151409	0.0803265	0.0798598	0.0833051	0.0509326	0.0522426	0.0428092
manière	0.00895829	0.0134988	0.00861363	0.0193595	0.0459945	0.0581422	0.0894098	0.0761479	0.134493	0.186955	0.0919923	0.0644396	0.0646295	0.0485102	0.0286504	0.0243692	0.0123648	0.0109002	0.0051252	0.00744509
de	0.267205	0.106851	0.0706123	0.0504859	0.0271986	0.0406048	0.036349	0.0185584	0.0196853	0.0189046	0.020413	0.018618	0.0414833	0.0358721	0.0351605	0.0232097	0.0324506	0.0377046	0.0432741	0.0553595
dire	0.126308	0.109048	0.0772796	0.036128	0.0413156	0.0159564	0.0222637	0.0186126	0.0275142	0.0435036	0.0205556	0.0120481	0.0337801	0.0418749	0.036479	0.0361701	0.03866	0.0373779	0.0452268	0.179898
au-revoir	0.0769912	0.059296	0.0740533	0.0549471	0.0846964	0.0857623	0.0755024	0.0358039	0.0305064	0.0397624	0.050624	0.0383233	0.0432352	0.0404024	0.0298228	0.0236666	0.0313225	0.0327515	0.0286123	0.063918
est	0.0720325	0.0933175	0.108548	0.0842713	0.0780444	0.0733508	0.0617503	0.0527407	0.0427114	0.0493653	0.0302722	0.0215073	0.0157166	0.00975413	0.0203835	0.0133705	0.0249264	0.0297796	0.0311066	0.0870515
celle	0.0442381	0.0240604	0.0231935	0.0346633	0.0784273	0.0700618	0.0639605	0.0552471	0.0240219	0.0145827	0.011069	0.0165576	0.0188733	0.0226589	0.04359	0.070014	0.0634365	0.0971501	0.0874197	0.136774
des	0.103958	0.0977665	0.101752	0.0775034	0.0694929	0.0799606	0.0568809	0.0627449	0.0401116	0.0247981	0.0163679	0.0193716	0.00817268	0.00631801	0.0097354	0.0117368	0.0179509	0.0360777	0.0446357	0.114664
vieillards	0.0621412	0.0765042	0.0929105	0.0846143	0.0684614	0.0414765	0.0389657	0.0261776	0.0142861	0.00699016	0.00763465	0.00952889	0.00990074	0.0128223	0.0203495	0.0279684	0.0445848	0.0763244	0.138413	0.139946
</S>	0.0734646	0.0652535	0.0667309	0.0501458	0.0362503	0.0344726	0.0336889	0.0244404	0.0189488	0.0203745	0.0172513	0.014474	0.0178073	0.0130928	0.0208619	0.0321704	0.0621048	0.101158	0.119069	0.17824
