 	n	g	ó	o	l	á	a	k	w	ω	s	ώ	m	w	á	n	a	m	í	p	f	ú	b	h	a	</S>
la	0.189752	0.12279	0.0773855	0.0302679	0.013826	0.0144146	0.0146445	0.0132581	0.00605867	0.00951162	0.00645468	0.00991444	0.00891917	0.00718687	0.024496	0.0470144	0.0519649	0.0488974	0.044298	0.0534952	0.0510939	0.0412302	0.0325002	0.0426127	0.0200741	0.0179384
mère	0.162346	0.0634344	0.100216	0.106443	0.0926511	0.104783	0.0901342	0.0406384	0.119379	0.0247199	0.058086	0.010863	0.00194099	0.000837131	0.000170665	0.000488219	0.000746416	0.0015237	0.00417429	0.00579048	0.00436448	0.00215198	0.00161813	0.00118296	0.000573521	0.000743734
cajole	0.00632104	0.0117941	0.0256841	0.0221552	0.0180332	0.0296918	0.0388496	0.086442	0.0989347	0.0505526	0.131494	0.0478226	0.0451085	0.0406972	0.0310926	0.0412579	0.0638911	0.0419299	0.0354637	0.0331414	0.0228471	0.0203601	0.0157059	0.0186054	0.0118586	0.0102659
son	0.0299463	0.0192829	0.0270015	0.023275	0.0266423	0.0265486	0.0260761	0.0367788	0.031789	0.0222213	0.0260475	0.0343561	0.0780486	0.0699404	0.0408501	0.0436647	0.0629119	0.0421408	0.0293809	0.0254453	0.0177369	0.0259202	0.0340266	0.0412002	0.049702	0.109066
enfant	0.025669	0.0449221	0.0561953	0.0500508	0.0424576	0.0416573	0.0309	0.0296214	0.0361882	0.0329827	0.0411669	0.0481262	0.0371286	0.04631	0.0304101	0.0350914	0.034131	0.0290798	0.0386235	0.0358201	0.0372442	0.0372472	0.0359497	0.038148	0.0358351	0.0490438
pour	0.0319029	0.0254564	0.0309131	0.0416765	0.0435386	0.0453275	0.0410136	0.0447996	0.0490961	0.0366225	0.0388444	0.0365477	0.0601358	0.0492064	0.0348424	0.0336594	0.0204953	0.0181805	0.0357878	0.0183958	0.0231358	0.0280771	0.0255266	0.0464565	0.0565621	0.0837997
qu'	0.022549	0.0126207	0.0184881	0.0205807	0.0202807	0.0234455	0.0289716	0.0378044	0.0643648	0.0394856	0.0275021	0.0367018	0.0336725	0.0666727	0.0254024	0.0341238	0.0403062	0.0254517	0.0459672	0.0370021	0.0402245	0.0401644	0.0469399	0.0465797	0.0594856	0.105212
il	0.018955	0.0105795	0.014469	0.0248848	0.0240062	0.0400423	0.050394	0.0618978	0.0985914	0.0594142	0.0561078	0.0735135	0.0300471	0.0347154	0.0211119	0.0271928	0.0258458	0.0209705	0.0280405	0.0136775	0.0217721	0.0288072	0.0300702	0.0377281	0.0595652	0.0876001
se	0.0378288	0.0253887	0.0285124	0.0292725	0.0234943	0.0204331	0.0221377	0.0268927	0.0343998	0.0167094	0.0242924	0.0341554	0.0431244	0.0914768	0.0453927	0.0628058	0.0567391	0.0337215	0.0433493	0.0300834	0.0313214	0.0324031	0.0302175	0.0331214	0.0404603	0.102266
lave	0.0539099	0.0430522	0.0315275	0.0231057	0.0233836	0.0249145	0.0254981	0.0236829	0.0284612	0.0229686	0.02476	0.0239262	0.0374269	0.0535092	0.0270134	0.046859	0.0455382	0.0502253	0.0499319	0.0223172	0.0356019	0.043412	0.0300104	0.0501035	0.0675025	0.0913583
</S>	0.0433225	0.0299817	0.0212035	0.0193177	0.021411	0.0161046	0.0217021	0.0252906	0.0279403	0.0165229	0.02954	0.0285598	0.0592123	0.0753352	0.0475335	0.0453131	0.0556575	0.0588768	0.0466096	0.0210356	0.0217481	0.040961	0.0331928	0.0450829	0.0499574	0.0985873
