 	e	k	ώ	ώ	y	é	é	l	a	m	b	í	s	í	n	ω	m	w	á	s	í	é	m	i	s	á	á	o	k	ú	r	a	</S>
le	0.0108066	0.0143183	0.0234301	0.0276952	0.0319756	0.0405321	0.0427624	0.0444463	0.0459473	0.0531585	0.0589045	0.056793	0.0519083	0.0501587	0.0297281	0.0191622	0.0139881	0.0148852	0.00760188	0.0084308	0.0100949	0.0169027	0.0160804	0.0164351	0.0194685	0.0227024	0.025937	0.0322984	0.0496475	0.051137	0.0380416	0.0291915	0.0254296
manioc	0.022164	0.035584	0.0461385	0.0598291	0.106484	0.0953275	0.0502812	0.0288181	0.0312948	0.0324497	0.0168084	0.0209778	0.0229334	0.0528658	0.0514318	0.0494733	0.0364018	0.0209011	0.0173238	0.0193571	0.0284472	0.0311573	0.0205437	0.023953	0.012538	0.00585824	0.0138099	0.00454472	0.0177029	0.008369	0.0074919	0.00451302	0.00422659
que	0.0988294	0.0489887	0.0338597	0.0133797	0.0159811	0.0161717	0.0227468	0.0210543	0.0269713	0.0203683	0.0229323	0.0380479	0.0477436	0.042053	0.0296148	0.0302849	0.0102337	0.0096705	0.0154968	0.0146575	0.0272955	0.0485885	0.0441189	0.0577549	0.0603739	0.0197951	0.052921	0.0213821	0.0378175	0.0207502	0.021337	0.00558765	0.00319195
ta	0.0318629	0.0460986	0.0503246	0.0371792	0.0328192	0.0325449	0.0273575	0.0199204	0.0174915	0.020589	0.0254721	0.030541	0.0255593	0.0338182	0.0400042	0.0544854	0.0579922	0.0194026	0.0153317	0.0114441	0.0132965	0.0201688	0.0265691	0.0309606	0.0545671	0.00976796	0.0212961	0.01689	0.0287935	0.0329854	0.0422697	0.0339626	0.0382341
femmin	0.0364532	0.0246558	0.0218677	0.0312342	0.0383518	0.0460984	0.0568095	0.0527943	0.0876606	0.0446944	0.0404116	0.0220892	0.0274588	0.0262528	0.030495	0.0409851	0.0456447	0.0290372	0.0354564	0.0378755	0.0308879	0.0438469	0.0205938	0.0125382	0.0171536	0.00547646	0.012122	0.00949862	0.00862493	0.00942419	0.0102134	0.0133369	0.0299566
a	0.0450177	0.0379816	0.0337258	0.0543733	0.0567479	0.0708941	0.0744642	0.048216	0.0246361	0.0251412	0.0339024	0.0289955	0.0330985	0.0238508	0.0287734	0.0373682	0.060336	0.0139079	0.00800092	0.00826756	0.0139083	0.0133543	0.010564	0.0137817	0.0113164	0.00305031	0.0133711	0.0165028	0.0119258	0.0196056	0.0253912	0.0330087	0.0665203
oté	0.048801	0.0326266	0.0251954	0.0339156	0.0274007	0.0380973	0.0514758	0.0585176	0.0675732	0.0410012	0.0377014	0.018211	0.0252358	0.0236416	0.0230302	0.0312305	0.0558673	0.012162	0.0131771	0.013078	0.0158844	0.0149599	0.0114719	0.0186684	0.0173994	0.00297728	0.0280027	0.0239085	0.0186189	0.0316691	0.0314736	0.0399095	0.067117
du	0.0713885	0.0606963	0.0503705	0.0597688	0.0619565	0.067715	0.0890507	0.079695	0.0538127	0.0432274	0.0365249	0.0310187	0.0269589	0.0207273	0.0196953	0.0384843	0.048335	0.00989416	0.00568286	0.00641247	0.00532518	0.00436566	0.00261843	0.00260012	0.00243691	0.000733981	0.00325156	0.00543296	0.00616765	0.00700043	0.00953381	0.0121084	0.0570096
feu	0.113029	0.0758684	0.0580695	0.0364346	0.0218814	0.0202972	0.00745787	0.00518553	0.00663726	0.00865538	0.0141094	0.0169133	0.0301999	0.0403959	0.0464306	0.0702191	0.0408177	0.0178274	0.00922405	0.00772761	0.00723851	0.00621835	0.00598574	0.0117653	0.011794	0.00242965	0.00850352	0.0180841	0.026057	0.0252645	0.0257111	0.0482234	0.155344
s'	0.135239	0.078128	0.0495362	0.0297685	0.0221865	0.0271838	0.021793	0.0283418	0.0328515	0.0226401	0.0199433	0.0159902	0.0228279	0.0182799	0.0269064	0.0555681	0.0425797	0.0260733	0.0150139	0.0101662	0.0112228	0.0142395	0.0131129	0.0137072	0.0134442	0.00381112	0.0107341	0.0140292	0.012218	0.0172877	0.0190432	0.0320368	0.124095
est	0.16574	0.0893307	0.0514932	0.0211321	0.0123123	0.0102224	0.00655097	0.00636885	0.00789183	0.0103828	0.0111942	0.00915147	0.0133174	0.0144845	0.0200974	0.0255056	0.0281227	0.00704047	0.00967913	0.00756593	0.00854484	0.00948156	0.00779472	0.012941	0.017035	0.00183836	0.0237844	0.0263966	0.0243291	0.0294394	0.0265832	0.0718213	0.212427
déjà	0.180129	0.0844258	0.0370366	0.0159485	0.0108137	0.006321	0.00560935	0.00572009	0.00446148	0.00424157	0.00518739	0.00632434	0.0114318	0.0138824	0.020451	0.0272325	0.0315474	0.0121067	0.0125668	0.01157	0.0105276	0.0149625	0.00977974	0.015009	0.011637	0.000856531	0.0146533	0.0146103	0.0252547	0.0191774	0.0164316	0.107806	0.232286
refroidi	0.0753431	0.0364513	0.0201487	0.0155183	0.00924192	0.00692484	0.0034264	0.00279575	0.00302078	0.00365294	0.00399457	0.00343142	0.00579029	0.00605304	0.0100016	0.0144339	0.019827	0.00572532	0.0105734	0.0066063	0.00702833	0.00658911	0.00771754	0.0222376	0.0238711	0.00144301	0.0315629	0.0487085	0.0511938	0.0663099	0.0731402	0.178706	0.218532
</S>	0.0872172	0.0616504	0.0491218	0.0306104	0.0204148	0.021001	0.0179174	0.0186596	0.0187784	0.014248	0.00806881	0.00748605	0.00600392	0.00484797	0.00598958	0.0115288	0.0333555	0.0189035	0.0277056	0.0231425	0.0258986	0.0324541	0.0376798	0.0440846	0.0371105	0.0132178	0.0310708	0.0320053	0.0169753	0.0310549	0.0315818	0.0486429	0.131572
