 	m	í	b	i	i	y	í	í	í	d	í	a	k	a	n	í	w	a	m	έ	n	d	e	n	d	z	á	á	a	s	ú	s	u	á	d	í	a	y	έ	l	i	k	a	á	</S>
beaucoup	0.0121306	0.0172976	0.0114549	0.0130594	0.0159949	0.0146395	0.0163372	0.0123772	0.02444	0.040174	0.033462	0.0387536	0.0607422	0.0534582	0.0516621	0.0367334	0.0146643	0.0165375	0.013128	0.010407	0.0119593	0.0124083	0.0103988	0.00991175	0.00953299	0.00874412	0.0064446	0.00843448	0.00753564	0.00943228	0.00995063	0.0133475	0.0105386	0.0100844	0.0125172	0.010913	0.0213143	0.0218814	0.0432406	0.0560562	0.0421287	0.0516032	0.0256854	0.0413367	0.0271463
de	0.134797	0.184891	0.0978555	0.0782347	0.0389167	0.0790225	0.034951	0.0156483	0.00869745	0.00530867	0.00773321	0.00588323	0.00903152	0.0112697	0.00981689	0.0110002	0.00438284	0.00951214	0.00987048	0.0130711	0.0160837	0.0133412	0.00799765	0.00982885	0.00568665	0.00652452	0.00185523	0.00376845	0.00290455	0.00234988	0.00366545	0.00350414	0.00431474	0.00299812	0.014538	0.0169118	0.0155242	0.0155331	0.0119174	0.0123648	0.0116695	0.0125294	0.0127121	0.0113679	0.0102151
voleurs	0.0507358	0.0370547	0.0457864	0.0527748	0.0445532	0.0681517	0.0673549	0.0516711	0.0250366	0.0400107	0.0544941	0.059082	0.05404	0.0499912	0.0281089	0.0208664	0.0102011	0.00580593	0.00525283	0.0105284	0.00871861	0.00995841	0.00918338	0.00688684	0.00596185	0.00634139	0.00535648	0.00717029	0.00591967	0.00728048	0.00668964	0.00911869	0.00573666	0.00835962	0.0141865	0.0117921	0.0110536	0.00980784	0.014558	0.0130017	0.012662	0.009205	0.0086688	0.00667916	0.00420252
sont	0.0401399	0.0281333	0.0321964	0.0236704	0.0193529	0.0228036	0.0190071	0.0209766	0.0289027	0.0308115	0.0311104	0.035683	0.0140433	0.0142831	0.0117232	0.0138842	0.0147846	0.0369759	0.0244647	0.0466279	0.0291836	0.0349749	0.0326698	0.02114	0.0168722	0.0138483	0.00713757	0.0124623	0.010652	0.012516	0.0132517	0.00922591	0.00815299	0.00824757	0.0207039	0.0198853	0.0260937	0.0174305	0.0352755	0.0220234	0.0254646	0.0195328	0.022923	0.0237047	0.0270533
prudents	0.0204523	0.014466	0.0150097	0.0166588	0.0280927	0.0273603	0.0354189	0.0360002	0.03639	0.0343006	0.0237598	0.0322033	0.0262024	0.0294316	0.0267265	0.0292729	0.0185804	0.0192066	0.0215737	0.031085	0.02555	0.0244519	0.0318976	0.0280975	0.025609	0.0228267	0.0181157	0.0306675	0.0198822	0.0257902	0.0243898	0.0247316	0.0232084	0.0165372	0.0403024	0.0109359	0.0131037	0.00673286	0.0068053	0.00580924	0.00713507	0.00561244	0.00433522	0.0111145	0.0241663
mais	0.00812142	0.00558268	0.00508467	0.00590777	0.00810359	0.0106015	0.016035	0.0175637	0.0154887	0.0146886	0.0109944	0.0158418	0.0128248	0.0150721	0.0145874	0.0176538	0.0130685	0.0118184	0.0172711	0.0183989	0.0225556	0.0252848	0.0268104	0.0339792	0.0352197	0.0294537	0.0277082	0.0507883	0.0335767	0.0511839	0.0513255	0.0446213	0.0440151	0.0321523	0.0776018	0.0323939	0.0327125	0.0138852	0.0102229	0.00872398	0.00764498	0.00625729	0.00433106	0.0119951	0.0308477
certain	0.00534737	0.00644526	0.00852635	0.00934781	0.012436	0.0129925	0.0116181	0.0134345	0.0167481	0.0204844	0.0261311	0.0251427	0.020613	0.0171151	0.0162856	0.0143498	0.0107547	0.00805605	0.0114654	0.0124648	0.014698	0.0234299	0.0194495	0.0240308	0.0316889	0.0298264	0.0372663	0.0398633	0.037648	0.0489636	0.0496435	0.0434439	0.0394607	0.0544339	0.0265413	0.0276895	0.0185198	0.0284808	0.0172449	0.0213185	0.0135719	0.0191091	0.0138381	0.0153717	0.0247089
d'	0.00958145	0.00995805	0.010017	0.0122117	0.016359	0.0166317	0.0120418	0.0146998	0.0131533	0.00875086	0.00780194	0.00701747	0.00655392	0.00769835	0.00784641	0.0118708	0.0075962	0.0111442	0.0209572	0.0159892	0.0190016	0.0261458	0.0244428	0.0317452	0.0408136	0.0576089	0.0411204	0.0656329	0.0680694	0.0564557	0.0605618	0.0554002	0.0328824	0.0213823	0.0416124	0.0126867	0.0162443	0.00745198	0.00694613	0.00532326	0.00719284	0.00564161	0.00588479	0.0168596	0.045013
entre	0.0194122	0.0124709	0.00755397	0.00652843	0.0078136	0.0063233	0.00665908	0.00498701	0.00248311	0.00197909	0.00203616	0.00258822	0.00422124	0.00747738	0.00885559	0.0103665	0.00446405	0.00612398	0.0135919	0.0123903	0.0156211	0.0164878	0.0218061	0.0255464	0.0253409	0.0282926	0.0259822	0.0279793	0.0293477	0.0344206	0.0443632	0.058136	0.0582287	0.052183	0.0461526	0.0432403	0.0311501	0.0400301	0.0331748	0.024778	0.0204915	0.0219896	0.0251135	0.0355472	0.0662708
eux	0.0125449	0.00758039	0.00569317	0.00487521	0.00315279	0.00286577	0.00183565	0.001626	0.00108113	0.000845562	0.00139608	0.000885982	0.0015385	0.00260291	0.00314381	0.00585646	0.00280819	0.0090049	0.0198771	0.0162486	0.0198383	0.0259185	0.0266464	0.0303779	0.0330128	0.0366637	0.0216798	0.0359544	0.034686	0.0383318	0.0573808	0.0744306	0.0688205	0.0546702	0.0972858	0.0481362	0.0455144	0.0143993	0.0151566	0.00628385	0.0137841	0.0102413	0.0105588	0.0273844	0.0473806
ne	0.0254342	0.0188331	0.0166065	0.0151071	0.0105823	0.00765179	0.00441935	0.00493003	0.00234051	0.00152276	0.00290447	0.00218357	0.00328224	0.00510047	0.00713666	0.0116958	0.00905557	0.0112537	0.0119223	0.0148542	0.0157009	0.0146988	0.0172616	0.0176329	0.0181306	0.0236557	0.0192448	0.0262672	0.0301822	0.033335	0.0414806	0.0450309	0.0508774	0.0470549	0.0410147	0.0312221	0.0377146	0.020934	0.0408281	0.0246482	0.0391661	0.032678	0.0403734	0.049706	0.0543445
sont	0.0775961	0.113852	0.0840436	0.0490971	0.0294488	0.0242954	0.0142469	0.0154246	0.00935103	0.00449682	0.00705357	0.00527377	0.00593489	0.00520877	0.00607518	0.00905429	0.0063458	0.00813593	0.0093491	0.0119683	0.00798834	0.00978692	0.0101516	0.00822633	0.0097325	0.0158728	0.00909237	0.0177917	0.0205012	0.0197782	0.0211877	0.0203322	0.0230839	0.0225598	0.0171516	0.0122217	0.016409	0.0167936	0.0194391	0.0162949	0.0351715	0.0378081	0.0372597	0.0362393	0.042874
