 	w	a	á	m	i	l	á	r	á	i	b	á	n	g	a	b	á	w	a	m	ó	a	b	ώ	ω	l	a	a	k	o	o	m	ó	i	d	z	w	a	o	b	í	n	a	</S>
elle	0.0636863	0.381998	0.25511	0.170038	0.0313975	0.0144989	0.0067837	0.00418988	0.00180488	0.00153568	0.00218849	0.00177842	0.00294483	0.00187364	0.00208731	0.00291992	0.00217487	0.00279523	0.000849034	0.0013347	0.00198231	0.00310583	0.00222049	0.00359418	0.00173717	0.00244891	0.00201474	0.00151645	0.00224811	0.00182227	0.00202304	0.00169548	0.00172247	0.00109018	0.000780625	0.00129292	0.00156227	0.00202355	0.00244177	0.00176285	0.00256066	0.00253976	0.00232743	0.00149649
a	0.0705009	0.0194052	0.00817491	0.00900265	0.00457696	0.0176975	0.0403676	0.0430784	0.0475899	0.0582541	0.0876	0.0838225	0.0842667	0.0235469	0.0182493	0.0222219	0.0178114	0.0221472	0.0136021	0.0144442	0.0291768	0.00693586	0.00969252	0.0106058	0.00745899	0.00783053	0.00799023	0.00725924	0.0135097	0.00561678	0.00747439	0.0059477	0.0180001	0.0118559	0.00910397	0.0136743	0.0126967	0.0100703	0.0183488	0.0096185	0.0169729	0.0230012	0.0101306	0.020668
mis	0.00490652	0.011804	0.0148942	0.0115574	0.0135285	0.0119487	0.0131564	0.0107731	0.0133877	0.012847	0.00732655	0.0095229	0.0138245	0.0145528	0.0198978	0.0355835	0.0258726	0.0513805	0.0242393	0.0333795	0.0441999	0.0292744	0.0344454	0.0444453	0.0436719	0.0252155	0.0470963	0.031702	0.0382897	0.0210149	0.0235509	0.0343077	0.0333835	0.0419725	0.0153791	0.0154413	0.0261297	0.0220537	0.0142742	0.0127504	0.0130679	0.0129393	0.0113926	0.00961838
ses	0.00710678	0.00718439	0.00664799	0.00731733	0.00728007	0.00849098	0.0113795	0.0135946	0.0174167	0.0242493	0.024307	0.0391216	0.0131103	0.0376751	0.0158823	0.0338973	0.0247572	0.0274701	0.0234545	0.0274141	0.0299212	0.0258753	0.0239634	0.0197464	0.0299054	0.0303485	0.0343721	0.0292175	0.0239335	0.0264235	0.0364276	0.0554358	0.0458183	0.0452064	0.0319071	0.0195235	0.0208605	0.0162236	0.0140365	0.00893897	0.0112848	0.0090366	0.0114079	0.0224283
anneaux	0.00525705	0.00591321	0.00570858	0.00802334	0.00806276	0.0100395	0.00937937	0.0104508	0.0134155	0.023723	0.0561372	0.039739	0.0242463	0.0450446	0.034209	0.03426	0.0385387	0.0211536	0.0248873	0.0209591	0.0309065	0.0191327	0.021659	0.0165559	0.0236231	0.019631	0.0298363	0.023001	0.0244313	0.0218186	0.0275214	0.0306504	0.0325261	0.028955	0.0226354	0.0201204	0.0229793	0.0200292	0.018165	0.0166461	0.0181366	0.0175767	0.0163655	0.0379494
de	0.0164888	0.0179503	0.011731	0.0110873	0.00905647	0.010718	0.0134679	0.0236283	0.0176099	0.0144748	0.0108746	0.0142347	0.00874134	0.0119666	0.0117767	0.017836	0.0157528	0.0184346	0.0262345	0.0236767	0.0272988	0.0186629	0.0204803	0.0138564	0.0204561	0.015304	0.0288356	0.024418	0.0257764	0.0179307	0.0210978	0.0324056	0.0473875	0.0289365	0.0317263	0.0268175	0.030695	0.0292805	0.0298248	0.0276627	0.0430242	0.0399909	0.032114	0.060276
bras	0.00642892	0.00814496	0.00712914	0.00882449	0.0119788	0.0141714	0.0296037	0.0298992	0.0192345	0.015426	0.00928068	0.00944632	0.0077486	0.00869501	0.00849211	0.0114555	0.0129	0.0112972	0.0183371	0.0195734	0.0315371	0.0270174	0.030663	0.0254203	0.0312482	0.0235988	0.0451451	0.0314687	0.0332868	0.0257343	0.0299389	0.0306915	0.0425777	0.0253325	0.028825	0.0252216	0.0255338	0.0244438	0.025515	0.0254276	0.0274854	0.035193	0.0335614	0.0470659
et	0.0146409	0.017039	0.0170914	0.0170072	0.0210012	0.0180742	0.0210413	0.0224392	0.0119965	0.00820799	0.00746553	0.00838397	0.00933479	0.00920674	0.0104422	0.0146166	0.0119775	0.0164841	0.0221055	0.0199323	0.022636	0.0236096	0.0268417	0.0249841	0.0270377	0.0234339	0.0305895	0.0212032	0.0188018	0.0227376	0.0203066	0.0162143	0.0176667	0.0173716	0.0189851	0.0230718	0.0257932	0.0168704	0.0272456	0.0381764	0.0462288	0.0660171	0.0555985	0.0700907
de	0.012334	0.00898972	0.0160956	0.0168956	0.016575	0.0157865	0.00952738	0.0145976	0.0122629	0.00891622	0.00843925	0.0114359	0.00725769	0.00744472	0.00739134	0.00778455	0.00806298	0.00667525	0.00678384	0.00671929	0.00916036	0.00950763	0.0101586	0.0107935	0.0160388	0.0172243	0.0205774	0.0189155	0.0195103	0.0189488	0.0124017	0.0165961	0.018592	0.0244319	0.0410145	0.0546102	0.056104	0.0480887	0.0536483	0.0620876	0.0591971	0.0631224	0.0641184	0.0651766
pied	0.011672	0.00910523	0.0156252	0.0188132	0.0190084	0.0165819	0.0089069	0.0123791	0.00805218	0.00728202	0.00781597	0.00828144	0.00748945	0.00797271	0.00824314	0.00945128	0.0106323	0.00913362	0.011427	0.0111323	0.0123216	0.0134158	0.0140024	0.0138683	0.0227897	0.0224528	0.0260807	0.0246212	0.0226506	0.0209243	0.0168334	0.0245498	0.0228524	0.023878	0.0285782	0.0330598	0.0341674	0.0346261	0.0423795	0.0546068	0.0607812	0.0695113	0.0666088	0.0754345
