 	e	m	e	s	í	í	l	í	y	é	é	m	e	s	á	á	w	a	t	á	m	á	l	e	é	d	í	l	a	m	w	a	</S>
la	0.0093796	0.0121402	0.0115696	0.0116069	0.00958214	0.00676065	0.00781794	0.00642556	0.0161592	0.028433	0.0457391	0.0612732	0.071893	0.0643383	0.105785	0.0785249	0.0364548	0.0417172	0.0361554	0.0283706	0.0180151	0.0137414	0.0111493	0.0138483	0.00752303	0.0185355	0.020016	0.0290662	0.0536714	0.0284936	0.0208129	0.03831	0.0366911
manière	0.0152875	0.0350402	0.0226971	0.0123461	0.0187117	0.0113461	0.0291972	0.0214304	0.0285042	0.0260182	0.0437431	0.0468591	0.0446272	0.0312035	0.0247735	0.0275849	0.0383239	0.110744	0.0426841	0.0131785	0.0419843	0.0353813	0.0236068	0.0279205	0.0374468	0.0382868	0.0373769	0.0462787	0.0206427	0.020542	0.0145627	0.00699809	0.00467236
dont	0.0937406	0.0645555	0.0446065	0.0309971	0.0273138	0.0279237	0.0329758	0.014984	0.0133099	0.0132679	0.0152002	0.0208029	0.0226954	0.0220877	0.0254497	0.0500796	0.0582159	0.0319035	0.0435058	0.0290712	0.0327534	0.0210478	0.0283277	0.0315672	0.0222815	0.0118211	0.0229137	0.00991171	0.0182272	0.0217956	0.0197145	0.0274215	0.0495303
elle	0.0713384	0.0734083	0.0650097	0.0569328	0.0431037	0.0303766	0.0441365	0.0236766	0.0203799	0.0164102	0.0186507	0.0177639	0.0248255	0.0137303	0.0125613	0.0223654	0.0213985	0.0310196	0.0263342	0.0109456	0.0367181	0.0172522	0.0247122	0.030235	0.0195935	0.0204519	0.0271736	0.0130356	0.0332535	0.0258252	0.010793	0.0170953	0.0794933
imite	0.0587863	0.0430644	0.0385602	0.0532769	0.060812	0.0464758	0.0661123	0.0375568	0.0179921	0.0130088	0.00935592	0.0155019	0.0123653	0.0121984	0.00674089	0.0148895	0.0182735	0.0382684	0.0216065	0.0124721	0.0223728	0.020215	0.0197946	0.0259096	0.0312982	0.0290199	0.0319568	0.0206505	0.033362	0.0331997	0.0349294	0.024848	0.0751253
sa	0.0355995	0.0599781	0.0783844	0.0808467	0.0825163	0.0758414	0.0824011	0.0524002	0.029707	0.0217641	0.0186397	0.0228237	0.0190015	0.00930837	0.00697665	0.00769083	0.00785663	0.0179324	0.0258372	0.0144064	0.0154958	0.0212712	0.0157701	0.0175133	0.0257863	0.0264862	0.0156282	0.0118601	0.0145734	0.0136752	0.0123117	0.012948	0.0467682
tante	0.0774629	0.0897347	0.11063	0.0968345	0.0716999	0.0569318	0.0689641	0.0549954	0.0492056	0.0357325	0.0309342	0.0224003	0.01351	0.00917115	0.0078934	0.00709996	0.00641674	0.0115883	0.0156943	0.00863995	0.0114147	0.0164553	0.0169377	0.00957902	0.00764473	0.00769274	0.00457477	0.00583011	0.00576333	0.00686235	0.00688489	0.0132679	0.0415533
est	0.0678036	0.0549566	0.069081	0.0701797	0.0657937	0.0666828	0.0662105	0.0711461	0.0639511	0.048055	0.0382749	0.0330252	0.016176	0.0129344	0.0058532	0.00609236	0.00547012	0.0163551	0.0188029	0.00643308	0.0135472	0.0173075	0.00982344	0.00902059	0.00675535	0.00846337	0.00517708	0.0100805	0.0118793	0.017669	0.0142184	0.0204014	0.0523794
épouvantable	0.037105	0.039708	0.0612554	0.0564114	0.0701134	0.0553118	0.0595445	0.0627586	0.0572232	0.0375841	0.0317446	0.0335759	0.0204682	0.020842	0.0156838	0.0126616	0.00771764	0.00667371	0.00995262	0.00160667	0.0144243	0.0114594	0.00353103	0.0151632	0.0081286	0.0104255	0.00830741	0.00945076	0.00850544	0.0111941	0.00922875	0.0218191	0.17042
</S>	0.119651	0.0953907	0.10675	0.064862	0.0481464	0.0407422	0.0347489	0.0328391	0.0262141	0.0199283	0.017302	0.0185843	0.0144497	0.016327	0.0143452	0.0159394	0.0124106	0.0146171	0.0197233	0.00177396	0.0237131	0.0209975	0.00572109	0.02548	0.00481861	0.0101349	0.00338287	0.00886217	0.00473438	0.0221446	0.0103088	0.0179803	0.106977
