 	o	t	á	n	g	i	n	d	é	e	á	w	o	m	i	e	s	u	m	ú	s	á	t	s	ε	n	g	ε	</S>
le	0.0215074	0.0265661	0.0393182	0.0458873	0.0739437	0.0508029	0.0559195	0.0296281	0.0269466	0.0296385	0.0215082	0.0311145	0.0375627	0.0423003	0.0331543	0.0273469	0.0258475	0.0301577	0.0458367	0.0384601	0.0367898	0.0248161	0.0362193	0.0246725	0.0235196	0.0203076	0.0292971	0.0304124	0.0405186
maçon	0.0022731	0.00864769	0.00836803	0.0203651	0.0189749	0.0659679	0.091958	0.130684	0.159741	0.147366	0.0819976	0.0999039	0.0916103	0.0473051	0.00944396	0.00257776	0.00309283	0.00159568	0.00124025	0.00106678	0.000686784	0.000760088	0.000745769	0.00103537	0.000653723	0.000759173	0.00062668	0.000233885	0.000318595
a	0.0223038	0.0185713	0.0155307	0.0115883	0.016013	0.0220872	0.0189954	0.0244871	0.028932	0.0350703	0.0437984	0.063067	0.0428291	0.0521203	0.0502287	0.0284789	0.0432076	0.0580061	0.0599844	0.0730413	0.0551129	0.0428634	0.0357137	0.0402102	0.0145111	0.02098	0.0271383	0.023189	0.0119403
enfoncé	0.049507	0.0511805	0.064033	0.0579895	0.0608387	0.0709065	0.0443167	0.0458329	0.0314752	0.0273483	0.0326304	0.0110497	0.0110246	0.00951646	0.0191427	0.0112017	0.00658326	0.00730233	0.00577522	0.0120064	0.0140115	0.0164678	0.0202405	0.0193848	0.022762	0.032869	0.0410657	0.061161	0.142377
le	0.0544078	0.0492927	0.0479846	0.0424719	0.0389851	0.0380579	0.0290992	0.0311196	0.0261675	0.025122	0.0373355	0.0181707	0.0210397	0.0118977	0.0245985	0.0166735	0.00579143	0.00975646	0.00759869	0.0142126	0.0192828	0.0218954	0.0237909	0.0293248	0.0324918	0.0465934	0.0637395	0.0677464	0.145352
piquet	0.0311534	0.0287385	0.0252473	0.0218159	0.0142538	0.0160027	0.0128479	0.0151503	0.0159011	0.0151845	0.0235338	0.0267372	0.0204383	0.0283839	0.037289	0.0129583	0.0259175	0.0304203	0.0338001	0.0516613	0.049207	0.0576737	0.0545736	0.0549351	0.0475512	0.0460234	0.0591799	0.0557231	0.0876978
dans	0.0463739	0.0283016	0.025237	0.0204261	0.012167	0.0141433	0.0107956	0.0105136	0.0101785	0.00948156	0.0179816	0.0183149	0.0114729	0.0124983	0.0248991	0.0164778	0.0159582	0.0187508	0.0149775	0.0372959	0.031483	0.0427981	0.0480526	0.0443687	0.0599887	0.0996244	0.104937	0.0682985	0.124205
le	0.0763356	0.0537083	0.038437	0.025162	0.0287061	0.0254325	0.0280763	0.0323231	0.0347436	0.035342	0.0385862	0.0476961	0.0280979	0.0223832	0.0330137	0.0214501	0.00727837	0.00876473	0.00552033	0.0122184	0.0141774	0.0171051	0.0182248	0.019831	0.0187628	0.0464907	0.0583916	0.0717735	0.131968
sol	0.0515822	0.0399494	0.0293758	0.0165376	0.0123566	0.00701921	0.00736855	0.00522157	0.00493149	0.00408564	0.00362132	0.00429482	0.00285388	0.00251696	0.00492417	0.00493883	0.00447058	0.00732604	0.00714583	0.0175916	0.0248553	0.0388324	0.0625058	0.0456539	0.0755915	0.118464	0.13382	0.104619	0.157546
</S>	0.129499	0.0934485	0.0570015	0.0348643	0.0261345	0.030952	0.0233524	0.017384	0.0139754	0.015127	0.0152105	0.00914389	0.00630099	0.00649182	0.00767516	0.0076001	0.010759	0.00823434	0.00551493	0.01515	0.013385	0.0223984	0.0180577	0.0147447	0.0179157	0.0442401	0.0580278	0.0334577	0.243953
