 	á	t	ó	n	g	i	o	p	i	t	á	á	l	e	m	í	b	o	ó	l	á	p	o	o	</S>
on	0.37827	0.169103	0.0941962	0.057947	0.013021	0.0198155	0.0103686	0.0180709	0.0258346	0.0171951	0.0195565	0.0224929	0.0229844	0.0178237	0.0136631	0.0126026	0.0127376	0.0125736	0.00763746	0.0148879	0.0104996	0.0070739	0.00659781	0.00827852	0.0067689
a	0.0171655	0.0276649	0.0230008	0.0252348	0.077389	0.0726359	0.084634	0.0622426	0.110936	0.0945545	0.0824421	0.104321	0.0817813	0.0181186	0.0124703	0.012184	0.0164885	0.0164607	0.0120738	0.0117261	0.0103035	0.0064928	0.00565927	0.00483705	0.00918248
construit	0.0136141	0.0119968	0.015188	0.0124932	0.019818	0.0298894	0.043241	0.0348495	0.0975433	0.105089	0.083673	0.0628949	0.0536099	0.050143	0.0383967	0.0612291	0.0611084	0.0628146	0.0249373	0.0237026	0.0193646	0.0187431	0.0185915	0.0253227	0.0117461
un	0.0245466	0.0262478	0.0308703	0.0501455	0.062067	0.0427275	0.0363157	0.0390074	0.0350018	0.0444836	0.0600629	0.0632491	0.0396161	0.0419336	0.0390423	0.0399998	0.0298155	0.0286379	0.0414081	0.0242335	0.0266507	0.028098	0.0324593	0.0557617	0.0576186
dispensaire	0.0108138	0.0128452	0.0107728	0.0105096	0.0161693	0.0279185	0.0335638	0.0339326	0.0464634	0.0577155	0.0667856	0.0686024	0.05654	0.0354581	0.0357691	0.0415803	0.0497364	0.0435298	0.056578	0.0383602	0.0473006	0.0529265	0.044557	0.03734	0.0642312
au	0.0115157	0.0103589	0.0091105	0.00925853	0.0120836	0.0164469	0.0139886	0.018015	0.0213821	0.0230975	0.0269939	0.0276469	0.0418245	0.0504349	0.0604999	0.0571865	0.0782053	0.0598297	0.0883812	0.0446971	0.0541206	0.071917	0.0589416	0.0514311	0.0826325
bout	0.00708075	0.00562815	0.00495712	0.00736751	0.0125795	0.0194509	0.0131212	0.0244262	0.0406854	0.0387257	0.0360697	0.0477948	0.0484113	0.0318328	0.0452735	0.0338622	0.0682417	0.0475653	0.0880462	0.0433516	0.0591713	0.0621163	0.0646899	0.0578654	0.0916856
du	0.013547	0.0152732	0.0150667	0.0178612	0.0187231	0.0194749	0.0194289	0.0207292	0.0220854	0.0216296	0.0232113	0.0236311	0.0296221	0.0362584	0.0362061	0.0297035	0.0362717	0.0417428	0.0797193	0.0595991	0.0770043	0.0914301	0.0696607	0.0580686	0.124052
village	0.0240271	0.0223906	0.0218292	0.021866	0.0227488	0.0240631	0.0224615	0.0230286	0.022054	0.0243366	0.0188008	0.0161554	0.0132796	0.0189068	0.0317963	0.0345837	0.0547616	0.054686	0.0654956	0.0636908	0.0719685	0.080703	0.0810063	0.0809883	0.0843716
</S>	0.0162488	0.0181831	0.0227617	0.0230945	0.0234201	0.0239345	0.0233805	0.0237656	0.0237897	0.0239563	0.0241721	0.0225679	0.0199214	0.0240679	0.0267822	0.0302312	0.0376185	0.0436124	0.0590744	0.0605863	0.0748482	0.0871409	0.0877948	0.0888117	0.0902354
