 	e	k	ú	r	ú	r	ú	y	é	é	k	ú	r	ú	r	á	w	a	n	d	z	ú	n	g	u	ó	t	s	ε	n	g	ε	y	é	e	t	s	y	έ	m	í	s	έ	y	í	a	</S>
la	0.0103249	0.00994685	0.0126587	0.0145417	0.0130687	0.0118229	0.0112698	0.0198564	0.0161064	0.0482748	0.0558472	0.0735818	0.0648247	0.043182	0.0244213	0.0291101	0.0149486	0.00831475	0.015263	0.00936653	0.00853271	0.0100138	0.0134014	0.0123207	0.0125627	0.0123566	0.0157112	0.0257626	0.0184877	0.0290045	0.0314654	0.0196325	0.0163172	0.0190628	0.0126234	0.0121083	0.0135113	0.0191603	0.0167331	0.0212821	0.0138227	0.0199754	0.022545	0.0198467	0.0194658	0.031221	0.0263418
manière	0.0421208	0.0513209	0.143848	0.115862	0.0425881	0.0393705	0.0307721	0.0241074	0.0478098	0.0381973	0.03184	0.0509976	0.0436198	0.0321333	0.0281425	0.0177766	0.0253628	0.00700655	0.00538025	0.00291382	0.00252185	0.00267554	0.00232183	0.000584294	0.000866479	0.00108627	0.00238337	0.00233216	0.00353019	0.00304815	0.00617895	0.0102874	0.00673025	0.0101505	0.00425362	0.00568107	0.00764614	0.00815662	0.0118172	0.020774	0.0138298	0.0138569	0.0105131	0.0147221	0.00817675	0.00283322	0.00187184
dont	0.0956924	0.0281085	0.019178	0.0132026	0.0190881	0.0210223	0.0269351	0.0211831	0.0230652	0.0186556	0.0417314	0.0363153	0.036143	0.0575389	0.0866176	0.0540056	0.0550643	0.032755	0.025583	0.0125254	0.0119173	0.0137123	0.00902161	0.00693586	0.00932903	0.00514356	0.00612034	0.00963861	0.00927844	0.0152263	0.0114817	0.0215712	0.010253	0.0106851	0.0131604	0.00715611	0.00913255	0.0103436	0.00936589	0.00799127	0.00841221	0.00514902	0.00958298	0.00700935	0.00519682	0.00931245	0.0234625
elle	0.0162998	0.0191581	0.0370137	0.0309434	0.0157346	0.0153601	0.00979947	0.0087463	0.0135427	0.0245123	0.0514262	0.0517876	0.0261234	0.0370365	0.022666	0.0267483	0.0200981	0.0133393	0.02978	0.0184292	0.0339933	0.020394	0.0173811	0.0146928	0.0101812	0.0306081	0.013836	0.0142132	0.032342	0.0108264	0.0320421	0.0185588	0.0182276	0.0189254	0.0110521	0.0340215	0.0315444	0.0252867	0.0170462	0.0119228	0.00929319	0.00669931	0.00626935	0.00811238	0.0111222	0.014602	0.0382602
frotte	0.0184077	0.0141491	0.018085	0.0202747	0.0271013	0.0201341	0.00986553	0.00660157	0.00907035	0.00543665	0.0077787	0.00492084	0.0133787	0.0264335	0.0398044	0.0307421	0.0320641	0.0349683	0.0247831	0.0319363	0.0304285	0.0427259	0.0211839	0.0316747	0.0253592	0.0278857	0.0230321	0.0376891	0.0399118	0.0204452	0.0380995	0.0222059	0.0172002	0.0210855	0.0125507	0.0211177	0.0257811	0.0204426	0.0141232	0.0117999	0.006057	0.00866022	0.00840234	0.00958639	0.00875586	0.0115021	0.0463576
la	0.0221388	0.00970795	0.0135327	0.0106608	0.00704064	0.0112071	0.00692717	0.00888794	0.0123078	0.00724814	0.012127	0.0100176	0.0134636	0.0185423	0.022538	0.0133739	0.0140402	0.00908112	0.0213383	0.0196104	0.0540471	0.0416509	0.0305431	0.067334	0.0242272	0.0474524	0.0284172	0.0284227	0.0384923	0.0282719	0.046723	0.0214198	0.0271838	0.0208194	0.0270289	0.0402238	0.034919	0.014911	0.00741464	0.00645348	0.00373545	0.00493581	0.00742929	0.0120131	0.0139547	0.0208104	0.0373744
marmite	0.0206305	0.0228986	0.0415174	0.0385292	0.0462218	0.0272188	0.0185694	0.0141932	0.0130309	0.00825827	0.00920257	0.00625483	0.0125322	0.00991219	0.0140399	0.0130134	0.0146121	0.0103473	0.015435	0.0154714	0.0199989	0.0166498	0.0152177	0.00976463	0.0176599	0.0133074	0.0144396	0.00891833	0.0134029	0.0132286	0.0138825	0.0182831	0.0207264	0.0212343	0.0159555	0.0238904	0.0273675	0.022925	0.0237251	0.0266705	0.0237357	0.0320851	0.0218147	0.0326596	0.0333594	0.0361782	0.0910302
contre	0.0439671	0.0316754	0.0356543	0.0371703	0.032303	0.0315865	0.0257199	0.02079	0.0166792	0.00515357	0.00663244	0.00337912	0.00545392	0.00793592	0.00929755	0.0102141	0.0185722	0.0122327	0.0217358	0.0244517	0.0302828	0.0342642	0.0264232	0.0270564	0.0209	0.0184908	0.0154458	0.0135174	0.0216203	0.0181073	0.015091	0.014807	0.012743	0.0147656	0.0136736	0.0293048	0.0272382	0.0139652	0.0135263	0.0169716	0.00783876	0.0247307	0.0104269	0.0197526	0.0211517	0.0241834	0.0931171
le	0.0340572	0.0394894	0.0367341	0.0303206	0.0241847	0.0223316	0.0232719	0.0227946	0.0165295	0.0088212	0.0118195	0.00767626	0.00843484	0.00811065	0.0111159	0.0131668	0.0233709	0.00955734	0.00773526	0.00488128	0.0133221	0.0128561	0.0274875	0.0164054	0.0175875	0.0241915	0.0151907	0.00963016	0.0235208	0.0198278	0.0164467	0.0176382	0.0226863	0.0234224	0.0205193	0.0319159	0.0330655	0.0156326	0.0204832	0.0152453	0.0139788	0.0163722	0.0178706	0.0236827	0.0304034	0.0420505	0.094163
sol	0.01873	0.0220214	0.0200688	0.0152501	0.00863125	0.00512544	0.00446196	0.00464226	0.00550191	0.00293247	0.00287525	0.0026049	0.00348258	0.00451089	0.00624641	0.00588012	0.00982568	0.00571688	0.0103332	0.00729912	0.0186811	0.0210535	0.029149	0.0233295	0.0210021	0.0350965	0.0273791	0.0145794	0.0416109	0.0264495	0.027159	0.0234253	0.0378086	0.0321933	0.0331627	0.0431511	0.045044	0.0286718	0.0334324	0.0225605	0.0266403	0.0272186	0.0227327	0.030859	0.0359409	0.0399927	0.0655358
