 	i	t	u	m	b	a	l	á	s	u	é	é	d	í	i	b	h	ώ	ω	l	á	k	y	έ	r	ε	l	a	a	y	ú	r	u	</S>
le	0.0229271	0.0219989	0.013423	0.0108995	0.0165506	0.0123076	0.0164091	0.0253862	0.0324925	0.034796	0.0334198	0.0366362	0.0435062	0.0444256	0.0605749	0.0744779	0.0765561	0.0290673	0.0299051	0.0207242	0.0236347	0.0219136	0.0260459	0.0226898	0.0347821	0.0274812	0.0286471	0.0247866	0.0220173	0.0253117	0.0235505	0.0236022	0.0234538	0.0155998
défrichage	0.0619946	0.0808241	0.0673582	0.0826741	0.0821125	0.0720117	0.0136162	0.0315463	0.0356027	0.0470872	0.017402	0.0127958	0.00868131	0.0271584	0.0286135	0.0322918	0.0356103	0.0306356	0.0134885	0.0209466	0.0199921	0.0164183	0.0181892	0.0163228	0.0324914	0.0341334	0.0220909	0.0102782	0.00678337	0.00904737	0.00330345	0.00220005	0.00337829	0.00291963
est	0.0388476	0.0228794	0.0213564	0.0282795	0.0275025	0.0287501	0.0294266	0.0293174	0.02619	0.021477	0.0229042	0.0172686	0.0231508	0.0306132	0.0399823	0.0509087	0.0351999	0.0570812	0.0311026	0.0580168	0.0377263	0.0288556	0.0392281	0.041294	0.038777	0.0287158	0.0399597	0.0252608	0.016619	0.0169283	0.0137714	0.0141306	0.013193	0.00528549
une	0.0189857	0.0436036	0.0607479	0.0873766	0.0650275	0.0637131	0.0595279	0.0559494	0.0535582	0.0495727	0.0383178	0.0526029	0.0338471	0.0283216	0.0162661	0.0255527	0.0221877	0.0311165	0.0227298	0.0414734	0.021397	0.017886	0.0143306	0.0128552	0.00769598	0.00542827	0.00762563	0.0059218	0.00458647	0.00322845	0.00305286	0.00343485	0.00777231	0.0143061
besogne	0.0343873	0.0457691	0.0367058	0.0428563	0.0218559	0.0254028	0.0206543	0.0156633	0.0183912	0.019039	0.0140611	0.019891	0.0144688	0.015809	0.0157985	0.0154119	0.0166445	0.035018	0.0392101	0.0428036	0.0377814	0.0384394	0.0365844	0.0341756	0.0295518	0.0264306	0.0327238	0.0401212	0.0316395	0.0292213	0.0359511	0.0356001	0.0432908	0.0386474
trop	0.0626753	0.0765179	0.0503603	0.0338067	0.036839	0.0325897	0.0309984	0.035276	0.0548509	0.0338459	0.0338207	0.0234395	0.0177238	0.00807075	0.0121923	0.0104103	0.00908672	0.013734	0.0139578	0.0240756	0.0196792	0.0215102	0.0213328	0.019379	0.0122413	0.0175406	0.0118207	0.0154139	0.0135277	0.0190356	0.0228618	0.0353414	0.0580779	0.0979661
difficile	0.036741	0.0327516	0.0289545	0.0285834	0.0254587	0.0184331	0.0176085	0.0191907	0.0216465	0.0315594	0.0263441	0.034493	0.0164548	0.0111462	0.0139075	0.0138868	0.0109093	0.0184167	0.014218	0.0235324	0.0208041	0.0234411	0.0285038	0.0320964	0.0277418	0.036543	0.0326736	0.0437485	0.0433941	0.0452737	0.0473857	0.0426642	0.0620333	0.0694603
pour	0.0294654	0.0246342	0.0211342	0.0244041	0.0329198	0.0291679	0.0238431	0.0261906	0.0195003	0.0274063	0.0228827	0.024966	0.0172682	0.0126529	0.0123681	0.0103854	0.00698513	0.00779615	0.0090048	0.0153779	0.0183458	0.0268815	0.0353596	0.0356192	0.02179	0.0295296	0.0178426	0.0293926	0.0374179	0.0371782	0.0421288	0.0474378	0.0749831	0.14774
les	0.107929	0.0631004	0.0449413	0.0345038	0.0193363	0.011772	0.0104276	0.00949394	0.00749616	0.0109203	0.0089121	0.01184	0.00709579	0.00912451	0.00982537	0.0101045	0.00978897	0.0164289	0.0232518	0.0294211	0.0285165	0.0339649	0.047691	0.0492512	0.0280589	0.0220797	0.0178844	0.0272635	0.0236338	0.0225934	0.0281964	0.0325777	0.0471671	0.135408
femmes	0.0955485	0.0482049	0.0266808	0.0143336	0.00823908	0.0067612	0.00494313	0.00627967	0.00536408	0.00755822	0.00587908	0.00822611	0.00898392	0.0103316	0.00989659	0.0129967	0.0176407	0.0443504	0.0537827	0.0537042	0.0537362	0.0526693	0.0472841	0.0421751	0.0202244	0.0187898	0.0134485	0.0200421	0.0239732	0.0230646	0.0344214	0.0283999	0.0453268	0.126739
</S>	0.121503	0.0850845	0.0583586	0.0286039	0.0150832	0.00779221	0.00285323	0.00597069	0.00316856	0.00331688	0.00287203	0.00277693	0.00216364	0.00249908	0.00363424	0.00531264	0.00782434	0.0121388	0.0163549	0.0149205	0.0177779	0.0203346	0.0240122	0.0231842	0.0197343	0.0224861	0.0156123	0.0332712	0.042007	0.0430932	0.0547101	0.0546039	0.0790551	0.147886
