 	m	ó	m	e	á	o	k	á	n	d	á	m	ú	w	á	á	m	ó	o	k	o	á	l	a	n	ω	</S>
s'	0.0102002	0.0114244	0.00996289	0.0101857	0.0125451	0.0201379	0.0330052	0.0416528	0.0505013	0.0588926	0.0609628	0.0588818	0.0747829	0.0936997	0.0769624	0.046326	0.0472387	0.0292402	0.0335169	0.0276	0.029396	0.0255457	0.0283878	0.0306846	0.0308324	0.0254427	0.0219913
il	0.171037	0.148139	0.11235	0.0666507	0.0326071	0.0271169	0.0279944	0.0403094	0.0234956	0.0262243	0.0296143	0.0289759	0.0276065	0.0387014	0.0225059	0.017531	0.0176609	0.0247251	0.0242992	0.018589	0.0159777	0.0212433	0.0082445	0.00530486	0.00632632	0.00638046	0.0103881
te	0.0799718	0.0727395	0.0771009	0.0483718	0.0507941	0.0580587	0.0624704	0.0486408	0.0316645	0.0321237	0.0283144	0.0290339	0.0495437	0.0328292	0.051242	0.0503062	0.0379086	0.026868	0.0221788	0.0197822	0.015223	0.0157255	0.0171081	0.0116142	0.0124716	0.0124224	0.00549212
plait	0.105191	0.0773546	0.0689463	0.0512367	0.0430162	0.0424081	0.0617488	0.072455	0.0665593	0.0818356	0.0609154	0.041857	0.0420451	0.0257082	0.025841	0.0216673	0.0189014	0.00956373	0.00395389	0.00429538	0.00365967	0.00417034	0.00597349	0.0083564	0.0109835	0.0179916	0.0233647
essaie	0.0418729	0.0527917	0.0922094	0.0560097	0.0432511	0.0581503	0.0661334	0.042232	0.0205414	0.0174396	0.011899	0.0107543	0.0145883	0.0246372	0.0242118	0.0488776	0.0647931	0.0707527	0.0447523	0.043032	0.0257395	0.0196143	0.013025	0.0164708	0.0169422	0.0243499	0.0349285
ce	0.0966684	0.0731074	0.0764594	0.0432025	0.0369556	0.0382075	0.0449225	0.0505983	0.0339341	0.0360027	0.0267299	0.0196193	0.0191363	0.0230227	0.011558	0.0106757	0.0250107	0.0282824	0.0248451	0.0264098	0.0249743	0.0316457	0.0219682	0.0276924	0.0319026	0.0365198	0.0799488
vêtement	0.0644365	0.0492251	0.0449116	0.0467953	0.0434463	0.036382	0.040567	0.0418585	0.0325694	0.0382912	0.0401873	0.0307171	0.0308557	0.0248419	0.0190043	0.0221578	0.016651	0.0209285	0.0278386	0.0382043	0.0357303	0.0377904	0.034859	0.0359216	0.0378182	0.0417852	0.066226
pour	0.0448424	0.0335979	0.0316458	0.0287283	0.0320383	0.0344239	0.0523799	0.10426	0.0748733	0.0702825	0.0561987	0.041632	0.063587	0.0451324	0.015287	0.0142011	0.0174741	0.0226714	0.0145513	0.010862	0.0086528	0.00484258	0.00592433	0.0116805	0.0169838	0.0347716	0.108475
voir	0.237513	0.0657902	0.0405547	0.0310377	0.0249468	0.0267029	0.0262771	0.0171332	0.0121455	0.0121645	0.012377	0.0182713	0.0175212	0.019096	0.0103477	0.0131074	0.0137622	0.015883	0.0173189	0.022686	0.0234871	0.0180649	0.0256141	0.0408386	0.0525815	0.0807922	0.103985
s'	0.0902222	0.0571802	0.0426732	0.0369071	0.0260234	0.0188034	0.0150884	0.0159755	0.0201235	0.0257304	0.0242003	0.0270575	0.0142224	0.00703373	0.00660942	0.010091	0.0148311	0.0134529	0.0185515	0.0267735	0.0345748	0.0321328	0.0524692	0.0618829	0.0684768	0.0789778	0.159935
il	0.0949506	0.0639961	0.0493135	0.0451956	0.0350709	0.0216561	0.0116183	0.00988841	0.00921828	0.00938588	0.0075798	0.00524718	0.00475952	0.0022262	0.00113875	0.00150269	0.00198732	0.00193781	0.0051431	0.0111686	0.0151277	0.0155607	0.075186	0.0910067	0.109486	0.128835	0.171813
te	0.107228	0.0631291	0.0372038	0.0267344	0.0156509	0.0101059	0.00617631	0.00529279	0.0055306	0.00609094	0.0059986	0.0074274	0.00808402	0.00832844	0.00600522	0.00682627	0.0114261	0.0139397	0.022413	0.0432665	0.0529731	0.0532367	0.0701066	0.0843241	0.0909498	0.100706	0.130846
convient	0.0953486	0.0483241	0.0267913	0.0205971	0.0139233	0.00965506	0.00644883	0.00576884	0.006693	0.00718981	0.00731152	0.00950216	0.00935154	0.00964556	0.0125785	0.0163375	0.0215432	0.0184712	0.0259183	0.0342291	0.0454048	0.0478622	0.0759955	0.0891247	0.0956515	0.102016	0.138317
</S>	0.0996126	0.0443168	0.0257168	0.0170285	0.0128021	0.0118561	0.0132538	0.0109652	0.00752759	0.00790882	0.00789102	0.0108592	0.0115328	0.00792845	0.00918521	0.0148991	0.0261737	0.0523796	0.0510711	0.0529312	0.0544304	0.0492119	0.057621	0.0656146	0.0711191	0.0777691	0.128394
