 	p	á	n	y	á	á	o	b	í	n	í	á	b	a	á	o	d	z	w	e	n	g	o	l	o	y	á	p	o	o	o	b	o	s	ó	n	d	a	</S>
parmi	0.0205015	0.0388861	0.0231736	0.0373386	0.0213961	0.0170804	0.0211971	0.0150856	0.042997	0.0248459	0.0212895	0.0304023	0.016312	0.0229845	0.045348	0.0419815	0.0788582	0.0771811	0.066586	0.0688189	0.0124941	0.0338483	0.0209041	0.0137347	0.0208035	0.0119804	0.00972374	0.00735538	0.00833641	0.00908344	0.00900348	0.00961167	0.0114555	0.0132152	0.0220909	0.0166081	0.0140333	0.0120303	0.0114234
vous	0.0599521	0.04463	0.0256591	0.0179567	0.0254625	0.0240399	0.0299545	0.0312147	0.042699	0.0448057	0.0399321	0.0410024	0.0331032	0.0574465	0.0397333	0.0405184	0.0267096	0.0209591	0.013736	0.0267658	0.0272163	0.0238811	0.0293277	0.0275183	0.0238466	0.0291531	0.0382044	0.0259516	0.0138684	0.0132909	0.0120776	0.00758349	0.00461926	0.00618601	0.00498545	0.00491509	0.00561184	0.00813775	0.00734475
deux	0.0397993	0.0299683	0.0266265	0.0205476	0.0214419	0.0191446	0.0307688	0.0251587	0.0426192	0.0693572	0.0658678	0.060577	0.0717663	0.0666086	0.026563	0.0319305	0.0147786	0.0156195	0.0114876	0.0193821	0.0266062	0.0339179	0.0296433	0.0200451	0.0183549	0.021327	0.0226211	0.0260121	0.0105713	0.0122133	0.00720977	0.00552005	0.00459648	0.0058046	0.00557713	0.006975	0.00659989	0.0112407	0.0151513
qui	0.0260281	0.0165928	0.0178514	0.0166854	0.0165318	0.0264103	0.0176678	0.0249602	0.0186799	0.0206625	0.0188297	0.0172444	0.024893	0.0242145	0.0319241	0.0335578	0.0381807	0.0314649	0.0375945	0.0376048	0.0282205	0.0209774	0.0258776	0.0206536	0.023641	0.0429367	0.0408736	0.0362105	0.028443	0.0422129	0.0310047	0.0234254	0.0218411	0.0222133	0.0226925	0.0173157	0.0198049	0.014356	0.0197211
ira	0.0194879	0.0155263	0.0161126	0.0175917	0.0143699	0.0352948	0.0191606	0.0323426	0.0274292	0.0299574	0.0354111	0.0272232	0.0331611	0.0358593	0.040401	0.0303622	0.0377213	0.0219585	0.0234675	0.0303304	0.0257287	0.0176037	0.0162144	0.0140779	0.0138576	0.0195561	0.0173356	0.0221643	0.0276556	0.0228325	0.0331343	0.0359763	0.0264361	0.021923	0.0180975	0.0176692	0.0271812	0.0242561	0.0551313
à	0.0328641	0.0299477	0.0324534	0.0406461	0.0414168	0.0601874	0.0462333	0.0388212	0.0433568	0.0416155	0.0340839	0.0229155	0.0300847	0.0226316	0.0201253	0.0186797	0.0224253	0.0251878	0.0188861	0.0237243	0.0155543	0.0139512	0.0117635	0.00919397	0.0109687	0.0107115	0.00989759	0.0160942	0.0152593	0.0122795	0.0231386	0.0217541	0.020958	0.0228399	0.0174304	0.0154968	0.0260372	0.0208704	0.0595141
l'	0.0233789	0.0119236	0.0136901	0.0173878	0.0187567	0.0408732	0.0238149	0.0416223	0.0289791	0.0371303	0.0275472	0.0187818	0.0241063	0.0147437	0.014932	0.0170094	0.0234595	0.0248671	0.0213682	0.0312013	0.022841	0.0235014	0.020484	0.0166226	0.0215062	0.0216309	0.0195429	0.0206103	0.0344365	0.0269539	0.0363953	0.0369241	0.025994	0.0251623	0.027821	0.0217064	0.0362094	0.0348372	0.0512472
étranger	0.051838	0.0315447	0.0310797	0.0423149	0.0407249	0.0536163	0.0289499	0.0423542	0.0316014	0.0408666	0.0300452	0.0214671	0.0315125	0.0202857	0.0195978	0.0208573	0.0272303	0.0311693	0.0235862	0.0246644	0.0194704	0.0186628	0.016657	0.0161451	0.022421	0.0205309	0.0158843	0.0179901	0.0112161	0.00781131	0.00908018	0.00921859	0.0120407	0.0136506	0.0171513	0.0125685	0.0256085	0.0216874	0.0668988
avant	0.0423575	0.0161916	0.0130372	0.0173897	0.0142878	0.0259492	0.0112214	0.0486536	0.0337455	0.0283566	0.0251552	0.0233023	0.014498	0.00912699	0.011904	0.0168716	0.0180217	0.0285844	0.0225124	0.0284909	0.0193497	0.0251065	0.0213854	0.0248363	0.0306217	0.0280562	0.0463518	0.091494	0.0625694	0.0422129	0.0328382	0.0217442	0.0179771	0.0140455	0.0127383	0.0115183	0.012911	0.0141919	0.0203938
l'	0.0514123	0.0145803	0.0118012	0.0140758	0.0126954	0.0188582	0.0129319	0.0305545	0.0173807	0.019793	0.0170688	0.0133415	0.0235657	0.0178564	0.0144311	0.0133174	0.0174885	0.0240551	0.0429102	0.0387855	0.0295529	0.024982	0.0275945	0.0303514	0.0274795	0.0290079	0.0443164	0.0757458	0.0564616	0.0413815	0.02784	0.0183552	0.0202008	0.0140391	0.0189207	0.022232	0.0217988	0.0206269	0.0222095
