 	m	v	á	n	d	é	á	m	i	p	i	á	e	b	h	e	s	é	y	έ	έ	b	v	έ	έ	a	m	ε	έ	w	a	</S>
le	0.00525432	0.005276	0.00852093	0.00755628	0.0119897	0.0308535	0.0596959	0.055697	0.0958086	0.0796797	0.0768538	0.102847	0.0694043	0.0492199	0.0400702	0.0233011	0.0178329	0.0135743	0.0126127	0.0132693	0.00894115	0.0169312	0.0179751	0.0115658	0.0151549	0.0104259	0.0196317	0.0225391	0.0348229	0.0159772	0.0283143	0.0184029
chien	0.013213	0.0222028	0.0472435	0.0860236	0.0710874	0.0695124	0.0781674	0.0614275	0.108555	0.0950384	0.048772	0.034631	0.036612	0.0274432	0.0258755	0.010693	0.00871086	0.0101164	0.00989751	0.0124242	0.00558406	0.00608955	0.0114676	0.017148	0.0158915	0.00674705	0.0247283	0.0129445	0.0102915	0.00809754	0.00213113	0.00123292
a	0.0246543	0.0175383	0.0243851	0.0269144	0.049455	0.0711525	0.0585255	0.0625116	0.0473279	0.0723877	0.0731043	0.0459915	0.0349056	0.0479319	0.0294371	0.0426584	0.0530788	0.0232284	0.0297408	0.0209986	0.0246685	0.0172134	0.0133504	0.0146475	0.0180112	0.00919911	0.0140437	0.0115174	0.00656088	0.0058593	0.00524536	0.00375549
attrapé	0.0380523	0.0335383	0.0265555	0.0447657	0.0483958	0.0406747	0.0357225	0.0537478	0.0856744	0.101418	0.0605184	0.0670242	0.0521918	0.045056	0.0167387	0.0139131	0.0144618	0.00540039	0.00953305	0.0117915	0.0269608	0.0123773	0.0116217	0.0182374	0.0212068	0.0212341	0.0123494	0.00694276	0.00875492	0.00800753	0.0167211	0.0304125
l'	0.0218099	0.0153559	0.0134334	0.013959	0.0160275	0.0113801	0.0170768	0.0285345	0.0401841	0.0374356	0.0405371	0.059144	0.0487964	0.0502316	0.0392443	0.0286428	0.0193547	0.0256405	0.0307828	0.0272465	0.0319616	0.0334795	0.038421	0.0514139	0.0461373	0.0477334	0.0507031	0.0327838	0.0219868	0.0212048	0.0155301	0.0238271
os	0.0259896	0.0119221	0.00884995	0.00938323	0.0117826	0.00675664	0.0117714	0.0154199	0.0244339	0.0417822	0.0225806	0.0256333	0.0196114	0.0211279	0.0122076	0.0134512	0.0314974	0.0286292	0.0492731	0.0402524	0.0537841	0.0401175	0.0335734	0.0574642	0.0625441	0.0524753	0.0600594	0.0615606	0.0381449	0.0336523	0.0311573	0.0431112
qu'	0.0575911	0.0239732	0.0160611	0.0173372	0.0144417	0.0120093	0.0162835	0.0190904	0.0185176	0.0243512	0.0240178	0.0263236	0.0244903	0.0283849	0.022459	0.0282093	0.0476322	0.0307228	0.0476262	0.0418553	0.0747751	0.0397858	0.0286096	0.0625116	0.0546633	0.0515323	0.022715	0.018116	0.00996853	0.0085287	0.0197256	0.067691
a	0.030964	0.0236244	0.0205183	0.0248589	0.0279056	0.0271949	0.0302947	0.0352231	0.0288695	0.0331293	0.0402337	0.0425286	0.0437209	0.0476623	0.0351277	0.0288263	0.0354268	0.0203723	0.027722	0.0290667	0.0375539	0.0309931	0.0164792	0.0273854	0.0350641	0.0349064	0.028764	0.022307	0.0225427	0.0223413	0.0245303	0.0638626
jeté	0.101105	0.0553317	0.0374221	0.0218765	0.0170092	0.0108451	0.0058449	0.00929833	0.00800985	0.00907552	0.00673044	0.00647236	0.00459199	0.00378552	0.00521324	0.0089237	0.0135702	0.0297017	0.0461455	0.0672653	0.0651265	0.0582827	0.0357301	0.0545204	0.0520068	0.0613679	0.0268694	0.0157987	0.0128652	0.0141085	0.0344429	0.100663
son	0.0843436	0.0476455	0.0315376	0.0232009	0.0158365	0.0117221	0.00738836	0.0124018	0.0115196	0.0133356	0.00934794	0.00837367	0.00618896	0.0044688	0.00573795	0.0115196	0.0153981	0.025808	0.0371156	0.0522172	0.0649471	0.0474194	0.0370888	0.0509297	0.057118	0.0647882	0.0271019	0.0165636	0.0171542	0.0175903	0.0421112	0.12208
maître	0.082151	0.0421083	0.0214198	0.0136803	0.00727883	0.0050403	0.00439272	0.00547063	0.00579357	0.00601329	0.00571684	0.00581108	0.0058312	0.0059409	0.00822398	0.0204759	0.0353398	0.0286177	0.02825	0.034814	0.0489427	0.0468654	0.029014	0.0338543	0.0313361	0.028143	0.0281539	0.0212783	0.032818	0.0510031	0.0822897	0.193932
</S>	0.234441	0.0711963	0.040931	0.0269528	0.020845	0.018638	0.0146364	0.0213679	0.0163724	0.0166401	0.0147187	0.0115419	0.00940258	0.0101311	0.00651777	0.00740522	0.0113818	0.0110092	0.0196794	0.0287435	0.0480473	0.0373324	0.0220094	0.0374962	0.0361599	0.0349661	0.020727	0.0115593	0.0138349	0.0130445	0.0342977	0.0779731
