 	b	e	a	b	í	í	l	á	m	b	í	n	g	ó	o	y	a	b	í	s	í	í	d	í	l	a	n	d	ó	n	g	ó	</S>
la	0.00850187	0.00681262	0.00684631	0.00550047	0.00606956	0.0129932	0.0244764	0.0383679	0.0447482	0.076114	0.0868871	0.0833726	0.119738	0.060897	0.0449943	0.0409796	0.0345688	0.023913	0.0180011	0.0264606	0.0236376	0.0214751	0.0212745	0.0303196	0.0233225	0.0209647	0.0128186	0.0146662	0.0115896	0.0102117	0.0128739	0.0120931	0.01451
nourriture	0.0338588	0.121424	0.269576	0.262443	0.121881	0.0615834	0.0144265	0.00762479	0.00318167	0.00213753	0.000922816	0.000623056	0.000492639	0.000715667	0.00108573	0.00232832	0.00407795	0.00479015	0.00501753	0.0163168	0.00655644	0.00853622	0.00644623	0.00619348	0.00884335	0.00872965	0.0028781	0.00705801	0.00291015	0.00251298	0.00147635	0.00120097	0.00214951
que	0.0810055	0.0462748	0.0335756	0.0636344	0.0248878	0.0241298	0.0342445	0.0224689	0.0118441	0.0105623	0.00398928	0.00314664	0.00768818	0.0081931	0.0103418	0.0136842	0.0216298	0.0292974	0.0405752	0.0353354	0.0789247	0.0886882	0.0811689	0.0266322	0.0286058	0.028039	0.0190453	0.0282686	0.0163318	0.017888	0.0197977	0.028217	0.011884
notre	0.031861	0.0272761	0.013234	0.0141417	0.01119	0.0109732	0.00890093	0.0157956	0.0177766	0.0704743	0.0636031	0.047031	0.0630298	0.0330338	0.0301024	0.0280818	0.0287586	0.0292535	0.0237568	0.0230194	0.0321216	0.0189563	0.0256976	0.0314329	0.0330588	0.0254925	0.0323078	0.0250536	0.0276521	0.0329592	0.0237403	0.0319449	0.0682891
maman	0.0373961	0.0334344	0.0459249	0.0651533	0.0563258	0.0855481	0.0434412	0.0623563	0.0410286	0.0343198	0.0200149	0.0125392	0.0252204	0.0185817	0.0231329	0.00822168	0.0169427	0.0191005	0.0188894	0.0251963	0.0264145	0.0326468	0.0257777	0.0170957	0.0159207	0.0141313	0.0113993	0.018067	0.01649	0.01891	0.0223636	0.0216924	0.0663228
a	0.0798985	0.0498273	0.0330425	0.0574219	0.0445227	0.0367837	0.021792	0.0240476	0.0177529	0.0191319	0.012774	0.0081804	0.0121882	0.0139401	0.0202052	0.0159432	0.027796	0.0362601	0.0374804	0.0283326	0.0286865	0.0348194	0.0262691	0.0206898	0.0220361	0.0159023	0.0158062	0.0198417	0.0171767	0.018913	0.0286797	0.0415795	0.112279
préparée	0.0439887	0.0351153	0.0390243	0.0497783	0.0354175	0.0397544	0.0304992	0.0401765	0.0337308	0.0332751	0.0209603	0.0106478	0.00870908	0.00976052	0.00918494	0.00882647	0.0124759	0.0209463	0.0257395	0.0297254	0.0281654	0.0312928	0.0272918	0.0300984	0.0347128	0.0243717	0.0259842	0.0276172	0.0284674	0.0317936	0.0368108	0.0447994	0.0908583
est	0.131607	0.124955	0.0716606	0.0743359	0.0747014	0.0668562	0.0449438	0.0389836	0.0233734	0.0176919	0.0118338	0.00975549	0.00717638	0.00540412	0.006996	0.0059193	0.00978013	0.0128827	0.00966677	0.0204269	0.00957092	0.00749599	0.00737959	0.011177	0.0176088	0.00963323	0.0104678	0.0106918	0.00787426	0.0126635	0.017607	0.0304266	0.0784532
pimentée	0.061749	0.0428275	0.0249209	0.0181953	0.0114274	0.0136206	0.0104579	0.0120522	0.0107477	0.0129038	0.0123078	0.0143234	0.0169461	0.0191273	0.0238811	0.014356	0.0165715	0.0217369	0.0207668	0.0168696	0.0169501	0.0129729	0.0143215	0.0225413	0.0425197	0.0327079	0.0359033	0.0275348	0.0403902	0.062474	0.0745891	0.0923043	0.129002
</S>	0.0671181	0.0382292	0.0241313	0.0220158	0.0134355	0.0107362	0.0081797	0.00735756	0.00528076	0.00693416	0.00551647	0.00713318	0.0102006	0.0110949	0.0127612	0.00741692	0.00675516	0.00848139	0.0136588	0.0137138	0.0172684	0.0163892	0.0214818	0.0297225	0.0380538	0.0327244	0.047661	0.0420016	0.0519403	0.0712907	0.0881949	0.0763	0.16682
