 	o	b	e	n	g	i	b	ó	l	á	a	p	f	u	r	á	m	í	á	m	é	s	é	n	i	</S>
le	0.00985537	0.0109936	0.00839039	0.0120334	0.0422509	0.0349666	0.029175	0.0568988	0.047231	0.047039	0.0481867	0.0435447	0.0622723	0.0575257	0.0530615	0.0460616	0.0414347	0.0386297	0.0370817	0.0353012	0.0357774	0.0433302	0.0464558	0.0395664	0.0371551	0.0357813
chasseur	0.050141	0.111019	0.0769911	0.0218134	0.0404224	0.0513437	0.0428691	0.0415949	0.0550626	0.0986714	0.13031	0.0880749	0.0561684	0.0315207	0.0259615	0.0117881	0.0134082	0.0128978	0.0116401	0.00708036	0.00425882	0.00520488	0.00601471	0.00308703	0.00163638	0.0010195
allume	0.0245298	0.0174507	0.0230384	0.0234498	0.0471899	0.0629784	0.0800571	0.110638	0.0685453	0.0317469	0.0306245	0.0193834	0.0145378	0.0242575	0.0427924	0.0910063	0.0687941	0.0605783	0.0426791	0.0372702	0.0244895	0.0163453	0.013593	0.0119045	0.00853684	0.0035829
le	0.0271763	0.0434432	0.0551064	0.0459444	0.0432573	0.0466235	0.0367151	0.0323024	0.0385698	0.0209193	0.0189903	0.0193051	0.0110058	0.0193667	0.023853	0.0180409	0.0228558	0.0236158	0.0244665	0.0354906	0.039809	0.0567776	0.0592055	0.0685265	0.0741004	0.0945329
feu	0.0275271	0.0356363	0.0375687	0.0254821	0.0397593	0.0431039	0.043121	0.0386327	0.0577128	0.0396363	0.0392566	0.0379814	0.0299066	0.0198453	0.0190836	0.0161919	0.0216283	0.0419398	0.055497	0.0578539	0.0419402	0.0451272	0.0500534	0.0532906	0.0243148	0.0579093
avec	0.0815051	0.0573227	0.0588755	0.0423913	0.0353591	0.0497672	0.0368936	0.0466178	0.0586268	0.0501708	0.0569303	0.0454918	0.0342805	0.0175905	0.0150788	0.0113846	0.00784576	0.0093213	0.0129739	0.0261933	0.0192366	0.0165874	0.0225552	0.0277115	0.0443958	0.114893
le	0.0450808	0.0310861	0.0267811	0.0223755	0.0204073	0.0205722	0.0249446	0.0415832	0.0523141	0.0328063	0.0300971	0.0286723	0.0201894	0.0196909	0.0345251	0.0417108	0.0371257	0.0468202	0.0357317	0.0594819	0.0453902	0.0472979	0.0572322	0.0508863	0.0581313	0.0690659
briquet	0.0594091	0.0695819	0.0721373	0.0610731	0.0519344	0.050172	0.0409592	0.0235913	0.0312518	0.0288408	0.0311058	0.0287813	0.0216235	0.0172031	0.0131378	0.0179113	0.0251375	0.0361515	0.0312744	0.0280446	0.026709	0.0192086	0.0348128	0.0292878	0.0481354	0.102525
indigène	0.130349	0.1008	0.0798906	0.0315318	0.0237562	0.0440676	0.0517428	0.0314279	0.0709245	0.0460943	0.0431123	0.0321104	0.0187273	0.011902	0.0163099	0.0161996	0.00912655	0.00962937	0.0106134	0.0161195	0.0140596	0.0112265	0.0122885	0.019087	0.0292987	0.119604
</S>	0.148585	0.0691654	0.036955	0.0157122	0.0100572	0.00666171	0.0050507	0.00817449	0.0119392	0.0127345	0.0103682	0.0126714	0.00724798	0.00784942	0.00755688	0.00838961	0.0155397	0.0228314	0.0498424	0.0520757	0.0358437	0.0452175	0.0472594	0.0393869	0.117646	0.195239
