 	o	b	i	a	á	b	έ	r	i	w	a	t	s	í	n	a	a	p	é	n	d	í	l	e	l	y	é	m	i	</S>
son	0.0112738	0.00808489	0.00712361	0.0182676	0.0135999	0.013243	0.0201255	0.0238283	0.0425151	0.0451191	0.0578745	0.0496772	0.0617036	0.0657595	0.0658431	0.0450934	0.100088	0.0281155	0.01986	0.0115238	0.021161	0.0300858	0.0201588	0.018489	0.0436558	0.0385658	0.0348594	0.0303328	0.0265767	0.0273953
ami	0.0230469	0.0632547	0.249932	0.157367	0.100505	0.0544958	0.0407782	0.0215218	0.0254249	0.00782669	0.00502166	0.00239145	0.0106611	0.0147139	0.0146762	0.0271536	0.0198232	0.0321548	0.00990813	0.0143922	0.019274	0.0160736	0.00608446	0.0110859	0.0145758	0.0187205	0.00641117	0.00773403	0.00356237	0.00142884
l'	0.126061	0.0417807	0.0340319	0.0634646	0.0544725	0.0666966	0.0840968	0.0269742	0.0387487	0.023304	0.030213	0.0151053	0.0396058	0.047288	0.0236577	0.0351488	0.0128644	0.00948471	0.00708202	0.00913084	0.0166595	0.0312073	0.0184455	0.0171926	0.023546	0.0193989	0.017719	0.0277093	0.0244161	0.0144946
a	0.0353125	0.0325837	0.0420048	0.0479629	0.048952	0.0731903	0.131121	0.0567377	0.0909854	0.0649946	0.0805766	0.0498757	0.0533393	0.0340463	0.0201501	0.0149602	0.00563093	0.00645214	0.00678496	0.00691186	0.00743664	0.00752497	0.00910517	0.00641362	0.00695733	0.00738491	0.0134499	0.0105557	0.00921769	0.0193815
frappé	0.0342245	0.055627	0.0363072	0.0201732	0.0216769	0.0165276	0.0198184	0.018529	0.0278036	0.022697	0.0134429	0.0219154	0.0117434	0.0122065	0.0139547	0.017482	0.016711	0.0358358	0.0602443	0.0486187	0.0510872	0.0422822	0.0529121	0.0461181	0.0427242	0.0454711	0.0517239	0.0388675	0.0279212	0.0753536
parce	0.0358429	0.0474637	0.0521184	0.048002	0.0476187	0.0434249	0.0418016	0.0438274	0.0488311	0.0394754	0.032949	0.0343325	0.0353519	0.0380793	0.0367084	0.0275449	0.014746	0.0292581	0.0354016	0.0331752	0.0278004	0.0342449	0.0110826	0.0166353	0.0167992	0.00976543	0.00691317	0.0131373	0.0219795	0.0756893
qu'	0.0445719	0.0359916	0.0384295	0.0331909	0.02994	0.0249947	0.0251264	0.0297543	0.0465082	0.0324577	0.0280698	0.027452	0.018605	0.023457	0.0282885	0.0093322	0.020637	0.0133518	0.018581	0.0152303	0.016836	0.0358797	0.0181238	0.0216263	0.0670989	0.0699079	0.0407691	0.066637	0.0605426	0.0586093
il	0.0794349	0.0333793	0.0293707	0.0242369	0.0198184	0.0167778	0.0138529	0.0127688	0.0167085	0.0104602	0.00704886	0.0101083	0.00620332	0.0075211	0.00847568	0.00937286	0.00958877	0.0180823	0.0232871	0.01455	0.0188632	0.0355473	0.0351814	0.0247174	0.0767088	0.0717444	0.0721762	0.0789053	0.0593931	0.155716
ne	0.202113	0.0762225	0.0299424	0.0222852	0.0143885	0.0150016	0.0107312	0.0101138	0.00884645	0.00571061	0.00352392	0.00540392	0.00277586	0.0069545	0.006649	0.010738	0.0101374	0.0397737	0.0238992	0.0239414	0.0171842	0.0245691	0.0244213	0.0187955	0.0348973	0.0368356	0.0518602	0.0398231	0.0484777	0.173984
sait	0.125398	0.0535957	0.0340938	0.0236768	0.030354	0.0279271	0.0247257	0.0149338	0.0150541	0.0057592	0.00364794	0.00871241	0.00494953	0.0094268	0.00935183	0.0159732	0.0173581	0.0214624	0.0227674	0.020101	0.0213736	0.0292875	0.0235517	0.0205306	0.0482248	0.0545271	0.0869462	0.0485675	0.0387607	0.138962
pas	0.247878	0.113166	0.0374508	0.0267868	0.0218978	0.0287625	0.0185406	0.0255786	0.0153397	0.00722794	0.00334087	0.00754137	0.00854434	0.0132217	0.0148702	0.0182129	0.0241876	0.0413473	0.016567	0.0164512	0.017435	0.0208282	0.0150926	0.0153304	0.0232729	0.0297135	0.0437162	0.0277515	0.0235118	0.076434
tenir	0.060893	0.0388144	0.0163668	0.00853714	0.00624479	0.00714347	0.00529589	0.00493536	0.00275849	0.00181371	0.00111922	0.00224972	0.00515186	0.0096989	0.0101968	0.0176026	0.0167092	0.0561345	0.0261886	0.0267177	0.0240497	0.0246509	0.0223083	0.0251575	0.0760921	0.113774	0.122802	0.0944791	0.0717868	0.100328
sa	0.0550517	0.053485	0.0198008	0.0108948	0.00564888	0.00476841	0.00286681	0.0027728	0.00108575	0.000910683	0.000735201	0.00103276	0.00316797	0.00537468	0.00528086	0.00952671	0.00929907	0.0431771	0.0244052	0.0223628	0.0244432	0.0204529	0.0262693	0.0427813	0.0785786	0.123702	0.109847	0.109757	0.104535	0.0779856
langue	0.0479439	0.0327243	0.0176247	0.0157342	0.00584987	0.00665873	0.00467526	0.00610563	0.00414639	0.00287951	0.00206406	0.00235927	0.00207847	0.0030242	0.00469869	0.00380591	0.00531366	0.0200649	0.0109227	0.0111449	0.0115153	0.0149311	0.0163728	0.0255891	0.0701092	0.110322	0.119209	0.12293	0.131428	0.167774
</S>	0.0395069	0.0459253	0.0277433	0.0252653	0.0204624	0.0252346	0.0194131	0.0180007	0.0105066	0.00530653	0.0044229	0.00486862	0.0112006	0.00898197	0.0128488	0.00938976	0.0136444	0.0259137	0.0240543	0.0173461	0.0144402	0.0273846	0.0284038	0.0290072	0.0515442	0.0829617	0.101997	0.0767793	0.0750011	0.142445
