 	b	á	a	a	d	í	l	o	n	d	ú	ú	m	á	m	b	v	a	m	b	v	a	</S>
ils	0.0846383	0.122665	0.191436	0.0688173	0.0634915	0.0965881	0.0348762	0.0470627	0.051656	0.0349585	0.0280554	0.0280215	0.0205657	0.0229342	0.0141344	0.0173177	0.0120714	0.00981864	0.00852806	0.0107225	0.0116373	0.0104739	0.00953043
ont	0.148477	0.0988724	0.0388439	0.0370324	0.0443871	0.0494183	0.096085	0.0871014	0.0700229	0.0755188	0.0533512	0.0651515	0.0349276	0.0300788	0.0072288	0.00311398	0.0082971	0.00413268	0.00333706	0.00632434	0.0097962	0.0121568	0.0163453
beaucoup	0.0690576	0.0360161	0.0263178	0.0501508	0.0477329	0.061907	0.0568056	0.0511274	0.057677	0.0538956	0.0478008	0.0535626	0.0296537	0.0363003	0.0389809	0.0485519	0.0625272	0.0341982	0.0299399	0.0225636	0.0262947	0.0281026	0.0308356
d'	0.0175051	0.0269754	0.0261971	0.0260192	0.0229065	0.040726	0.0304536	0.0230714	0.0188821	0.0224165	0.0176259	0.0211903	0.0220089	0.0234904	0.0315575	0.0324149	0.0426294	0.0469424	0.107141	0.079776	0.125195	0.123057	0.0718191
amitié	0.0149053	0.0104557	0.00812266	0.00833807	0.0109401	0.0104111	0.0219372	0.0223765	0.0247185	0.0246857	0.0209478	0.0181568	0.0228309	0.0315178	0.0531565	0.0878188	0.0608569	0.123516	0.112887	0.0806145	0.0849336	0.0723605	0.0735125
l'	0.0353843	0.0295752	0.0200473	0.0148295	0.0167543	0.0157747	0.031537	0.0352819	0.0402332	0.0347263	0.0300251	0.0232922	0.0198418	0.0231954	0.0337651	0.0382366	0.0426964	0.0904514	0.0903102	0.0704929	0.077254	0.0898296	0.0964656
un	0.0545838	0.0598707	0.0351311	0.0195664	0.0218307	0.0260991	0.0309699	0.0467935	0.0407352	0.0436929	0.044747	0.0430046	0.0366857	0.0375398	0.0351472	0.0275712	0.063882	0.0350847	0.0484518	0.0451168	0.072006	0.0532532	0.0782366
pour	0.115912	0.125393	0.0981586	0.0843052	0.0647136	0.0524532	0.039455	0.0529629	0.0391496	0.0328411	0.0238745	0.0204702	0.0159668	0.0116209	0.0157564	0.0115184	0.0285886	0.0199088	0.0249222	0.0176742	0.0288114	0.016927	0.0586168
l'	0.0518977	0.0568855	0.0549178	0.0432265	0.042771	0.0476462	0.0237199	0.0224005	0.0202944	0.0204578	0.017052	0.0129798	0.013083	0.0164059	0.0300083	0.042974	0.0387598	0.0447554	0.0518648	0.0363755	0.0935113	0.0807748	0.137238
autre	0.118518	0.0654924	0.0562743	0.0524379	0.0643048	0.065325	0.0164178	0.0200651	0.0156235	0.0134383	0.0109387	0.0110486	0.0137311	0.0181505	0.0245649	0.0258218	0.0268684	0.0273354	0.0315472	0.0376072	0.0592199	0.0416918	0.183577
</S>	0.144009	0.0617338	0.0489591	0.0399117	0.0367292	0.0347098	0.0140403	0.0203153	0.0161641	0.015114	0.0159965	0.0218277	0.0186912	0.0199041	0.0310658	0.0274535	0.0321912	0.0323175	0.0374274	0.037911	0.058214	0.0512343	0.184079
