 	w	a	m	í	s	i	á	d	í	a	w	á	w	a	m	b	é	á	l	a	p	ó	r	á	y	á	á	k	ώ	s	ώ	w	a	</S>
il	0.144369	0.139143	0.12715	0.0856641	0.0659879	0.0531744	0.0578236	0.0140136	0.029379	0.0124939	0.00838059	0.0118138	0.0220885	0.0324046	0.0170901	0.0116742	0.0204752	0.0170511	0.0171555	0.0111633	0.0141169	0.0111215	0.00573147	0.00537621	0.00567301	0.00638405	0.00709537	0.00655976	0.00801051	0.00653025	0.00670556	0.00563165	0.00672011	0.00584743
tomba	0.0192736	0.0186349	0.0301303	0.0307815	0.0317892	0.0398017	0.0369913	0.0340184	0.0683995	0.0687694	0.0725448	0.0820912	0.0328739	0.0540418	0.0679596	0.0291009	0.0345706	0.0261768	0.0155918	0.00471326	0.00655672	0.00530979	0.00874687	0.0108797	0.0163272	0.0190755	0.0206648	0.0181993	0.0157182	0.0138022	0.01173	0.0134763	0.0206145	0.0206443
aveugle	0.01322	0.0206136	0.0230575	0.0267144	0.0299134	0.0425338	0.0431925	0.0613229	0.0438528	0.0299545	0.0444663	0.0350334	0.0244096	0.017751	0.0226367	0.0347115	0.0475524	0.0306058	0.0237436	0.0135005	0.0275601	0.0203339	0.0270612	0.026427	0.0300491	0.0304736	0.0284767	0.0311459	0.0310415	0.0259559	0.0246446	0.0269097	0.0219333	0.0192014
à	0.00558538	0.0147257	0.00925949	0.0125605	0.0266074	0.0223627	0.0199524	0.0319248	0.0443545	0.0454417	0.0427713	0.0504938	0.0380396	0.0496489	0.0556472	0.0413232	0.0265996	0.0166675	0.0215915	0.0401363	0.0418154	0.0307191	0.0292086	0.0265073	0.0279322	0.0247966	0.0216082	0.0192482	0.0204236	0.0179867	0.0150734	0.0217525	0.0317485	0.055486
la	0.0033283	0.00474249	0.00547144	0.00748075	0.0112184	0.0135152	0.0138162	0.013937	0.0161605	0.0155647	0.0124464	0.0131528	0.0126714	0.0125021	0.0113423	0.0126723	0.0122553	0.0124831	0.0136618	0.0170196	0.0277327	0.0339153	0.0713412	0.0614472	0.0820492	0.0518855	0.0758631	0.0644791	0.0533878	0.0423448	0.0422385	0.0545364	0.0461089	0.0572281
suite	0.0238674	0.0187351	0.0178926	0.0202214	0.0229911	0.0227458	0.0198442	0.0223171	0.0218665	0.0241394	0.0135282	0.0199309	0.0155256	0.0167223	0.0155096	0.0183422	0.0189381	0.0352485	0.0275026	0.0110218	0.0312572	0.0211763	0.0320123	0.0190144	0.0398965	0.0338537	0.041335	0.0329891	0.0321969	0.0264233	0.0376387	0.0297932	0.058514	0.157009
de	0.0159417	0.0236645	0.0233246	0.032567	0.0443745	0.0492233	0.0374565	0.0470101	0.0408148	0.0571447	0.0258793	0.0370096	0.0302084	0.0215386	0.0203247	0.0217799	0.0196145	0.0270456	0.0209998	0.0118348	0.013349	0.0130768	0.013762	0.0114474	0.0130344	0.00829873	0.0125287	0.0256806	0.0303087	0.025733	0.0219174	0.0388823	0.0494101	0.114814
sa	0.0141176	0.0171727	0.0177376	0.0194536	0.022493	0.0261851	0.021723	0.0261751	0.0260941	0.022173	0.0107804	0.013882	0.0109538	0.0174486	0.011379	0.0116832	0.0175478	0.0146965	0.0161136	0.00880034	0.0210262	0.0145392	0.035772	0.0241455	0.0411634	0.0377237	0.0434	0.0609806	0.061678	0.0592011	0.0502425	0.0617466	0.0666408	0.0751302
blessure	0.0347638	0.0388476	0.0448478	0.042296	0.0296301	0.0198483	0.0138119	0.0126918	0.0151308	0.0127076	0.0092542	0.0137378	0.0126978	0.0170988	0.016308	0.0162115	0.0126558	0.00976231	0.0110606	0.00811032	0.0279642	0.0188503	0.0431898	0.0167193	0.0330794	0.0221428	0.0236598	0.0528106	0.0561858	0.03149	0.0204532	0.0361912	0.0807966	0.144994
</S>	0.0342092	0.0351078	0.0355661	0.036897	0.0399089	0.0336222	0.0293138	0.0193744	0.0166889	0.0143244	0.00812298	0.0136572	0.0111642	0.021596	0.0142704	0.0118074	0.0142611	0.00904766	0.0121125	0.00528048	0.0112668	0.0076367	0.0213434	0.0084473	0.0205004	0.0100082	0.0193678	0.0564871	0.0538782	0.0284523	0.0286414	0.0424207	0.0733182	0.201899
