 	w	a	a	b	v	ú	ú	s	ú	o	t	é	m	a	n	g	ω	n	g	ω	a	b	v	ú	r	ú	n	d	é	e	y	á	o	l	ó	m	i	</S>
elle	0.2006	0.23589	0.254407	0.09847	0.0521265	0.0543428	0.0220052	0.0106541	0.0051018	0.00462787	0.00472292	0.00423714	0.00443766	0.00277679	0.0025792	0.00150967	0.00106099	0.00164117	0.00188301	0.00214037	0.00167807	0.00281485	0.00272996	0.00193734	0.00225913	0.00245613	0.00260401	0.00240687	0.003419	0.0014068	0.00171275	0.00152125	0.00148217	0.00121473	0.00117578	0.00121341	0.00155126	0.00120277
changea	0.0314551	0.00593731	0.0140551	0.019595	0.049716	0.0402643	0.0391097	0.0361125	0.0376744	0.0489119	0.0537383	0.054146	0.0368868	0.0494678	0.034143	0.0628159	0.0198325	0.0309306	0.0331261	0.0312963	0.042587	0.0172798	0.0233324	0.0169006	0.00703445	0.00775878	0.00744862	0.0148887	0.020469	0.027532	0.0187057	0.0191934	0.0135563	0.00753648	0.00663259	0.0056218	0.00599302	0.00831479
d'	0.00551131	0.00763364	0.0118952	0.016219	0.0212202	0.0225562	0.0160213	0.0202514	0.0162304	0.0138119	0.0105929	0.0205642	0.0216299	0.0193935	0.0214932	0.0232405	0.0586221	0.0306459	0.0289316	0.0311781	0.032312	0.0380655	0.0290557	0.0266169	0.0313548	0.0396826	0.0433215	0.0404331	0.0423212	0.0367166	0.0431179	0.0374595	0.0241254	0.0327131	0.0242683	0.0143386	0.0195715	0.0268834
avis	0.0112259	0.0100211	0.00970092	0.00675165	0.00795048	0.0102051	0.0113973	0.0182147	0.0201322	0.0243621	0.028025	0.0302889	0.0260146	0.0275839	0.0254695	0.0366754	0.0388349	0.0377661	0.0363958	0.0331938	0.029314	0.028716	0.0258455	0.0223039	0.0234983	0.0234606	0.0251098	0.022421	0.0256247	0.028713	0.0270581	0.0242882	0.0256014	0.0282245	0.0312278	0.0377774	0.0422253	0.0783811
et	0.0044756	0.00445371	0.005349	0.00361397	0.00434726	0.00506853	0.00486111	0.00777626	0.0116633	0.0223056	0.0284771	0.0341142	0.0362217	0.0496323	0.0908414	0.0945711	0.151492	0.103238	0.0797354	0.0615931	0.0249908	0.0137583	0.00961243	0.00689787	0.00596566	0.00684088	0.00611849	0.00537812	0.00541695	0.00773812	0.00912478	0.00813953	0.0119306	0.0151334	0.0159355	0.0113604	0.011876	0.0199517
rentra	0.031922	0.037141	0.0343341	0.0332768	0.0322558	0.0305098	0.0300214	0.0457805	0.0629821	0.0834625	0.0767044	0.052946	0.0344004	0.024096	0.0247708	0.0252747	0.0238599	0.0175496	0.0163076	0.0114312	0.0135449	0.013314	0.00941272	0.00837427	0.00943754	0.00782162	0.0102441	0.00850885	0.00943204	0.0140889	0.0105633	0.0155983	0.0207402	0.0308537	0.0323722	0.0174321	0.0156135	0.0236214
chez	0.0226358	0.0245555	0.0274629	0.0144582	0.0154591	0.0143139	0.0179229	0.0218384	0.0239425	0.0265821	0.0281834	0.028426	0.0263336	0.0263856	0.0240662	0.0285487	0.0297378	0.0249025	0.0272023	0.0239682	0.0302582	0.0327504	0.0191004	0.0170859	0.0200211	0.0182626	0.018477	0.0207186	0.0209621	0.0311549	0.0240781	0.0318683	0.0339982	0.0341031	0.031335	0.0360027	0.0403397	0.062558
son	0.0188577	0.0297793	0.0394552	0.0144469	0.0159434	0.012578	0.0103227	0.0135598	0.0168535	0.0229033	0.0219312	0.023482	0.0192042	0.0177055	0.0180333	0.0199117	0.0240585	0.0206508	0.0201884	0.0208117	0.0232865	0.0211306	0.0173214	0.0149614	0.0145602	0.0107697	0.0123782	0.0121999	0.0124844	0.0213996	0.0153774	0.0201232	0.0326116	0.045387	0.0687944	0.0770313	0.0781566	0.101349
mari	0.00733823	0.00905758	0.00820501	0.00896661	0.00935162	0.00853292	0.01081	0.0135511	0.0142503	0.0137654	0.014216	0.0140411	0.0136823	0.0129033	0.0109824	0.0155453	0.0134071	0.011501	0.0130722	0.0116539	0.0159194	0.0227581	0.0275614	0.0239088	0.0274366	0.0257915	0.0346965	0.0362107	0.038744	0.048941	0.0456639	0.0494868	0.0622547	0.0455595	0.0620674	0.0609252	0.0625642	0.0746769
</S>	0.00794585	0.00803974	0.00862515	0.00826808	0.0100391	0.00884368	0.00854914	0.0142759	0.0132836	0.0158734	0.0176832	0.0223275	0.0252764	0.0296132	0.0260594	0.0411835	0.0266758	0.0245063	0.0255588	0.0276984	0.0249115	0.0215545	0.032863	0.0320265	0.0347101	0.0220652	0.026812	0.0224903	0.0234274	0.0324038	0.0270016	0.028898	0.0300337	0.0331041	0.0441676	0.0515121	0.0513974	0.0902949
