 	w	a	á	b	v	u	u	s	u	i	t	ú	n	g	á	b	á	w	a	b	í	s	á	l	a	ó	k	ω	</S>
il	0.0796898	0.203181	0.299492	0.275133	0.045024	0.0184924	0.00676153	0.00149132	0.001282	0.00185868	0.00307686	0.00317793	0.00363334	0.00351436	0.00398606	0.00521277	0.00380958	0.00371047	0.00301005	0.00359887	0.0038517	0.00364978	0.00329292	0.00264602	0.00316925	0.003144	0.00371683	0.00274906	0.00464394
a	0.0556356	0.0180928	0.0219207	0.0352268	0.051255	0.0505528	0.0730014	0.0858914	0.0658794	0.0497415	0.0541502	0.0350701	0.0460893	0.0223285	0.0327148	0.0169448	0.0229419	0.0458201	0.0119334	0.0193555	0.0292916	0.029146	0.0108694	0.0243646	0.0218384	0.0176157	0.0131797	0.0109728	0.0281758
gardé	0.00592207	0.00708585	0.00736844	0.00743585	0.00986366	0.0105514	0.0145222	0.020901	0.0311114	0.031014	0.035147	0.0467653	0.0788015	0.100368	0.131631	0.105054	0.11112	0.0288251	0.030513	0.0317062	0.0181757	0.0186888	0.0214288	0.0171198	0.0139161	0.0183437	0.0173322	0.0162759	0.0130116
ses	0.00910436	0.00931796	0.00773329	0.0099225	0.00863872	0.0202122	0.0228976	0.0231161	0.0526563	0.0658668	0.0701766	0.057763	0.0645147	0.0586385	0.037518	0.0495164	0.0161036	0.037455	0.0621093	0.0459885	0.0222964	0.0190175	0.0153073	0.02792	0.0219642	0.0208976	0.0147214	0.0349594	0.0936665
outils	0.00937665	0.0114213	0.0109439	0.00967279	0.0127643	0.0164402	0.031205	0.0504798	0.032034	0.0339684	0.0314315	0.029447	0.0413721	0.0555911	0.050947	0.0466351	0.0612695	0.0336621	0.0428649	0.0431786	0.0431581	0.0376561	0.0299823	0.0364151	0.032303	0.0346227	0.0315181	0.0367166	0.0629229
de	0.0353254	0.0385726	0.0352639	0.0291224	0.0258655	0.0222248	0.035636	0.0497699	0.0314314	0.0289502	0.0283463	0.0238817	0.03836	0.0252691	0.0172563	0.0247208	0.0221054	0.0322049	0.0294105	0.0282029	0.0400887	0.0471175	0.0196247	0.0313619	0.0280546	0.0510908	0.0336889	0.0578216	0.089231
travail	0.0507381	0.026808	0.0493209	0.0277827	0.0198525	0.0189348	0.0193462	0.0202627	0.0200415	0.0202505	0.0183787	0.0138014	0.0227472	0.0174014	0.0155269	0.0154493	0.00689862	0.0429936	0.0244704	0.0288483	0.0578735	0.0486844	0.0386785	0.051393	0.0568489	0.065425	0.0643738	0.0649404	0.0719287
en	0.028178	0.0281866	0.0270325	0.022677	0.0226835	0.0228051	0.0230305	0.0235948	0.0201123	0.0184777	0.0155248	0.0131177	0.0198092	0.00869002	0.0105231	0.00818876	0.00362877	0.0357809	0.0153531	0.0225784	0.0664318	0.0447328	0.0421286	0.059345	0.0699682	0.0813914	0.0790583	0.0798323	0.087139
forêt	0.0182116	0.0191509	0.0209882	0.0236242	0.0240518	0.0244935	0.0248658	0.0268849	0.0161948	0.0158308	0.0162979	0.0145737	0.0220944	0.0105888	0.0135261	0.00896626	0.00426838	0.0273816	0.0104314	0.0149303	0.047588	0.0372743	0.0307313	0.0422033	0.056465	0.0874402	0.0803475	0.0975695	0.163026
</S>	0.0137551	0.0147654	0.0161608	0.0194942	0.0199617	0.0203104	0.0207414	0.0288283	0.0265387	0.02403	0.0149543	0.011527	0.0176048	0.00861073	0.0101492	0.0104086	0.00331422	0.0399255	0.0292281	0.0359083	0.0682744	0.0466262	0.0410363	0.0624485	0.068188	0.0710574	0.0680396	0.0817205	0.106392
