 	e	f	u	m	b	ú	l	ú	y	á	t	s	ó	s	ó	e	d	i	p	é	r	é	n	á	l	a	y	á	n	y	ω	s	í	</S>
la	0.0250206	0.0383958	0.0391371	0.0193654	0.0170108	0.0166324	0.0168046	0.0171554	0.0336988	0.0166661	0.0664193	0.0573395	0.0627307	0.0544116	0.0366869	0.0322855	0.0176913	0.0169106	0.0183326	0.0181252	0.0178002	0.0194579	0.0217143	0.0224712	0.0222474	0.0269976	0.0220794	0.0237973	0.0241624	0.0274461	0.0364361	0.0409384	0.0332908	0.040341
manière	0.0235867	0.0416908	0.126089	0.0393831	0.0330329	0.0210806	0.0407906	0.0574579	0.034177	0.0334351	0.0518097	0.0746818	0.0978846	0.0541108	0.0290351	0.0194534	0.0173126	0.0138638	0.0213003	0.0139457	0.0199092	0.00971039	0.0152609	0.0075023	0.0215786	0.0199076	0.00740674	0.0121562	0.0134695	0.00904043	0.0120419	0.00294963	0.00171769	0.00322731
de	0.0926546	0.044054	0.016868	0.0086989	0.00648762	0.00699343	0.0112754	0.0149969	0.0214259	0.0415319	0.0498341	0.0728911	0.0882295	0.103753	0.0715329	0.0481664	0.042533	0.0344371	0.0167963	0.0158984	0.0195625	0.0219133	0.0163068	0.0152387	0.0193013	0.0137745	0.0123348	0.0124412	0.0160082	0.00916246	0.00889606	0.0070456	0.00576833	0.0131875
voler	0.0225577	0.0270565	0.0276435	0.0369819	0.0343612	0.0206145	0.0139405	0.0190612	0.0170626	0.0232937	0.0393164	0.0514914	0.066939	0.0700782	0.0867671	0.0864934	0.0727441	0.096348	0.0400299	0.0295811	0.0165088	0.0117683	0.0127545	0.0100576	0.00752322	0.00598402	0.00265233	0.0040592	0.00275086	0.00264895	0.00385906	0.0036499	0.00544579	0.0279756
de	0.0213411	0.0185176	0.014973	0.00944241	0.0110708	0.0107792	0.0160156	0.0235304	0.0144661	0.0193217	0.0219546	0.0210285	0.0339252	0.0381666	0.0479473	0.0746043	0.0986065	0.101657	0.0650366	0.0663472	0.0428974	0.0305459	0.0242936	0.0155278	0.0157428	0.0138095	0.0123163	0.0134186	0.00953263	0.0101619	0.0121583	0.0111455	0.0121781	0.0475401
la	0.0137902	0.0187631	0.0249821	0.0252384	0.0377989	0.0322264	0.0254352	0.0284902	0.0221827	0.0309737	0.0223019	0.0251934	0.0294466	0.0360041	0.0441633	0.0493129	0.0640499	0.0518504	0.030293	0.0319723	0.0255679	0.025171	0.0198039	0.0150426	0.0183437	0.013766	0.0134885	0.0125013	0.0158113	0.018098	0.023474	0.0203167	0.0272925	0.106854
poule	0.0193453	0.0174594	0.0145613	0.0130883	0.0164556	0.0104724	0.00388174	0.00550409	0.00549811	0.00509423	0.00826535	0.0121806	0.0216508	0.026668	0.0296932	0.0272626	0.0420555	0.0493961	0.0420044	0.047977	0.0432848	0.0479795	0.0374754	0.0260848	0.0327652	0.0282335	0.039749	0.0357689	0.0442407	0.0447693	0.0443881	0.0474635	0.0366052	0.072678
est	0.051065	0.0472217	0.0311864	0.0338393	0.0433549	0.0357882	0.0175072	0.0192858	0.0179027	0.0215618	0.0127595	0.0176078	0.0288946	0.0233107	0.038946	0.0455616	0.0504414	0.0346895	0.047405	0.0356557	0.0319501	0.0301234	0.0256032	0.0122229	0.0120963	0.0144575	0.0107132	0.0110452	0.0107302	0.0130036	0.0126378	0.0221415	0.029055	0.110235
différente	0.049809	0.0504451	0.0487102	0.042731	0.0351865	0.0261338	0.0224652	0.0283719	0.028283	0.0454728	0.032242	0.02655	0.0155447	0.0165278	0.0201615	0.0242885	0.0230531	0.0180566	0.0225495	0.0219748	0.0220781	0.0229198	0.019273	0.010085	0.00933705	0.0159971	0.0159534	0.00896823	0.0214688	0.0166976	0.0298788	0.049704	0.0431662	0.115916
de	0.0610481	0.038065	0.0225453	0.023354	0.0243612	0.0291076	0.0168107	0.0233055	0.0237936	0.0344157	0.0260759	0.0268174	0.0156716	0.0150383	0.0257064	0.0470249	0.0528715	0.0293721	0.0412584	0.0341498	0.0345574	0.0322419	0.0269991	0.014695	0.0169537	0.0281217	0.0238514	0.015953	0.0279315	0.0196638	0.0267596	0.038642	0.0329413	0.0498957
celle	0.0529558	0.029124	0.0234318	0.019278	0.0246159	0.0183725	0.016475	0.0223465	0.0170815	0.0144195	0.0170929	0.0163737	0.0153875	0.0170032	0.0118216	0.01475	0.0145454	0.0156634	0.0279109	0.0263929	0.0242747	0.0249986	0.0380058	0.0182201	0.0286475	0.0437991	0.0265181	0.0322116	0.0382255	0.0441615	0.0522403	0.0621616	0.0609078	0.0905856
d'	0.0556621	0.0429046	0.0260513	0.0214794	0.0197227	0.0147712	0.0177479	0.0222944	0.0157352	0.0162323	0.013858	0.0209612	0.0186874	0.0163299	0.0169601	0.0235878	0.0256013	0.0280321	0.0309399	0.0304836	0.0244589	0.0327635	0.0368249	0.0224557	0.0234101	0.0305962	0.0228828	0.0227149	0.0239958	0.0293038	0.0346373	0.0514681	0.0512922	0.115153
un	0.0709846	0.0334241	0.0264324	0.0171672	0.0116944	0.00757343	0.0105474	0.0131507	0.0155164	0.0113174	0.0140295	0.0153196	0.0077561	0.00643423	0.0063929	0.00894373	0.0113873	0.00922824	0.012487	0.0103243	0.011339	0.0131396	0.0207157	0.0132055	0.0286449	0.0331562	0.0293993	0.0319076	0.0489267	0.0594795	0.0646263	0.0856943	0.0995775	0.140077
oiseau	0.0347343	0.0148426	0.0130346	0.00752325	0.00503727	0.003799	0.00633383	0.00849779	0.00802593	0.00992412	0.0150278	0.0118739	0.00494211	0.00582268	0.00626762	0.0104049	0.011789	0.00668702	0.0119624	0.0121419	0.0161314	0.0183736	0.0292341	0.0193447	0.0348792	0.0452443	0.038134	0.0384643	0.0593328	0.0651723	0.0751473	0.0900197	0.0981317	0.163719
