 	i	b	a	a	d	í	l	í	i	b	ó	r	á	á	t	s	ε	n	g	ε	m	í	k	a	n	a	a	l	á	n	d	é	e	</S>
cet	0.028383	0.0280143	0.0150836	0.0055062	0.00383416	0.00674467	0.0146638	0.0340999	0.0566359	0.0445058	0.127182	0.0861049	0.0870864	0.0640892	0.0395982	0.0463639	0.0411885	0.0313305	0.0382297	0.0126986	0.0171649	0.0176138	0.0240252	0.0208843	0.0100821	0.0130816	0.0117685	0.00809744	0.0106751	0.00857169	0.00931229	0.0102374	0.0108454	0.0162976
homme	0.0999849	0.204152	0.274996	0.200079	0.051729	0.0485099	0.00607856	0.0071678	0.00408901	0.00524153	0.00214249	0.000793888	0.00195643	0.00129563	0.00193248	0.00194998	0.000886662	0.00112289	0.00119741	0.000821034	0.00390425	0.00436995	0.0132772	0.00601546	0.00359093	0.00686405	0.00267036	0.00292692	0.00556696	0.0144283	0.00986528	0.00833007	0.0007999	0.00126378
enroule	0.0183089	0.0150395	0.0121149	0.0141203	0.010293	0.0130131	0.0232698	0.0297533	0.0180143	0.0371554	0.0281208	0.0177773	0.0407229	0.00747208	0.0115482	0.0128902	0.0168917	0.019067	0.0170796	0.00986471	0.0204775	0.0491972	0.0906698	0.0525134	0.0968178	0.0928307	0.0422027	0.048803	0.0802206	0.0271796	0.0113896	0.00671283	0.00513106	0.00333711
la	0.0165633	0.0205323	0.03309	0.0368613	0.0361462	0.0181027	0.01686	0.0327202	0.0636956	0.0652422	0.055974	0.0405179	0.0575467	0.0250146	0.0326679	0.0278431	0.0364585	0.0279955	0.0263355	0.0309594	0.0293126	0.0203603	0.0156511	0.0159755	0.0148371	0.0181478	0.0132243	0.0150387	0.0211576	0.0201856	0.0129874	0.0239039	0.0262272	0.0518639
terre	0.0162733	0.0163057	0.0156044	0.0164796	0.0148307	0.0135745	0.0173827	0.0154407	0.0125805	0.0122069	0.0185554	0.0167914	0.0263029	0.0269021	0.0349501	0.0366538	0.0402361	0.0437987	0.0378821	0.0484481	0.0533267	0.0373804	0.0297554	0.0213756	0.0228447	0.0223	0.00561041	0.00915837	0.0340662	0.0531113	0.0481023	0.0728421	0.0514084	0.0575187
pour	0.0264468	0.0213837	0.0184559	0.0176795	0.0136412	0.00992606	0.00993375	0.0123514	0.0147903	0.0215193	0.016347	0.0164385	0.0224583	0.0147613	0.0192474	0.0147614	0.0224966	0.0227043	0.0318545	0.0684383	0.0695542	0.0588849	0.0473562	0.0390314	0.0333824	0.036032	0.0219553	0.0184096	0.0360406	0.0236293	0.024108	0.0372529	0.0530834	0.085644
ériger	0.0302077	0.0225258	0.0212394	0.0141828	0.0103753	0.00885473	0.00977526	0.011936	0.0156181	0.0293422	0.0351009	0.0191089	0.0174669	0.0153812	0.016856	0.0144928	0.0210561	0.0202341	0.0242398	0.0425747	0.0523383	0.0442062	0.0436106	0.035593	0.0471107	0.0604941	0.0321733	0.0376916	0.0437995	0.0441067	0.0347683	0.036964	0.0290559	0.0575191
les	0.0195819	0.0151036	0.0176744	0.0184368	0.0205858	0.0124024	0.0110916	0.0125267	0.0236451	0.0204235	0.0252337	0.0182566	0.0130301	0.0085579	0.00874937	0.00810102	0.012769	0.0132862	0.0172047	0.0441894	0.0348823	0.0297658	0.0238267	0.0268845	0.0219891	0.0244388	0.0293056	0.0390272	0.0319034	0.0484236	0.0434111	0.0767857	0.0876865	0.14082
murs	0.0631343	0.0375851	0.0204896	0.0111904	0.00784316	0.00488187	0.00384765	0.0055594	0.00461087	0.00349395	0.00858013	0.00845674	0.00911729	0.0257254	0.0187715	0.0188661	0.0184072	0.02372	0.02741	0.0407036	0.041074	0.0221702	0.0155984	0.0145927	0.0138464	0.0135303	0.013048	0.0175601	0.0423329	0.0410151	0.0241064	0.0924401	0.12588	0.160411
de	0.0545111	0.0336153	0.0287162	0.0176731	0.0113576	0.00682818	0.00366781	0.00501475	0.00319606	0.00269348	0.0039099	0.004826	0.0043288	0.00906611	0.0117076	0.0101418	0.0122359	0.0247545	0.023839	0.066767	0.0654569	0.0290017	0.0195996	0.0219967	0.0221331	0.0235845	0.0234551	0.0292321	0.0218514	0.0331179	0.0253956	0.0492811	0.108675	0.188369
la	0.117147	0.0566478	0.0305118	0.0171121	0.00658149	0.0041376	0.00304673	0.00334712	0.00313419	0.00188687	0.00419863	0.00469795	0.00541415	0.00956941	0.00961515	0.00977873	0.0136104	0.0146726	0.0186249	0.0452311	0.0603276	0.0383719	0.0255855	0.0205117	0.0161266	0.0210401	0.0294114	0.0374821	0.030443	0.034363	0.0204302	0.0463413	0.0805483	0.160051
maison	0.0308125	0.020418	0.0132485	0.00575294	0.00339632	0.00187615	0.00236836	0.00417598	0.00376644	0.00330566	0.0163288	0.0127842	0.0135447	0.0175627	0.0126651	0.0106956	0.0113437	0.00973573	0.0115937	0.0195887	0.0193034	0.0162721	0.0154342	0.0149764	0.0161445	0.0135468	0.0209932	0.0298682	0.0595022	0.0579357	0.0588205	0.117127	0.147617	0.187496
</S>	0.04306	0.0327596	0.0271622	0.0164307	0.0082589	0.00404483	0.00333145	0.00396752	0.00292644	0.00206364	0.0151661	0.0117971	0.0105414	0.0108484	0.00787087	0.00633767	0.00744869	0.00754956	0.0178707	0.0403415	0.0430763	0.0347802	0.0250733	0.0208028	0.021773	0.0163326	0.03298	0.0326751	0.0297003	0.032251	0.0284	0.0647163	0.115788	0.221873
