 	o	y	ú	r	u	w	ó	á	l	á	r	i	i	l	y	ε	b	h	ω	m	ó	b	o	l	a	b	á	w	a	b	ó	ó	w	é	é	</S>
cette	0.00637765	0.00645992	0.00723964	0.0039825	0.00802458	0.00357959	0.00352076	0.00802555	0.0054705	0.0234882	0.0224736	0.026558	0.0283886	0.0201563	0.0275078	0.0121833	0.0155768	0.0126231	0.0143222	0.012973	0.0116035	0.01002	0.0109565	0.0139961	0.0137371	0.0156539	0.036083	0.0351058	0.0541781	0.0558561	0.0892819	0.0930736	0.0909998	0.059383	0.0865133	0.0546269
femme	0.0748693	0.109118	0.283899	0.258702	0.126205	0.0283938	0.019517	0.044924	0.00583564	0.00315274	0.00351156	0.00210429	0.00270869	0.00374836	0.00655385	0.00344623	0.00387016	0.00053197	0.000428917	0.000845466	0.00138621	0.00193165	0.00201945	0.00133117	0.000495334	0.00115922	0.000756498	0.000465992	0.00296606	0.000696929	0.00121119	0.00106397	0.000983081	0.00022997	0.000303654	0.000634092
a	0.0151552	0.0125283	0.0218291	0.0175306	0.0204718	0.077446	0.044047	0.107453	0.128319	0.070424	0.0436415	0.0421148	0.0432481	0.0514218	0.0537754	0.0418934	0.0430238	0.019889	0.0122926	0.00787283	0.00675249	0.00939118	0.0110095	0.0142153	0.00826593	0.0137927	0.00866929	0.00803043	0.00863315	0.00266802	0.00241206	0.00231067	0.00388095	0.00342032	0.0101565	0.0120147
porté	0.0173878	0.0232375	0.0290951	0.0364132	0.045385	0.0550979	0.0357592	0.0230624	0.0126742	0.0123392	0.0249173	0.0248396	0.0475234	0.0477098	0.0382711	0.0630919	0.066155	0.0672966	0.0390292	0.0285463	0.0266156	0.0221298	0.0189099	0.0144762	0.018338	0.0133734	0.0111411	0.0182317	0.0109825	0.0101134	0.0106159	0.0112291	0.0146682	0.0153068	0.0188187	0.0272181
le	0.0813385	0.0550748	0.0273007	0.0246877	0.0143911	0.0132421	0.0155822	0.0116201	0.00782894	0.00818233	0.0160119	0.0274676	0.0525395	0.0434906	0.0470891	0.0570172	0.0566225	0.0728104	0.073181	0.0404094	0.0349121	0.0197625	0.0193525	0.0112027	0.0181386	0.0184986	0.00968368	0.0148987	0.0111704	0.00910772	0.00882786	0.00908297	0.0120252	0.00850914	0.012198	0.0367418
deuil	0.027927	0.0185097	0.0205228	0.0272996	0.0230313	0.0191684	0.0225862	0.0142686	0.00779865	0.00992446	0.017804	0.0218068	0.0338527	0.0201083	0.0289544	0.023805	0.0410825	0.051231	0.0705748	0.0572736	0.0557171	0.0494468	0.0401149	0.042663	0.0273006	0.0247345	0.0229901	0.0092813	0.0120762	0.00693845	0.0190112	0.014668	0.00874337	0.0203652	0.0294084	0.059011
de	0.0135122	0.00797336	0.00663079	0.00790093	0.00855393	0.0109799	0.0180276	0.0103129	0.00864398	0.00863091	0.0123211	0.015887	0.0279802	0.0259101	0.024629	0.0360913	0.0573194	0.0941053	0.100405	0.104012	0.0810988	0.0702099	0.0581435	0.0458683	0.0201983	0.0136592	0.0111417	0.00315147	0.00413314	0.00414091	0.00830377	0.00697981	0.00349214	0.00886536	0.0144083	0.046379
son	0.0182306	0.0138892	0.0169677	0.0223866	0.0134253	0.00756642	0.0167546	0.0106602	0.00904465	0.00864526	0.0116676	0.0132575	0.0205144	0.014619	0.0107031	0.0161887	0.0170021	0.0299676	0.0384821	0.0421272	0.0300534	0.0285875	0.0261836	0.0247639	0.0271333	0.0315619	0.0456631	0.0332207	0.0493264	0.0332108	0.0397476	0.0412359	0.059486	0.0407124	0.0461645	0.090849
défunt	0.0574474	0.050253	0.0477249	0.0290732	0.0196362	0.0170571	0.0193927	0.0130614	0.00811124	0.010369	0.0301367	0.0396172	0.0534478	0.0431535	0.0406415	0.066647	0.0689914	0.0644309	0.0554143	0.0321822	0.0276133	0.00945879	0.00673004	0.00996275	0.0118517	0.00734137	0.0125066	0.0108369	0.00908289	0.00446481	0.00474938	0.00627825	0.00586175	0.00996941	0.023392	0.0731114
frère	0.0544553	0.0461498	0.0446121	0.0323314	0.0199813	0.0260287	0.0351449	0.0101693	0.00898742	0.00591348	0.0139032	0.0119911	0.0437512	0.0306621	0.069997	0.0374768	0.051686	0.0559524	0.0485292	0.040009	0.0388605	0.029154	0.0256527	0.0289477	0.0205966	0.0114722	0.00998797	0.0104127	0.00656733	0.00884702	0.00612385	0.0102224	0.00874346	0.0234881	0.0167429	0.056449
</S>	0.0372177	0.0359835	0.0474714	0.0544911	0.0190315	0.0131385	0.0206346	0.00898881	0.006374	0.00620468	0.00772361	0.00966014	0.0202603	0.015783	0.0194578	0.0136452	0.0173705	0.016471	0.0136587	0.0116152	0.01837	0.0110569	0.0109397	0.0222835	0.040298	0.0353233	0.0314832	0.0466701	0.0286344	0.0401523	0.0290675	0.0373418	0.0331763	0.0611414	0.0625717	0.0963088
