 	s	á	k	ώ	é	s	á	a	l	a	m	b	o	n	g	o	l	o	k	o	n	g	á	á	m	w	é	s	é	ó	b	á	l	a	b	a	á	l	é	d	z	w	a	</S>
le	0.0194668	0.0283473	0.0355982	0.0282555	0.0148353	0.0150967	0.0295521	0.0527162	0.0344513	0.0610582	0.0655653	0.0329799	0.0407547	0.031738	0.0351225	0.0254417	0.0308039	0.0243423	0.0280847	0.0209826	0.018696	0.0119998	0.0132415	0.0127469	0.00473768	0.00493775	0.00576131	0.00817002	0.00793306	0.0127179	0.0123528	0.00882262	0.0119986	0.0128976	0.0126478	0.0142257	0.0165781	0.02005	0.0316116	0.0286181	0.0224663	0.0166507	0.016702	0.018243
feuillage	0.0365697	0.0351348	0.047975	0.0866427	0.145805	0.0576799	0.0217029	0.0262723	0.0317346	0.0226081	0.0457894	0.0173128	0.0271377	0.0275781	0.0160437	0.0558984	0.0620506	0.0346259	0.0194261	0.00787628	0.00386989	0.00196486	0.00382589	0.00237093	0.00176327	0.00338052	0.00230275	0.00400653	0.00365019	0.0107445	0.00711084	0.0158827	0.0167573	0.0134604	0.0107211	0.00466506	0.00769973	0.0022321	0.0137661	0.0180261	0.0178392	0.00310975	0.00187603	0.00311075
des	0.0473006	0.0338539	0.0448972	0.0309927	0.0308173	0.0454659	0.0586687	0.046404	0.0761632	0.0193274	0.0294472	0.0238329	0.0207283	0.0169506	0.0129214	0.0155054	0.020369	0.026555	0.0332888	0.025288	0.0185195	0.0150528	0.0091431	0.0127536	0.0120538	0.01532	0.0238405	0.00845527	0.0139551	0.0152564	0.0107939	0.0214904	0.0296302	0.021276	0.0192518	0.00900333	0.0158856	0.00804337	0.0103828	0.0164637	0.0124253	0.00957532	0.00762498	0.00502564
arbres	0.0226128	0.0181287	0.0293943	0.0368818	0.0312079	0.0298869	0.0343589	0.0341462	0.0393567	0.0311964	0.0393588	0.0342375	0.0394539	0.0303101	0.0279063	0.0209957	0.0193501	0.0212915	0.0255068	0.0178399	0.0166743	0.0124103	0.0167682	0.0221075	0.0118177	0.0179725	0.0170552	0.0108461	0.0122233	0.0168273	0.0275799	0.0212129	0.0318422	0.0301992	0.0241803	0.0129211	0.0188023	0.00810157	0.00976713	0.0133934	0.0172685	0.00945772	0.0149017	0.0222485
est	0.0265683	0.0249688	0.0224162	0.0186899	0.0182722	0.018336	0.0219035	0.0247678	0.0297884	0.0334409	0.035402	0.0437273	0.0408218	0.0469758	0.0446413	0.0269302	0.021584	0.0263909	0.0228197	0.0285831	0.0314779	0.02644	0.0350099	0.0309599	0.0208295	0.0222091	0.018115	0.0199127	0.0102442	0.00947301	0.00694156	0.00487581	0.0100425	0.00774861	0.0133874	0.00811375	0.0134431	0.00916942	0.0172047	0.0170599	0.0256854	0.0118065	0.0241769	0.028645
encore	0.0175867	0.0131814	0.0112951	0.0105112	0.010392	0.0106718	0.0111339	0.0172479	0.0146725	0.024123	0.0192385	0.0338669	0.0218309	0.021734	0.0214552	0.0207822	0.0184176	0.0269024	0.0323415	0.0381388	0.0428597	0.0294768	0.0472352	0.0376098	0.0286589	0.0314168	0.0324267	0.0596964	0.0339992	0.0395611	0.0172896	0.0118301	0.0154682	0.0105184	0.0187775	0.0162567	0.0175405	0.014241	0.0177054	0.00829565	0.0137025	0.00581887	0.0171397	0.0369515
couvert	0.00598091	0.00584954	0.00743227	0.00848828	0.00909152	0.0103898	0.0108466	0.0149305	0.0166415	0.0189225	0.0199314	0.0415456	0.0273551	0.0276827	0.0155198	0.0194894	0.0146512	0.0168557	0.0194046	0.0310787	0.0284784	0.0349817	0.0292686	0.0297047	0.057897	0.0569387	0.0397128	0.0387935	0.0538398	0.0411218	0.0134496	0.0141878	0.0179801	0.0112441	0.0159636	0.0175703	0.0240911	0.0221779	0.0248843	0.0161941	0.0214386	0.0105313	0.0184032	0.0190594
de	0.0111929	0.00863392	0.00639985	0.00800032	0.0094459	0.0114961	0.0128566	0.0139154	0.00991474	0.0100104	0.0078081	0.0133598	0.00962832	0.00919419	0.007087	0.00763776	0.00601817	0.00852871	0.0117247	0.0244463	0.0331848	0.0368127	0.0517223	0.0517341	0.0723719	0.077059	0.0338862	0.0628844	0.0582255	0.0399365	0.0143188	0.0128691	0.0312553	0.0140773	0.0219836	0.0197979	0.0162581	0.017723	0.022945	0.0121406	0.0210228	0.0130753	0.0228566	0.0345601
rosée	0.0218433	0.0149691	0.0090113	0.00806913	0.00800875	0.00771689	0.00682488	0.00415776	0.00281835	0.00384765	0.00258175	0.00407595	0.0026651	0.00301135	0.00339655	0.00421001	0.00379822	0.00762015	0.0120124	0.0251279	0.0363774	0.0505561	0.0603156	0.0560927	0.0822283	0.0780423	0.0498513	0.0936304	0.0637822	0.045637	0.0219335	0.0257087	0.0270406	0.0130891	0.0170644	0.0137883	0.0105433	0.0109114	0.0091976	0.00824651	0.0118441	0.00835694	0.0163993	0.0335963
attends	0.0262198	0.018673	0.0112702	0.0122279	0.0113228	0.0108637	0.0104238	0.00659627	0.00436364	0.00443187	0.00323588	0.00436645	0.00365402	0.00398186	0.00324655	0.0032901	0.00289257	0.00398891	0.00747333	0.0167461	0.0271579	0.0510934	0.0641557	0.0433125	0.0825517	0.0743099	0.0499968	0.0912258	0.041678	0.0292879	0.0185425	0.0244497	0.0222727	0.0151581	0.0148793	0.0142639	0.0106308	0.0124718	0.0111534	0.0122568	0.0217191	0.0157294	0.0246752	0.0577589
