 	n	g	ó	o	á	m	i	d	z	e	n	d	z	á	w	a	m	í	k	á	r	í	k	a	r	i	n	d	z	á	á	w	a	a	d	í	o	b	o	n	d	a	k	a	á	</S>
sa	0.128974	0.0989557	0.106051	0.0913115	0.0479696	0.0250675	0.0190317	0.013518	0.0194583	0.0120903	0.00792056	0.00559697	0.00926362	0.0164443	0.0295935	0.0416935	0.0320607	0.0370112	0.018356	0.00830448	0.00924929	0.00502045	0.00615315	0.00508075	0.00460394	0.00458526	0.00509666	0.00808325	0.00533971	0.00537228	0.00648022	0.00492906	0.00532589	0.00551756	0.00537172	0.00457331	0.00591351	0.00579652	0.0171218	0.0105956	0.0203299	0.0162047	0.0244378	0.01168	0.0141659	0.0142994
mère	0.207732	0.0851512	0.0820597	0.11967	0.0904902	0.0688967	0.0488371	0.01535	0.0100402	0.00875524	0.0061777	0.00512786	0.00414632	0.00406736	0.00456177	0.00562123	0.0043637	0.00656078	0.00966025	0.012603	0.0119362	0.0188881	0.01715	0.0309312	0.0173091	0.0106646	0.00278384	0.00323451	0.00254228	0.00327909	0.00430804	0.00157931	0.00139118	0.00412742	0.00652725	0.00156376	0.00233475	0.00668164	0.01767	0.0103798	0.00456106	0.0126517	0.00327258	0.00237133	0.00148023	0.0005083
lui	0.046542	0.0649453	0.0458826	0.0492304	0.0545504	0.0474917	0.0309613	0.0436781	0.0201048	0.0247599	0.0271171	0.0306433	0.0288274	0.0305548	0.0109177	0.0126813	0.0182965	0.0199696	0.0138613	0.0153841	0.0109422	0.0167404	0.0162119	0.0153707	0.0178953	0.0243886	0.0139329	0.0148634	0.00681043	0.0155861	0.0104978	0.00987519	0.0152989	0.0192859	0.0165164	0.00896981	0.00948582	0.0134682	0.0145214	0.0231013	0.00880623	0.0179366	0.012331	0.0139557	0.0112279	0.00558045
reproche	0.0294133	0.018783	0.0149048	0.0266485	0.0163115	0.0231598	0.0190786	0.0161459	0.0189932	0.0467766	0.0350365	0.0345506	0.0321354	0.0346302	0.0221775	0.0181713	0.0191616	0.0260301	0.0236674	0.0250395	0.0244712	0.0316569	0.0261209	0.0302789	0.0250701	0.0354893	0.0346306	0.0229872	0.0159945	0.0218457	0.0220991	0.011494	0.0132252	0.00827469	0.0097326	0.0109849	0.0114615	0.0181024	0.0120731	0.0115266	0.0159596	0.0113069	0.0124113	0.010329	0.020315	0.0313436
de	0.0173522	0.0172062	0.0139385	0.0191824	0.0163273	0.0150764	0.0139071	0.0196618	0.0201748	0.0162638	0.0150443	0.0149205	0.0133621	0.0154712	0.0133528	0.0127918	0.0140401	0.0183203	0.0169387	0.0187305	0.0222702	0.0320002	0.0328022	0.0493889	0.0601647	0.0547964	0.0533698	0.0477835	0.0394346	0.0350106	0.0402612	0.0107757	0.00977862	0.00775331	0.0105482	0.00752252	0.00819429	0.00682435	0.00704241	0.00742014	0.016118	0.00891629	0.0162492	0.00823039	0.0187097	0.0665716
toucher	0.0515046	0.0213558	0.0106262	0.0218742	0.010283	0.0149943	0.0161922	0.0183637	0.0197171	0.0186564	0.0130753	0.0166535	0.0142525	0.0179147	0.0163882	0.0104335	0.00834651	0.0127944	0.00974275	0.0112218	0.0105668	0.0163451	0.0196652	0.0314718	0.0398789	0.0462777	0.0457471	0.0513797	0.0429121	0.0455471	0.028901	0.0129353	0.00931184	0.0117414	0.0134553	0.0086518	0.0131913	0.0252925	0.0274837	0.0212796	0.0187283	0.0143342	0.019043	0.0215882	0.0238919	0.0459887
à	0.0229718	0.0141009	0.00973432	0.0173678	0.0153497	0.0168539	0.0241803	0.0280748	0.0258333	0.0201187	0.0212383	0.0195806	0.013521	0.0105835	0.00904052	0.0082698	0.0127721	0.0177337	0.0157658	0.0198238	0.0161363	0.0250589	0.029133	0.0346019	0.0466161	0.0493389	0.0406839	0.0517876	0.043624	0.0528172	0.0505119	0.0158583	0.01487	0.0147885	0.0143558	0.0112679	0.010551	0.00999497	0.0105037	0.0120572	0.0101685	0.00976037	0.0115707	0.0110912	0.0146423	0.0452952
tout	0.0238988	0.0169588	0.0133828	0.0217497	0.0157585	0.018735	0.0247611	0.0188645	0.0158106	0.0180982	0.0103978	0.0140339	0.0110367	0.0109884	0.0118081	0.00722979	0.00619824	0.00701027	0.00845174	0.0100687	0.00669891	0.0120854	0.0136591	0.016251	0.0159264	0.0132721	0.0155463	0.0221373	0.0237714	0.0439278	0.0223965	0.0128526	0.0102178	0.0109478	0.0141679	0.0138594	0.0208344	0.0334274	0.043595	0.046171	0.0475607	0.0499198	0.0466444	0.0550417	0.0475787	0.0562678
mais	0.0321265	0.0240997	0.0245632	0.031688	0.0308052	0.0287737	0.0262	0.0196008	0.0162272	0.0136023	0.0110472	0.0116715	0.00843477	0.00794685	0.00771268	0.00585353	0.00910382	0.0116857	0.0134635	0.0128634	0.00933421	0.0177071	0.0154261	0.016716	0.0191912	0.0182994	0.0239962	0.0312547	0.0347689	0.0412806	0.0202675	0.019264	0.016328	0.00903173	0.0120613	0.00996629	0.0132538	0.0148683	0.0146994	0.0147829	0.0330241	0.0211905	0.0427226	0.0328729	0.0596358	0.0905872
il	0.0329172	0.0262157	0.0342654	0.0357619	0.0350639	0.0282568	0.0172123	0.011806	0.010569	0.00873323	0.00757459	0.00760013	0.00726927	0.00748095	0.00632233	0.00644144	0.00736909	0.00861532	0.0079499	0.00688861	0.00665713	0.0102842	0.00916021	0.0118612	0.0139628	0.0145318	0.0200206	0.0187232	0.0207427	0.0382405	0.0162843	0.00989067	0.0169697	0.0062816	0.00866085	0.0143421	0.0106661	0.0136397	0.0261431	0.0250777	0.0446735	0.0277501	0.0666218	0.0452035	0.0747039	0.114594
n'	0.0244059	0.017279	0.019677	0.0180185	0.0214769	0.0180395	0.0149521	0.0158123	0.015959	0.0135413	0.010481	0.00941647	0.00931735	0.0141575	0.00971784	0.00886998	0.012375	0.0157083	0.0129505	0.0132334	0.0151678	0.0236878	0.0201453	0.0257905	0.0271435	0.0294099	0.0337478	0.0272867	0.0264951	0.0382272	0.0202774	0.016207	0.0264008	0.0055189	0.0101102	0.0202415	0.0122429	0.0167029	0.0274978	0.0258204	0.0388974	0.0197641	0.0441986	0.0316056	0.0555299	0.0664942
