 	o	l	ó	m	i	y	e	é	k	o	b	h	í	w	a	l	í	e	d	z	á	b	h	á	á	y	é	</S>
c'	0.01512	0.0265478	0.0215607	0.0140062	0.0157883	0.0163662	0.0178913	0.01745	0.0204068	0.0268352	0.0295197	0.040174	0.0552418	0.0410181	0.0673132	0.0546154	0.0622648	0.0437371	0.0311632	0.028465	0.0133785	0.0220508	0.0294186	0.0343162	0.0481255	0.0739646	0.0840722	0.0491887
est	0.115921	0.0967864	0.0675196	0.0192288	0.0135456	0.0229662	0.0190718	0.0240978	0.0122399	0.0212789	0.0354559	0.0306688	0.0322251	0.0502083	0.0272616	0.0432605	0.0739499	0.0471449	0.0616908	0.0291965	0.0498357	0.0214455	0.0088408	0.0152484	0.0143863	0.00958994	0.0150888	0.0218458
donc	0.0312728	0.0286575	0.0300035	0.0377055	0.0435309	0.0249618	0.0144826	0.0120375	0.0216104	0.0280799	0.0587993	0.0246056	0.0685119	0.0414028	0.0739014	0.0788068	0.0276362	0.0324139	0.0239691	0.0452306	0.0565049	0.0389822	0.0351258	0.0249193	0.0306477	0.023965	0.0109797	0.0312556
cet	0.00700718	0.00732756	0.017374	0.021352	0.0237383	0.021713	0.0201494	0.0268044	0.0385996	0.0375454	0.0901629	0.033204	0.0718146	0.0635646	0.0636786	0.080409	0.0409054	0.0680082	0.0503107	0.0302188	0.0418032	0.0181815	0.0164927	0.0129774	0.0115482	0.0122959	0.0200658	0.0527477
imbécile	0.0441272	0.0539325	0.0344974	0.0197148	0.0191628	0.0173162	0.0142886	0.0246882	0.0442079	0.0497619	0.0805126	0.0512457	0.0847516	0.043385	0.0398478	0.0526437	0.0336385	0.025217	0.0148509	0.0140856	0.0197312	0.014166	0.0110782	0.00974334	0.0169711	0.0152747	0.0372984	0.113861
qui	0.0512628	0.0921588	0.0681721	0.0318409	0.0265206	0.0300133	0.0263135	0.0353953	0.0449752	0.0613842	0.0507433	0.0384203	0.0540267	0.0198806	0.0177901	0.0186349	0.0222424	0.0218764	0.01647	0.0117316	0.0149817	0.0172617	0.0169269	0.0159921	0.0172554	0.027057	0.0431563	0.107516
l'	0.0950426	0.0782437	0.0535452	0.0413638	0.0278455	0.0141919	0.0123735	0.0123582	0.0140624	0.0169167	0.0202137	0.0165257	0.0292665	0.0155208	0.012565	0.0244456	0.03147	0.0279162	0.0188126	0.0227307	0.0265592	0.0421948	0.0402938	0.0463808	0.0539501	0.0527932	0.0589206	0.0934971
a	0.0595554	0.0935024	0.0778779	0.0688032	0.0526521	0.0444584	0.0454119	0.0564911	0.048595	0.0443007	0.0506344	0.0364013	0.0490403	0.0349411	0.0214377	0.0149568	0.0138352	0.00844196	0.00387046	0.00744111	0.00682352	0.0127581	0.00922455	0.0101818	0.0150984	0.0128711	0.015625	0.084769
pris	0.233967	0.0935237	0.0399462	0.0244308	0.0151473	0.0107662	0.0097212	0.0111428	0.0112445	0.00820348	0.00849068	0.00810865	0.0112525	0.00841106	0.0132149	0.0108975	0.00616075	0.00397711	0.00331286	0.00518739	0.00507431	0.0190206	0.0346774	0.0486235	0.0511763	0.0607217	0.0833638	0.160236
en	0.163594	0.061076	0.0252192	0.0193441	0.0157157	0.0152634	0.0113215	0.0142207	0.0128449	0.008286	0.00827316	0.00568083	0.00702436	0.00613183	0.00875439	0.0130582	0.0134196	0.01421	0.00589605	0.0185764	0.0132817	0.0266259	0.0312692	0.0417469	0.0557139	0.0726891	0.102477	0.208286
mariage	0.197426	0.0636173	0.0192971	0.0112655	0.00694648	0.00568755	0.00691654	0.00819515	0.00501535	0.00427481	0.00491266	0.00517913	0.00875347	0.00818441	0.010303	0.0131278	0.00643359	0.00376495	0.00211796	0.00469809	0.00508356	0.0105164	0.0135395	0.0244271	0.0467463	0.0396267	0.0978097	0.366134
</S>	0.162147	0.0775483	0.0444696	0.0305144	0.0138826	0.0109802	0.0109356	0.0139519	0.00966521	0.00521297	0.004587	0.00471437	0.00574895	0.00532734	0.00906697	0.0128133	0.00320171	0.0019514	0.00198048	0.00294501	0.00358306	0.0119564	0.0217088	0.0513042	0.0611015	0.066321	0.116741	0.23564
