 	e	b	e	m	b	e	y	á	m	ú	b	h	u	y	é	é	m	i	k	á	m	b	á	a	l	e	i	</S>
il	0.0100138	0.0149834	0.0119577	0.0115461	0.0194449	0.0216976	0.0383113	0.0446912	0.0599139	0.0560629	0.066821	0.0799239	0.105008	0.112185	0.0504865	0.0195445	0.0164508	0.0136477	0.0170229	0.0177532	0.0221868	0.0251855	0.0276951	0.0303413	0.0230505	0.0211721	0.0280143	0.0348879
n'	0.169154	0.126758	0.111332	0.0771014	0.0466226	0.0308402	0.028555	0.0273995	0.0353133	0.0221632	0.0148549	0.0153798	0.0238695	0.0261336	0.0190326	0.0250376	0.0344861	0.0242346	0.0150191	0.0172599	0.0176532	0.0177402	0.0158439	0.0191265	0.0123344	0.00923863	0.00531063	0.0122052
y	0.0722191	0.0543824	0.0637282	0.0415873	0.041435	0.0427317	0.0403638	0.033334	0.0306516	0.0220944	0.0209507	0.0231077	0.0316931	0.0369453	0.0640703	0.0682375	0.067396	0.0480893	0.0278677	0.0285291	0.0232086	0.0218398	0.0226859	0.0190534	0.0115974	0.0118268	0.011967	0.0184068
a	0.111651	0.0948301	0.0616022	0.0470036	0.0329184	0.0313847	0.0283008	0.0247002	0.0231133	0.0136145	0.0167605	0.0171295	0.0228496	0.0396692	0.0600673	0.0747892	0.0611062	0.0445465	0.0350941	0.0238564	0.0147658	0.012777	0.0130499	0.0116213	0.00998535	0.0216767	0.0169072	0.034229
personne	0.0467301	0.0369898	0.0333477	0.035197	0.0288634	0.0193573	0.0194085	0.015948	0.017945	0.0156333	0.0183383	0.0214314	0.0239812	0.0408664	0.0497257	0.0638089	0.0840902	0.0764879	0.057908	0.05224	0.0393892	0.0340255	0.0357941	0.0280549	0.0234377	0.0246865	0.0308047	0.0255095
pour	0.037768	0.0311096	0.0297601	0.027305	0.0241141	0.0281877	0.0370736	0.0400116	0.0368461	0.0387562	0.0402778	0.034516	0.0312275	0.036702	0.0371566	0.0452595	0.0600349	0.0559204	0.0462603	0.028425	0.0350823	0.0327971	0.031683	0.025496	0.0227572	0.0302035	0.0304091	0.04486
pleurer	0.0666426	0.0672031	0.0665262	0.0537475	0.0338549	0.0390935	0.0521493	0.0562354	0.0458562	0.0440808	0.0393866	0.0269401	0.0200601	0.0204385	0.0190865	0.0237041	0.0302157	0.0199199	0.0164599	0.00820391	0.0141745	0.0139772	0.0160819	0.0210724	0.0187774	0.0370224	0.029017	0.100072
ce	0.0647118	0.0500033	0.0555774	0.053434	0.0388053	0.0425604	0.0577118	0.0600848	0.0534554	0.0575495	0.0532279	0.0405022	0.0356628	0.0388044	0.0262702	0.0228672	0.0245501	0.0165911	0.0147905	0.00788951	0.00849408	0.00876655	0.00995974	0.0144312	0.0114172	0.0317013	0.0185506	0.0816299
voleur	0.0726522	0.0663781	0.0426451	0.0277912	0.0103841	0.00359046	0.00439436	0.00467855	0.00593858	0.00601726	0.00577054	0.00995798	0.0115415	0.020678	0.021843	0.0255802	0.0301014	0.0236509	0.0313438	0.0170014	0.0349976	0.0420389	0.046911	0.0745571	0.080942	0.0944611	0.0477157	0.136438
</S>	0.0758204	0.0448233	0.034727	0.0212615	0.0135384	0.00977218	0.00992737	0.00838633	0.00868691	0.00797797	0.00780843	0.00807088	0.00840441	0.00999351	0.0124163	0.0165588	0.0251722	0.0332869	0.0303525	0.0226418	0.034408	0.0447433	0.0489543	0.0688178	0.0848079	0.101997	0.0912212	0.115424
